d(g/cm2) R(GV)          p1          p2          p3          p4          p5          p6          p7          p8          p9          p*
   0.765   1.0   2.345E-01  -1.761E-01   7.087E-01   7.801E-02  -6.987E-02   4.107E-01   1.000E+00   0.000E+00   7.087E-01   4.107E-01
   0.765   3.0   2.423E-01  -1.869E-01   6.899E-01   7.816E-02  -7.023E-02   4.075E-01   1.000E+00   0.000E+00   6.899E-01   4.075E-01
   0.765   5.0   2.536E-01  -2.014E-01   6.536E-01   7.929E-02  -7.151E-02   4.013E-01   1.000E+00   0.000E+00   6.536E-01   4.013E-01
   0.765   7.0   2.675E-01  -2.179E-01   6.061E-01   8.054E-02  -7.286E-02   3.945E-01   1.000E+00   0.000E+00   6.061E-01   3.945E-01
   0.765  10.0   2.710E-01  -2.243E-01   6.107E-01   8.261E-02  -7.511E-02   3.847E-01   1.000E+00   0.000E+00   6.107E-01   3.847E-01
   0.765  15.0   2.886E-01  -2.447E-01   5.621E-01   8.338E-02  -7.620E-02   3.846E-01   1.000E+00   0.000E+00   5.621E-01   3.846E-01
   0.765  20.0   3.059E-01  -2.644E-01   5.205E-01   8.418E-02  -7.720E-02   3.843E-01   1.000E+00   0.000E+00   5.205E-01   3.843E-01
   1.901   1.0   2.202E-01  -1.699E-01   6.344E-01   1.199E-01  -1.068E-01   4.040E-01   1.000E+00   0.000E+00   6.344E-01   4.040E-01
   1.901   3.0   2.279E-01  -1.803E-01   6.166E-01   1.223E-01  -1.096E-01   3.959E-01   1.000E+00   0.000E+00   6.166E-01   3.959E-01
   1.901   5.0   2.377E-01  -1.932E-01   5.905E-01   1.255E-01  -1.131E-01   3.890E-01   1.000E+00   0.000E+00   5.905E-01   3.890E-01
   1.901   7.0   2.384E-01  -1.965E-01   6.042E-01   1.289E-01  -1.169E-01   3.818E-01   1.000E+00   0.000E+00   6.042E-01   3.818E-01
   1.901  10.0   2.508E-01  -2.115E-01   5.680E-01   1.332E-01  -1.217E-01   3.728E-01   1.000E+00   0.000E+00   5.680E-01   3.728E-01
   1.901  15.0   2.623E-01  -2.258E-01   5.405E-01   1.395E-01  -1.288E-01   3.584E-01   1.000E+00   0.000E+00   5.405E-01   3.584E-01
   1.901  20.0   2.734E-01  -2.391E-01   5.177E-01   1.441E-01  -1.342E-01   3.495E-01   1.000E+00   0.000E+00   5.177E-01   3.495E-01
   4.091   1.0   1.903E-01  -1.501E-01   6.295E-01   1.595E-01  -1.418E-01   4.543E-01   1.000E+00   0.000E+00   6.295E-01   4.543E-01
   4.091   3.0   1.953E-01  -1.577E-01   6.203E-01   1.644E-01  -1.474E-01   4.437E-01   1.000E+00   0.000E+00   6.203E-01   4.437E-01
   4.091   5.0   2.021E-01  -1.674E-01   5.987E-01   1.712E-01  -1.550E-01   4.315E-01   1.000E+00   0.000E+00   5.987E-01   4.315E-01
   4.091   7.0   2.080E-01  -1.754E-01   5.800E-01   1.782E-01  -1.628E-01   4.182E-01   1.000E+00   0.000E+00   5.800E-01   4.182E-01
   4.091  10.0   2.060E-01  -1.763E-01   6.061E-01   1.876E-01  -1.732E-01   4.035E-01   1.000E+00   0.000E+00   6.061E-01   4.035E-01
   4.091  15.0   2.132E-01  -1.857E-01   5.800E-01   1.990E-01  -1.857E-01   3.845E-01   1.000E+00   0.000E+00   5.800E-01   3.845E-01
   4.091  20.0   2.191E-01  -1.931E-01   5.587E-01   2.100E-01  -1.978E-01   3.685E-01   1.000E+00   0.000E+00   5.587E-01   3.685E-01
   9.503   1.0   1.374E-01  -1.048E-01   6.210E-01   1.884E-01  -1.604E-01   5.856E-01   1.000E+00   0.000E+00   6.210E-01   5.856E-01
   9.503   3.0   1.395E-01  -1.087E-01   6.107E-01   1.945E-01  -1.679E-01   5.755E-01   1.000E+00   0.000E+00   6.107E-01   5.755E-01
   9.503   5.0   1.415E-01  -1.126E-01   5.963E-01   2.035E-01  -1.784E-01   5.599E-01   1.000E+00   0.000E+00   5.963E-01   5.599E-01
   9.503   7.0   1.379E-01  -1.107E-01   6.280E-01   2.127E-01  -1.892E-01   5.446E-01   1.000E+00   0.000E+00   6.280E-01   5.446E-01
   9.503  10.0   1.399E-01  -1.142E-01   6.057E-01   2.173E-01  -1.956E-01   5.530E-01   1.000E+00   0.000E+00   6.057E-01   5.530E-01
   9.503  15.0   1.421E-01  -1.178E-01   5.777E-01   2.306E-01  -2.107E-01   5.298E-01   1.000E+00   0.000E+00   5.777E-01   5.298E-01
   9.503  20.0   1.442E-01  -1.208E-01   5.560E-01   2.416E-01  -2.236E-01   5.132E-01   1.000E+00   0.000E+00   5.560E-01   5.132E-01
  17.103   1.0   1.031E-01  -7.664E-02   6.583E-01   1.832E-01  -1.410E-01   7.539E-01   1.000E+00   0.000E+00   6.583E-01   7.539E-01
  17.103   3.0   1.032E-01  -7.816E-02   6.567E-01   1.891E-01  -1.485E-01   7.400E-01   1.000E+00   0.000E+00   6.567E-01   7.400E-01
  17.103   5.0   1.032E-01  -7.986E-02   6.454E-01   1.981E-01  -1.596E-01   7.161E-01   1.000E+00   0.000E+00   6.454E-01   7.161E-01
  17.103   7.0   1.032E-01  -8.108E-02   6.322E-01   2.079E-01  -1.715E-01   6.886E-01   1.000E+00   0.000E+00   6.322E-01   6.886E-01
  17.103  10.0   1.034E-01  -8.250E-02   6.134E-01   2.206E-01  -1.869E-01   6.555E-01   1.000E+00   0.000E+00   6.134E-01   6.555E-01
  17.103  15.0   1.031E-01  -8.342E-02   5.927E-01   2.381E-01  -2.071E-01   6.095E-01   1.000E+00   0.000E+00   5.927E-01   6.095E-01
  17.103  20.0   1.028E-01  -8.400E-02   5.796E-01   2.533E-01  -2.250E-01   5.762E-01   1.000E+00   0.000E+00   5.796E-01   5.762E-01
  31.263   1.0   7.650E-02  -5.630E-02   6.408E-01   1.408E-01   6.388E-02   1.569E+00   2.500E-01   6.858E-02   6.408E-01   1.569E+00
  31.263   3.0   7.589E-02  -5.678E-02   6.403E-01   1.437E-01   6.244E-02   1.638E+00   2.500E-01   6.715E-02   6.403E-01   1.638E+00
  31.263   5.0   7.518E-02  -5.716E-02   6.309E-01   1.627E-01  -1.026E-01   1.359E+00   1.000E+00   0.000E+00   6.309E-01   1.359E+00
  31.263   7.0   7.474E-02  -5.757E-02   6.170E-01   1.688E-01  -1.113E-01   1.292E+00   1.000E+00   0.000E+00   6.170E-01   1.292E+00
  31.263  10.0   7.387E-02  -5.762E-02   6.065E-01   1.770E-01  -1.227E-01   1.207E+00   1.000E+00   0.000E+00   6.065E-01   1.207E+00
  31.263  15.0   7.320E-02  -5.794E-02   5.881E-01   1.890E-01  -1.382E-01   1.086E+00   1.000E+00   0.000E+00   5.881E-01   1.086E+00
  31.263  20.0   7.273E-02  -5.811E-02   5.774E-01   1.998E-01  -1.523E-01   1.000E+00   1.000E+00   0.000E+00   5.774E-01   1.000E+00
  49.983   1.0   6.117E-02  -4.352E-02   6.319E-01   9.627E-02   1.579E-01   9.726E-01   3.500E-01   9.540E-02   6.319E-01   9.726E-01
  49.983   3.0   6.055E-02  -4.376E-02   6.304E-01   9.743E-02   1.612E-01   9.773E-01   3.500E-01   9.408E-02   6.304E-01   9.773E-01
  49.983   5.0   5.930E-02  -4.350E-02   6.307E-01   9.974E-02   1.652E-01   9.922E-01   3.500E-01   9.209E-02   6.307E-01   9.922E-01
  49.983   7.0   5.832E-02  -4.326E-02   6.264E-01   1.027E-01   1.670E-01   1.012E+00   3.500E-01   8.993E-02   6.264E-01   1.012E+00
  49.983  10.0   5.710E-02  -4.282E-02   6.215E-01   1.072E-01   1.666E-01   1.045E+00   3.500E-01   8.752E-02   6.215E-01   1.045E+00
  49.983  15.0   5.548E-02  -4.201E-02   6.210E-01   1.135E-01   1.616E-01   1.095E+00   3.500E-01   8.544E-02   6.210E-01   1.095E+00
  49.983  20.0   5.454E-02  -4.160E-02   6.162E-01   1.196E-01   1.534E-01   1.144E+00   3.500E-01   8.319E-02   6.162E-01   1.144E+00
  67.763   1.0   5.361E-02  -3.772E-02   6.090E-01   7.695E-02   1.590E-01   8.585E-01   4.500E-01   1.149E-01   6.090E-01   8.585E-01
  67.763   3.0   5.288E-02  -3.769E-02   6.086E-01   7.704E-02   1.620E-01   8.539E-01   4.500E-01   1.137E-01   6.086E-01   8.539E-01
  67.763   5.0   5.173E-02  -3.740E-02   6.050E-01   7.746E-02   1.653E-01   8.449E-01   4.500E-01   1.116E-01   6.050E-01   8.449E-01
  67.763   7.0   5.146E-02  -3.776E-02   6.001E-01   6.798E-02   2.572E-01   9.232E-01   3.500E-01   1.098E-01   6.001E-01   9.232E-01
  67.763  10.0   5.031E-02  -3.732E-02   5.956E-01   6.876E-02   2.685E-01   9.340E-01   3.500E-01   1.064E-01   5.956E-01   9.340E-01
  67.763  15.0   4.873E-02  -3.644E-02   5.920E-01   7.054E-02   2.797E-01   9.519E-01   3.500E-01   1.031E-01   5.920E-01   9.519E-01
  67.763  20.0   4.762E-02  -3.578E-02   5.931E-01   7.249E-02   2.872E-01   9.656E-01   3.500E-01   9.952E-02   5.931E-01   9.656E-01
  92.163   1.0   4.869E-02  -3.414E-02   5.540E-01   6.417E-02   1.349E-01   7.234E-01   6.500E-01   1.413E-01   5.540E-01   7.234E-01
  92.163   3.0   4.800E-02  -3.403E-02   5.540E-01   6.372E-02   1.364E-01   7.113E-01   6.500E-01   1.404E-01   5.540E-01   7.113E-01
  92.163   5.0   4.721E-02  -3.399E-02   5.456E-01   6.270E-02   1.383E-01   6.851E-01   6.500E-01   1.385E-01   5.456E-01   6.851E-01
  92.163   7.0   4.711E-02  -3.443E-02   5.393E-01   6.261E-02   1.765E-01   8.627E-01   5.500E-01   1.372E-01   5.393E-01   8.627E-01
  92.163  10.0   4.651E-02  -3.444E-02   5.289E-01   6.268E-02   1.779E-01   8.439E-01   5.500E-01   1.342E-01   5.289E-01   8.439E-01
  92.163  15.0   4.595E-02  -3.456E-02   5.153E-01   6.264E-02   1.779E-01   8.137E-01   5.500E-01   1.309E-01   5.153E-01   8.137E-01
  92.163  20.0   4.537E-02  -3.438E-02   5.091E-01   6.282E-02   1.771E-01   7.862E-01   5.500E-01   1.274E-01   5.091E-01   7.862E-01
 125.563   1.0   4.231E-02  -2.838E-02   5.411E-01   4.327E-02   1.500E-01   6.359E-01   1.000E+00   0.000E+00   5.411E-01   6.359E-01
 125.563   3.0   4.169E-02  -2.823E-02   5.406E-01   4.264E-02   1.508E-01   6.249E-01   1.000E+00   0.000E+00   5.406E-01   6.249E-01
 125.563   5.0   4.056E-02  -2.774E-02   5.399E-01   4.156E-02   1.519E-01   6.044E-01   1.000E+00   0.000E+00   5.399E-01   6.044E-01
 125.563   7.0   3.913E-02  -2.677E-02   5.450E-01   4.648E-02   1.464E-01   6.169E-01   1.000E+00   0.000E+00   5.450E-01   6.169E-01
 125.563  10.0   3.792E-02  -2.631E-02   5.464E-01   4.046E-02   1.916E-01   8.181E-01   7.500E-01   1.694E-01   5.464E-01   8.181E-01
 125.563  15.0   3.566E-02  -2.447E-02   5.585E-01   3.813E-02   1.947E-01   7.843E-01   7.500E-01   1.662E-01   5.585E-01   7.843E-01
 125.563  20.0   3.457E-02  -2.359E-02   5.641E-01   3.847E-02   2.262E-01   9.045E-01   6.500E-01   1.631E-01   5.641E-01   9.045E-01
 171.163   1.0   3.862E-02  -2.576E-02   5.711E-01   3.507E-02   2.013E-01   9.796E-01   1.000E+00   0.000E+00   5.711E-01   9.796E-01
 171.163   3.0   3.802E-02  -2.555E-02   5.733E-01   3.421E-02   2.027E-01   9.691E-01   1.000E+00   0.000E+00   5.733E-01   9.691E-01
 171.163   5.0   3.724E-02  -2.535E-02   5.691E-01   3.282E-02   2.049E-01   9.506E-01   1.000E+00   0.000E+00   5.691E-01   9.506E-01
 171.163   7.0   3.630E-02  -2.482E-02   5.702E-01   3.135E-02   2.066E-01   9.288E-01   1.000E+00   0.000E+00   5.702E-01   9.288E-01
 171.163  10.0   3.536E-02  -2.432E-02   5.698E-01   2.956E-02   2.082E-01   9.016E-01   1.000E+00   0.000E+00   5.698E-01   9.016E-01
 171.163  15.0   3.381E-02  -2.316E-02   5.796E-01   2.711E-02   2.105E-01   8.694E-01   1.000E+00   0.000E+00   5.796E-01   8.694E-01
 171.163  20.0   3.294E-02  -2.255E-02   5.852E-01   2.545E-02   2.107E-01   8.377E-01   1.000E+00   0.000E+00   5.852E-01   8.377E-01
 233.563   1.0   4.420E-02  -3.177E-02   3.553E-01   3.571E-02   2.531E-01   1.463E+00   1.000E+00   0.000E+00   3.553E-01   1.463E+00
 233.563   3.0   4.383E-02  -3.173E-02   3.541E-01   3.515E-02   2.546E-01   1.457E+00   1.000E+00   0.000E+00   3.541E-01   1.457E+00
 233.563   5.0   4.321E-02  -3.171E-02   3.523E-01   3.378E-02   2.576E-01   1.439E+00   1.000E+00   0.000E+00   3.523E-01   1.439E+00
 233.563   7.0   4.280E-02  -3.173E-02   3.470E-01   3.226E-02   2.603E-01   1.417E+00   1.000E+00   0.000E+00   3.470E-01   1.417E+00
 233.563  10.0   4.274E-02  -3.219E-02   3.369E-01   3.040E-02   2.632E-01   1.390E+00   1.000E+00   0.000E+00   3.369E-01   1.390E+00
 233.563  15.0   4.347E-02  -3.349E-02   3.159E-01   2.805E-02   2.668E-01   1.359E+00   1.000E+00   0.000E+00   3.159E-01   1.359E+00
 233.563  20.0   4.431E-02  -3.471E-02   3.014E-01   2.616E-02   2.682E-01   1.325E+00   1.000E+00   0.000E+00   3.014E-01   1.325E+00
 364.963   1.0   3.300E-02  -2.059E-02   4.951E-01   4.178E-02   3.311E-01   2.371E+00   1.000E+00   0.000E+00   4.951E-01   2.371E+00
 364.963   3.0   3.262E-02  -2.048E-02   4.982E-01   4.143E-02   3.329E-01   2.368E+00   1.000E+00   0.000E+00   4.982E-01   2.368E+00
 364.963   5.0   3.172E-02  -2.006E-02   4.988E-01   4.056E-02   3.371E-01   2.360E+00   1.000E+00   0.000E+00   4.988E-01   2.360E+00
 364.963   7.0   3.102E-02  -1.981E-02   5.011E-01   3.975E-02   3.408E-01   2.353E+00   1.000E+00   0.000E+00   5.011E-01   2.353E+00
 364.963  10.0   3.028E-02  -1.955E-02   4.953E-01   3.860E-02   3.454E-01   2.340E+00   1.000E+00   0.000E+00   4.953E-01   2.340E+00
 364.963  15.0   2.845E-02  -1.820E-02   5.177E-01   3.702E-02   3.515E-01   2.325E+00   1.000E+00   0.000E+00   5.177E-01   2.325E+00
 364.963  20.0   2.770E-02  -1.780E-02   5.237E-01   3.591E-02   3.544E-01   2.304E+00   1.000E+00   0.000E+00   5.237E-01   2.304E+00
 483.563   1.0   2.900E-02  -1.502E-02   6.795E-01   4.742E-02   3.569E-01   2.891E+00   1.000E+00   0.000E+00   6.795E-01   2.891E+00
 483.563   3.0   2.861E-02  -1.493E-02   7.001E-01   4.723E-02   3.584E-01   2.890E+00   1.000E+00   0.000E+00   7.001E-01   2.890E+00
 483.563   5.0   2.754E-02  -1.461E-02   7.747E-01   4.647E-02   3.627E-01   2.883E+00   1.000E+00   0.000E+00   7.747E-01   2.883E+00
 483.563   7.0   2.695E-02  -1.438E-02   7.745E-01   4.578E-02   3.666E-01   2.877E+00   1.000E+00   0.000E+00   7.745E-01   2.877E+00
 483.563  10.0   2.598E-02  -1.394E-02   8.371E-01   4.501E-02   3.706E-01   2.870E+00   1.000E+00   0.000E+00   8.371E-01   2.870E+00
 483.563  15.0   2.382E-02  -1.312E-02   1.218E+00   4.423E-02   3.752E-01   2.867E+00   1.000E+00   0.000E+00   1.218E+00   2.867E+00
 483.563  20.0   2.271E-02  -1.284E-02   1.561E+00   4.372E-02   3.766E-01   2.853E+00   1.000E+00   0.000E+00   1.561E+00   2.853E+00
 631.563   1.0   3.668E-02  -2.378E-02   3.583E-01   4.911E-02   3.899E-01   3.286E+00   1.000E+00   0.000E+00   3.583E-01   3.286E+00
 631.563   3.0   3.609E-02  -2.336E-02   3.657E-01   4.894E-02   3.914E-01   3.286E+00   1.000E+00   0.000E+00   3.657E-01   3.286E+00
 631.563   5.0   3.501E-02  -2.273E-02   3.750E-01   4.850E-02   3.952E-01   3.283E+00   1.000E+00   0.000E+00   3.750E-01   3.283E+00
 631.563   7.0   2.649E-02  -1.489E-02   6.549E-01   4.769E-02   4.011E-01   3.267E+00   1.000E+00   0.000E+00   6.549E-01   3.267E+00
 631.563  10.0   2.418E-02  -1.354E-02   8.464E-01   4.714E-02   4.058E-01   3.263E+00   1.000E+00   0.000E+00   8.464E-01   3.263E+00
