d(g/cm2) R(GV)          p1          p2          p3          p4          p5          p6          p7          p8          p9          p*
   0.765   1.0   1.076E-01  -1.076E-01   2.628E-01   1.436E-01  -9.184E-03   4.500E-01   1.000E+00   0.000E+00   2.628E-01   4.500E-01
   0.765   3.0   1.276E-01  -1.262E-01   2.746E-01   1.418E-01  -1.468E-02   3.819E-01   1.000E+00   0.000E+00   2.746E-01   3.819E-01
   0.765   5.0   1.388E-01  -1.367E-01   2.736E-01   1.414E-01  -1.756E-02   3.561E-01   1.000E+00   0.000E+00   2.736E-01   3.561E-01
   0.765   7.0   1.453E-01  -1.427E-01   2.718E-01   1.408E-01  -1.887E-02   3.430E-01   1.000E+00   0.000E+00   2.718E-01   3.430E-01
   0.765  10.0   1.517E-01  -1.487E-01   2.677E-01   1.406E-01  -2.002E-02   3.303E-01   1.000E+00   0.000E+00   2.677E-01   3.303E-01
   0.765  15.0   1.605E-01  -1.570E-01   2.615E-01   1.408E-01  -2.193E-02   3.044E-01   1.000E+00   0.000E+00   2.615E-01   3.044E-01
   0.765  20.0   1.702E-01  -1.666E-01   2.564E-01   1.414E-01  -2.482E-02   3.054E-01   1.000E+00   0.000E+00   2.564E-01   3.054E-01
   1.901   1.0   8.039E-02  -7.978E-02   3.332E-01   1.464E-01  -1.153E-02   5.498E-01   1.000E+00   0.000E+00   3.332E-01   5.498E-01
   1.901   3.0   9.870E-02  -9.686E-02   3.368E-01   1.498E-01  -2.357E-02   4.388E-01   1.000E+00   0.000E+00   3.368E-01   4.388E-01
   1.901   5.0   1.076E-01  -1.050E-01   3.340E-01   1.519E-01  -2.952E-02   4.089E-01   1.000E+00   0.000E+00   3.340E-01   4.089E-01
   1.901   7.0   1.125E-01  -1.094E-01   3.326E-01   1.529E-01  -3.246E-02   3.861E-01   1.000E+00   0.000E+00   3.326E-01   3.861E-01
   1.901  10.0   1.159E-01  -1.124E-01   3.324E-01   1.537E-01  -3.474E-02   3.672E-01   1.000E+00   0.000E+00   3.324E-01   3.672E-01
   1.901  15.0   1.183E-01  -1.142E-01   3.365E-01   1.552E-01  -3.754E-02   3.282E-01   1.000E+00   0.000E+00   3.365E-01   3.282E-01
   1.901  20.0   1.196E-01  -1.150E-01   3.463E-01   1.575E-01  -4.157E-02   3.051E-01   1.000E+00   0.000E+00   3.463E-01   3.051E-01
   4.091   1.0   6.229E-02  -6.159E-02   4.110E-01   1.397E-01   2.146E-02   1.188E+00   2.500E-01   1.371E-01   4.110E-01   1.188E+00
   4.091   3.0   7.588E-02  -7.402E-02   4.165E-01   1.510E-01  -2.433E-02   6.170E-01   1.000E+00   0.000E+00   4.165E-01   6.170E-01
   4.091   5.0   8.270E-02  -8.021E-02   4.105E-01   1.572E-01  -3.531E-02   5.102E-01   1.000E+00   0.000E+00   4.105E-01   5.102E-01
   4.091   7.0   8.678E-02  -8.377E-02   4.076E-01   1.595E-01  -4.008E-02   4.818E-01   1.000E+00   0.000E+00   4.076E-01   4.818E-01
   4.091  10.0   9.020E-02  -8.672E-02   4.046E-01   1.627E-01  -4.553E-02   4.462E-01   1.000E+00   0.000E+00   4.046E-01   4.462E-01
   4.091  15.0   9.300E-02  -8.891E-02   4.063E-01   1.665E-01  -5.120E-02   4.025E-01   1.000E+00   0.000E+00   4.063E-01   4.025E-01
   4.091  20.0   9.605E-02  -9.143E-02   4.067E-01   1.705E-01  -5.764E-02   3.795E-01   1.000E+00   0.000E+00   4.067E-01   3.795E-01
   9.503   1.0   5.028E-02  -4.951E-02   4.730E-01   1.091E-01   1.105E-01   9.028E-01   3.500E-01   1.448E-01   4.730E-01   9.028E-01
   9.503   3.0   6.038E-02  -5.864E-02   4.807E-01   1.225E-01   1.008E-01   1.007E+00   2.500E-01   1.320E-01   4.807E-01   1.007E+00
   9.503   5.0   6.527E-02  -6.299E-02   4.742E-01   1.337E-01   5.912E-02   1.139E+00   2.500E-01   1.260E-01   4.742E-01   1.139E+00
   9.503   7.0   6.859E-02  -6.590E-02   4.704E-01   1.451E-01  -2.325E-02   1.466E+00   1.000E+00   0.000E+00   4.704E-01   1.466E+00
   9.503  10.0   7.152E-02  -6.848E-02   4.691E-01   1.477E-01  -2.927E-02   1.218E+00   1.000E+00   0.000E+00   4.691E-01   1.218E+00
   9.503  15.0   7.493E-02  -7.153E-02   4.692E-01   1.490E-01  -3.333E-02   1.108E+00   1.000E+00   0.000E+00   4.692E-01   1.108E+00
   9.503  20.0   7.829E-02  -7.466E-02   4.701E-01   1.503E-01  -3.749E-02   1.051E+00   1.000E+00   0.000E+00   4.701E-01   1.051E+00
  17.103   1.0   4.246E-02  -4.177E-02   5.156E-01   7.848E-02   1.051E-01   4.908E-01   6.500E-01   1.560E-01   5.156E-01   4.908E-01
  17.103   3.0   5.123E-02  -4.977E-02   5.265E-01   9.305E-02   1.598E-01   9.026E-01   3.500E-01   1.419E-01   5.265E-01   9.026E-01
  17.103   5.0   5.466E-02  -5.273E-02   5.246E-01   1.038E-01   1.297E-01   9.145E-01   3.500E-01   1.347E-01   5.246E-01   9.145E-01
  17.103   7.0   5.692E-02  -5.462E-02   5.236E-01   1.106E-01   1.092E-01   9.218E-01   3.500E-01   1.304E-01   5.236E-01   9.218E-01
  17.103  10.0   5.877E-02  -5.611E-02   5.271E-01   1.066E-01   1.743E-01   9.596E-01   2.500E-01   1.261E-01   5.271E-01   9.596E-01
  17.103  15.0   5.990E-02  -5.680E-02   5.418E-01   1.106E-01   1.619E-01   9.733E-01   2.500E-01   1.224E-01   5.418E-01   9.733E-01
  17.103  20.0   6.066E-02  -5.717E-02   5.588E-01   1.131E-01   1.548E-01   9.840E-01   2.500E-01   1.190E-01   5.588E-01   9.840E-01
  31.263   1.0   3.676E-02  -3.607E-02   5.401E-01   5.110E-02   1.364E-01   4.467E-01   1.000E+00   0.000E+00   5.401E-01   4.467E-01
  31.263   3.0   4.372E-02  -4.243E-02   5.473E-01   6.566E-02   1.300E-01   5.583E-01   6.500E-01   1.592E-01   5.473E-01   5.583E-01
  31.263   5.0   4.697E-02  -4.532E-02   5.424E-01   7.475E-02   1.322E-01   6.627E-01   5.500E-01   1.511E-01   5.424E-01   6.627E-01
  31.263   7.0   4.926E-02  -4.737E-02   5.392E-01   7.843E-02   1.615E-01   8.262E-01   4.500E-01   1.460E-01   5.392E-01   8.262E-01
  31.263  10.0   5.184E-02  -4.970E-02   5.258E-01   8.425E-02   1.460E-01   8.077E-01   4.500E-01   1.402E-01   5.258E-01   8.077E-01
  31.263  15.0   5.464E-02  -5.226E-02   5.195E-01   8.150E-02   2.033E-01   9.081E-01   3.500E-01   1.352E-01   5.195E-01   9.081E-01
  31.263  20.0   5.696E-02  -5.442E-02   5.131E-01   8.625E-02   1.921E-01   9.138E-01   3.500E-01   1.307E-01   5.131E-01   9.138E-01
  49.983   1.0   3.262E-02  -3.212E-02   5.744E-01   2.654E-02   1.901E-01   5.858E-01   1.000E+00   0.000E+00   5.744E-01   5.858E-01
  49.983   3.0   3.791E-02  -3.688E-02   5.764E-01   4.603E-02   1.485E-01   5.120E-01   1.000E+00   0.000E+00   5.764E-01   5.120E-01
  49.983   5.0   4.031E-02  -3.897E-02   5.733E-01   5.000E-02   1.353E-01   4.522E-01   1.000E+00   0.000E+00   5.733E-01   4.522E-01
