 -s2
 (GV)        a(1)        a(2)        a(3)        a(4)
 1.0   5.613E+02   1.900E-03   3.727E+07   3.281E-01
 2.0   6.359E+02   2.024E-03   4.093E+07   3.281E-01
 3.0   6.826E+02   2.082E-03   4.463E+07   3.281E-01
 4.0   7.020E+02   2.095E-03   4.989E+07   3.281E-01
 5.0   7.420E+02   2.121E-03   5.537E+07   3.281E-01
 6.0   7.885E+02   2.148E-03   6.075E+07   3.281E-01
 7.0   8.008E+02   2.159E-03   6.508E+07   3.281E-01
 8.0   7.881E+02   2.153E-03   6.822E+07   3.281E-01
 9.0   7.778E+02   2.140E-03   7.058E+07   3.281E-01
10.0   7.818E+02   2.133E-03   7.269E+07   3.281E-01
11.0   8.012E+02   2.133E-03   7.468E+07   3.281E-01
12.0   8.311E+02   2.139E-03   7.703E+07   3.281E-01
13.0   8.669E+02   2.148E-03   7.949E+07   3.281E-01
14.0   9.018E+02   2.158E-03   8.190E+07   3.281E-01
15.0   9.323E+02   2.170E-03   8.440E+07   3.281E-01
16.0   9.525E+02   2.182E-03   8.714E+07   3.281E-01
17.0   9.537E+02   2.184E-03   8.974E+07   3.281E-01
18.0   9.336E+02   2.173E-03   9.206E+07   3.281E-01
19.0   8.953E+02   2.153E-03   9.366E+07   3.281E-01
20.0   8.418E+02   2.121E-03   9.454E+07   3.281E-01
