W=   0.0    , r=  0.0 (GV), d=1033.0 (g/cm^2), g=  0.20
            1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32           33           34           35           36           37           38           39           40           41           42           43           44           45           46           47           48           49           50           51           52           53           54           55           56           57           58           59           60           61           62           63           64           65           66           67           68           69           70           71           72           73           74           75           76           77           78           79           80           81           82
   cos(theta)  1.12940E-02  1.42190E-02  1.79010E-02  2.25360E-02  2.83710E-02  3.57170E-02  4.49650E-02  5.66070E-02  7.12640E-02  8.97170E-02  1.12940E-01  1.42190E-01  1.79010E-01  2.25360E-01  2.83710E-01  3.57170E-01  4.49650E-01  5.66080E-01  7.12640E-01  8.97170E-01  1.12940E+00  1.42190E+00  1.79010E+00  2.25360E+00  2.83710E+00  3.57170E+00  4.49650E+00  5.66070E+00  7.12650E+00  8.97170E+00  1.12950E+01  1.42190E+01  1.79010E+01  2.25360E+01  2.83710E+01  3.57170E+01  4.49650E+01  5.66070E+01  7.12650E+01  8.97160E+01  1.12940E+02  1.42190E+02  1.79010E+02  2.25360E+02  2.83710E+02  3.57170E+02  4.49650E+02  5.66080E+02  7.12650E+02  8.97160E+02  1.12940E+03  1.42190E+03  1.79010E+03  2.25360E+03  2.83710E+03  3.57170E+03  4.49650E+03  5.66080E+03  7.12650E+03  8.97170E+03  1.12940E+04  1.42190E+04  1.79010E+04  2.25360E+04  2.83710E+04  3.57170E+04  4.49650E+04  5.66080E+04  7.12640E+04  8.97160E+04  1.12940E+05  1.42190E+05  1.79010E+05  2.25360E+05  2.83710E+05  3.57170E+05  4.49650E+05  5.66080E+05  7.12640E+05  8.97160E+05  0.00000E+00
 -1.00000E+00  1.91871E-04  1.84013E-04  1.76052E-04  1.67960E-04  1.59708E-04  1.51277E-04  1.42655E-04  1.33843E-04  1.24855E-04  1.15722E-04  1.03737E-04  8.80225E-05  7.20067E-05  5.75389E-05  4.61917E-05  3.84611E-05  3.31515E-05  2.86721E-05  2.42099E-05  1.93096E-05  1.37811E-05  8.08317E-06  3.46339E-06  9.07369E-07  9.16792E-08  7.77434E-08  2.50370E-07  3.91502E-07  4.52788E-07  4.36555E-07  3.71492E-07  2.89340E-07  2.09649E-07  1.41463E-07  8.80125E-08  4.93518E-08  2.36463E-08  8.13352E-09  4.79069E-10  5.91225E-09  7.78143E-09  7.66864E-09  6.64738E-09  5.34160E-09  4.07800E-09  2.99971E-09  2.14574E-09  1.50257E-09  1.03539E-09  7.05018E-10  4.76052E-10  3.19591E-10  2.13778E-10  1.42510E-10  9.42949E-11  6.11028E-11  3.81839E-11  2.20846E-11  1.29122E-11  8.01245E-12  5.05481E-12  3.15540E-12  1.96937E-12  1.22896E-12  7.66807E-13  4.78389E-13  2.98428E-13  1.86149E-13  1.16113E-13  7.24217E-14  4.51738E-14  2.81711E-14  1.75687E-14  1.09569E-14  6.83332E-15  4.26155E-15  2.65767E-15  1.65739E-15  1.03364E-15  6.44611E-16  3.67396E-04
 -9.80000E-01  1.86363E-04  1.78730E-04  1.70998E-04  1.63138E-04  1.55123E-04  1.46934E-04  1.38560E-04  1.30001E-04  1.21270E-04  1.12400E-04  1.01374E-04  8.72850E-05  7.26219E-05  5.87588E-05  4.71909E-05  3.90049E-05  3.34300E-05  2.88429E-05  2.43387E-05  1.94229E-05  1.38930E-05  8.20348E-06  3.59564E-06  1.04163E-06  2.04047E-07  1.49362E-07  2.86377E-07  4.08399E-07  4.61434E-07  4.41539E-07  3.74607E-07  2.91359E-07  2.10960E-07  1.42293E-07  8.85122E-08  4.96305E-08  2.37826E-08  8.18324E-09  4.79667E-10  5.88996E-09  7.75094E-09  7.63820E-09  6.62082E-09  5.32018E-09  4.06160E-09  2.98763E-09  2.13708E-09  1.49650E-09  1.03121E-09  7.02168E-10  4.74127E-10  3.18298E-10  2.12913E-10  1.41933E-10  9.39131E-11  6.08554E-11  3.80292E-11  2.19952E-11  1.28599E-11  7.98001E-12  5.03435E-12  3.14262E-12  1.96139E-12  1.22398E-12  7.63702E-13  4.76452E-13  2.97220E-13  1.85396E-13  1.15643E-13  7.21285E-14  4.49909E-14  2.80571E-14  1.74976E-14  1.09125E-14  6.80565E-15  4.24429E-15  2.64691E-15  1.65068E-15  1.02946E-15  6.42002E-16  3.70846E-04
 -9.60000E-01  1.81506E-04  1.74072E-04  1.66542E-04  1.58886E-04  1.51080E-04  1.43105E-04  1.34949E-04  1.26613E-04  1.18110E-04  1.09470E-04  9.92850E-05  8.66276E-05  7.31818E-05  5.99047E-05  4.81648E-05  3.95483E-05  3.37113E-05  2.90160E-05  2.44693E-05  1.95377E-05  1.40063E-05  8.32510E-06  3.72891E-06  1.17638E-06  3.16555E-07  2.21224E-07  3.22691E-07  4.25511E-07  4.70209E-07  4.46602E-07  3.77774E-07  2.93412E-07  2.12292E-07  1.43136E-07  8.90201E-08  4.99137E-08  2.39211E-08  8.23377E-09  4.80264E-10  5.86730E-09  7.71995E-09  7.60726E-09  6.59382E-09  5.29840E-09  4.04493E-09  2.97535E-09  2.12828E-09  1.49034E-09  1.02695E-09  6.99271E-10  4.72170E-10  3.16983E-10  2.12033E-10  1.41347E-10  9.35251E-11  6.06039E-11  3.78721E-11  2.19043E-11  1.28067E-11  7.94704E-12  5.01355E-12  3.12964E-12  1.95329E-12  1.21892E-12  7.60547E-13  4.74484E-13  2.95992E-13  1.84630E-13  1.15165E-13  7.18305E-14  4.48050E-14  2.79411E-14  1.74253E-14  1.08674E-14  6.77753E-15  4.22676E-15  2.63598E-15  1.64386E-15  1.02520E-15  6.39349E-16  3.74345E-04
 -9.40000E-01  1.77234E-04  1.69976E-04  1.62622E-04  1.55147E-04  1.47525E-04  1.39737E-04  1.31773E-04  1.23633E-04  1.15330E-04  1.06894E-04  9.74437E-05  8.60430E-05  7.36902E-05  6.09796E-05  4.91133E-05  4.00914E-05  3.39954E-05  2.91914E-05  2.46017E-05  1.96541E-05  1.41211E-05  8.44808E-06  3.86322E-06  1.31163E-06  4.29208E-07  2.93335E-07  3.59321E-07  4.42846E-07  4.79118E-07  4.51747E-07  3.80993E-07  2.95500E-07  2.13647E-07  1.43993E-07  8.95366E-08  5.02017E-08  2.40620E-08  8.28512E-09  4.80862E-10  5.84425E-09  7.68844E-09  7.57579E-09  6.56637E-09  5.27625E-09  4.02798E-09  2.96286E-09  2.11934E-09  1.48407E-09  1.02263E-09  6.96325E-10  4.70180E-10  3.15647E-10  2.11139E-10  1.40750E-10  9.31305E-11  6.03482E-11  3.77123E-11  2.18119E-11  1.27527E-11  7.91351E-12  4.99240E-12  3.11644E-12  1.94505E-12  1.21378E-12  7.57338E-13  4.72482E-13  2.94743E-13  1.83851E-13  1.14679E-13  7.15274E-14  4.46160E-14  2.78233E-14  1.73518E-14  1.08216E-14  6.74894E-15  4.20893E-15  2.62486E-15  1.63693E-15  1.02088E-15  6.36652E-16  3.77892E-04
 -9.20000E-01  1.73488E-04  1.66382E-04  1.59184E-04  1.51867E-04  1.44406E-04  1.36783E-04  1.28987E-04  1.21020E-04  1.12892E-04  1.04634E-04  9.58247E-05  8.55244E-05  7.41511E-05  6.19867E-05  5.00368E-05  4.06342E-05  3.42824E-05  2.93692E-05  2.47361E-05  1.97722E-05  1.42374E-05  8.57247E-06  3.99862E-06  1.44740E-06  5.42009E-07  3.65700E-07  3.96277E-07  4.60411E-07  4.88166E-07  4.56978E-07  3.84267E-07  2.97623E-07  2.15025E-07  1.44865E-07  9.00618E-08  5.04946E-08  2.42052E-08  8.33735E-09  4.81459E-10  5.82080E-09  7.65638E-09  7.54379E-09  6.53844E-09  5.25372E-09  4.01074E-09  2.95015E-09  2.11024E-09  1.47769E-09  1.01823E-09  6.93329E-10  4.68156E-10  3.14288E-10  2.10230E-10  1.40144E-10  9.27291E-11  6.00881E-11  3.75497E-11  2.17179E-11  1.26978E-11  7.87941E-12  4.97088E-12  3.10301E-12  1.93667E-12  1.20855E-12  7.54075E-13  4.70446E-13  2.93473E-13  1.83059E-13  1.14185E-13  7.12192E-14  4.44237E-14  2.77034E-14  1.72770E-14  1.07749E-14  6.71986E-15  4.19079E-15  2.61354E-15  1.62987E-15  1.01648E-15  6.33908E-16  3.81490E-04
 -9.00000E-01  1.70210E-04  1.63239E-04  1.56177E-04  1.48998E-04  1.41678E-04  1.34199E-04  1.26551E-04  1.18733E-04  1.10759E-04  1.02658E-04  9.44051E-05  8.50655E-05  7.45680E-05  6.29289E-05  5.09352E-05  4.11765E-05  3.45724E-05  2.95494E-05  2.48724E-05  1.98920E-05  1.43554E-05  8.69831E-06  4.13512E-06  1.58369E-06  6.54960E-07  4.38327E-07  4.33569E-07  4.78214E-07  4.97358E-07  4.62298E-07  3.87597E-07  2.99783E-07  2.16427E-07  1.45752E-07  9.05962E-08  5.07926E-08  2.43510E-08  8.39047E-09  4.82057E-10  5.79694E-09  7.62375E-09  7.51122E-09  6.51003E-09  5.23080E-09  3.99320E-09  2.93723E-09  2.10098E-09  1.47120E-09  1.01376E-09  6.90281E-10  4.66096E-10  3.12904E-10  2.09304E-10  1.39527E-10  9.23208E-11  5.98234E-11  3.73843E-11  2.16222E-11  1.26418E-11  7.84471E-12  4.94899E-12  3.08934E-12  1.92814E-12  1.20323E-12  7.50754E-13  4.68374E-13  2.92181E-13  1.82252E-13  1.13682E-13  7.09056E-14  4.42281E-14  2.75814E-14  1.72009E-14  1.07275E-14  6.69026E-15  4.17233E-15  2.60203E-15  1.62270E-15  1.01200E-15  6.31117E-16  3.85140E-04
 -8.80000E-01  1.67352E-04  1.60498E-04  1.53554E-04  1.46496E-04  1.39299E-04  1.31945E-04  1.24425E-04  1.16739E-04  1.08899E-04  1.00934E-04  9.31637E-05  8.46606E-05  7.49444E-05  6.38092E-05  5.18089E-05  4.17185E-05  3.48656E-05  2.97323E-05  2.50109E-05  2.00137E-05  1.44750E-05  8.82565E-06  4.27277E-06  1.72052E-06  7.68067E-07  5.11222E-07  4.71208E-07  4.96264E-07  5.06700E-07  4.67710E-07  3.90987E-07  3.01982E-07  2.17854E-07  1.46655E-07  9.11402E-08  5.10959E-08  2.44993E-08  8.44452E-09  4.82655E-10  5.77264E-09  7.59054E-09  7.47806E-09  6.48110E-09  5.20747E-09  3.97534E-09  2.92407E-09  2.09156E-09  1.46459E-09  1.00920E-09  6.87177E-10  4.64000E-10  3.11497E-10  2.08362E-10  1.38899E-10  9.19051E-11  5.95540E-11  3.72160E-11  2.15249E-11  1.25849E-11  7.80939E-12  4.92671E-12  3.07543E-12  1.91946E-12  1.19781E-12  7.47374E-13  4.66266E-13  2.90865E-13  1.81432E-13  1.13171E-13  7.05863E-14  4.40289E-14  2.74572E-14  1.71235E-14  1.06792E-14  6.66014E-15  4.15355E-15  2.59032E-15  1.61539E-15  1.00745E-15  6.28275E-16  3.88846E-04
 -8.60000E-01  1.64866E-04  1.58113E-04  1.51273E-04  1.44319E-04  1.37229E-04  1.29985E-04  1.22577E-04  1.15005E-04  1.07281E-04  9.94341E-05  9.20814E-05  8.43044E-05  7.52835E-05  6.46304E-05  5.26578E-05  4.22600E-05  3.51620E-05  2.99179E-05  2.51515E-05  2.01373E-05  1.45964E-05  8.95456E-06  4.41159E-06  1.85791E-06  8.81331E-07  5.84392E-07  5.09204E-07  5.14571E-07  5.16197E-07  4.73219E-07  3.94439E-07  3.04222E-07  2.19308E-07  1.47574E-07  9.16941E-08  5.14047E-08  2.46503E-08  8.49955E-09  4.83252E-10  5.74788E-09  7.55672E-09  7.44430E-09  6.45164E-09  5.18371E-09  3.95716E-09  2.91067E-09  2.08196E-09  1.45787E-09  1.00456E-09  6.84017E-10  4.61865E-10  3.10063E-10  2.07403E-10  1.38259E-10  9.14817E-11  5.92797E-11  3.70445E-11  2.14257E-11  1.25269E-11  7.77342E-12  4.90402E-12  3.06127E-12  1.91062E-12  1.19229E-12  7.43932E-13  4.64118E-13  2.89526E-13  1.80596E-13  1.12649E-13  7.02612E-14  4.38262E-14  2.73307E-14  1.70446E-14  1.06300E-14  6.62947E-15  4.13442E-15  2.57839E-15  1.60795E-15  1.00281E-15  6.25382E-16  3.92607E-04
 -8.40000E-01  1.62710E-04  1.56046E-04  1.49295E-04  1.42433E-04  1.35435E-04  1.28286E-04  1.20974E-04  1.13501E-04  1.05879E-04  9.81341E-05  9.11407E-05  8.39920E-05  7.55884E-05  6.53953E-05  5.34823E-05  4.28011E-05  3.54618E-05  3.01063E-05  2.52944E-05  2.02628E-05  1.47195E-05  9.08508E-06  4.55164E-06  1.99586E-06  9.94758E-07  6.57845E-07  5.47571E-07  5.33144E-07  5.25857E-07  4.78827E-07  3.97955E-07  3.06503E-07  2.20788E-07  1.48511E-07  9.22584E-08  5.17193E-08  2.48041E-08  8.55560E-09  4.83850E-10  5.72266E-09  7.52225E-09  7.40990E-09  6.42163E-09  5.15950E-09  3.93863E-09  2.89702E-09  2.07218E-09  1.45102E-09  9.99838E-10  6.80797E-10  4.59690E-10  3.08602E-10  2.06425E-10  1.37607E-10  9.10505E-11  5.90002E-11  3.68698E-11  2.13247E-11  1.24679E-11  7.73678E-12  4.88090E-12  3.04684E-12  1.90161E-12  1.18667E-12  7.40425E-13  4.61930E-13  2.88161E-13  1.79745E-13  1.12118E-13  6.99300E-14  4.36196E-14  2.72019E-14  1.69643E-14  1.05799E-14  6.59822E-15  4.11493E-15  2.56624E-15  1.60037E-15  9.98079E-16  6.22434E-16  3.96428E-04
