W=   0.0    , r=  0.0 (GV), d=1033.0 (g/cm^2), g=  0.20
            1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32           33           34           35           36           37           38           39           40           41           42           43           44           45           46           47           48           49           50           51           52           53           54           55           56           57           58           59           60           61           62           63           64           65           66           67           68           69           70           71           72           73           74           75           76           77           78           79           80           81           82
   cos(theta)  1.12940E-02  1.42190E-02  1.79010E-02  2.25360E-02  2.83710E-02  3.57170E-02  4.49650E-02  5.66070E-02  7.12640E-02  8.97170E-02  1.12940E-01  1.42190E-01  1.79010E-01  2.25360E-01  2.83710E-01  3.57170E-01  4.49650E-01  5.66080E-01  7.12640E-01  8.97170E-01  1.12940E+00  1.42190E+00  1.79010E+00  2.25360E+00  2.83710E+00  3.57170E+00  4.49650E+00  5.66070E+00  7.12650E+00  8.97170E+00  1.12950E+01  1.42190E+01  1.79010E+01  2.25360E+01  2.83710E+01  3.57170E+01  4.49650E+01  5.66070E+01  7.12650E+01  8.97160E+01  1.12940E+02  1.42190E+02  1.79010E+02  2.25360E+02  2.83710E+02  3.57170E+02  4.49650E+02  5.66080E+02  7.12650E+02  8.97160E+02  1.12940E+03  1.42190E+03  1.79010E+03  2.25360E+03  2.83710E+03  3.57170E+03  4.49650E+03  5.66080E+03  7.12650E+03  8.97170E+03  1.12940E+04  1.42190E+04  1.79010E+04  2.25360E+04  2.83710E+04  3.57170E+04  4.49650E+04  5.66080E+04  7.12640E+04  8.97160E+04  1.12940E+05  1.42190E+05  1.79010E+05  2.25360E+05  2.83710E+05  3.57170E+05  4.49650E+05  5.66080E+05  7.12640E+05  8.97160E+05  0.00000E+00
 -1.00000E+00  1.50995E-08  1.30392E-08  1.14554E-08  1.02413E-08  9.31399E-09  8.60932E-09  8.07743E-09  7.67959E-09  7.38561E-09  7.17191E-09  7.01996E-09  6.91469E-09  6.84377E-09  6.79611E-09  6.76086E-09  6.72586E-09  6.67587E-09  6.59024E-09  6.44068E-09  6.19042E-09  5.65979E-09  4.83398E-09  3.87412E-09  2.87610E-09  1.96320E-09  1.23205E-09  7.15363E-10  3.88167E-10  1.99212E-10  9.78708E-11  4.60702E-11  2.04379E-11  8.43108E-12  3.24556E-12  1.17758E-12  3.98623E-13  1.06243E-13  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.17411E-15  4.81073E-15  3.09485E-16  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.30004E-17  4.88514E-17  3.78145E-17  2.52786E-17  1.56225E-17  9.19545E-18  5.23736E-18  2.91388E-18  1.59343E-18  8.60009E-19  4.92936E-19  2.88497E-19  3.33105E-21  1.92134E-21  1.09212E-21  6.13062E-22  3.40533E-22  1.87484E-22  1.02470E-22  5.56618E-23  3.01004E-23  1.62084E-23  8.69692E-24  4.65302E-24  2.48355E-24  1.32301E-24  7.03682E-25  3.73795E-25  1.98371E-25  1.05183E-25  1.16218E-07
 -9.80000E-01  1.52281E-08  1.31502E-08  1.15529E-08  1.03285E-08  9.39330E-09  8.68262E-09  8.14620E-09  7.74498E-09  7.44849E-09  7.23298E-09  7.07973E-09  6.97357E-09  6.90204E-09  6.85398E-09  6.81843E-09  6.78313E-09  6.73271E-09  6.64635E-09  6.49552E-09  6.24313E-09  5.71130E-09  4.88397E-09  3.91976E-09  2.91488E-09  1.99370E-09  1.25432E-09  7.30607E-10  3.98087E-10  2.05453E-10  1.01734E-10  4.84383E-11  2.18594E-11  9.25835E-12  3.71311E-12  1.43472E-12  5.36040E-13  1.79036E-13  4.37270E-14  2.10962E-14  8.29877E-15  2.66431E-15  6.07857E-16  4.22295E-15  4.82467E-15  3.90878E-16  6.60360E-17  3.85060E-17  1.91978E-17  8.76493E-18  3.78533E-18  4.40862E-17  4.89393E-17  3.76454E-17  2.50967E-17  1.54876E-17  9.10828E-18  5.18490E-18  2.88364E-18  1.57648E-18  8.50699E-19  4.87563E-19  2.85353E-19  3.29474E-21  1.90040E-21  1.08021E-21  6.06379E-22  3.36821E-22  1.85440E-22  1.01353E-22  5.50550E-23  2.97723E-23  1.60317E-23  8.60212E-24  4.60230E-24  2.45647E-24  1.30859E-24  6.96012E-25  3.69720E-25  1.96209E-25  1.04037E-25  1.18602E-07
 -9.60000E-01  1.53572E-08  1.32617E-08  1.16508E-08  1.04160E-08  9.47293E-09  8.75623E-09  8.21527E-09  7.81064E-09  7.51164E-09  7.29430E-09  7.13975E-09  7.03269E-09  6.96055E-09  6.91209E-09  6.87623E-09  6.84064E-09  6.78979E-09  6.70270E-09  6.55059E-09  6.29606E-09  5.76305E-09  4.93421E-09  3.96565E-09  2.95390E-09  2.02441E-09  1.27675E-09  7.45968E-10  4.08088E-10  2.11749E-10  1.05632E-10  5.08292E-11  2.32952E-11  1.00943E-11  4.18572E-12  1.69474E-12  6.75029E-13  2.52661E-13  8.78685E-14  4.23768E-14  1.66715E-14  5.35281E-15  1.22129E-15  4.27223E-15  4.83875E-15  4.73000E-16  1.32655E-16  7.73484E-17  3.85626E-17  1.76062E-17  7.60375E-18  4.51816E-17  4.90280E-17  3.74747E-17  2.49132E-17  1.53515E-17  9.02033E-18  5.13196E-18  2.85312E-18  1.55938E-18  8.41303E-19  4.82140E-19  2.82179E-19  3.25810E-21  1.87926E-21  1.06820E-21  5.99635E-22  3.33075E-22  1.83378E-22  1.00226E-22  5.44427E-23  2.94412E-23  1.58534E-23  8.50645E-24  4.55112E-24  2.42915E-24  1.29403E-24  6.88271E-25  3.65608E-25  1.94026E-25  1.02880E-25  1.20994E-07
 -9.40000E-01  1.54869E-08  1.33736E-08  1.17492E-08  1.05040E-08  9.55290E-09  8.83016E-09  8.28462E-09  7.87658E-09  7.57506E-09  7.35588E-09  7.20003E-09  7.09206E-09  7.01932E-09  6.97044E-09  6.93428E-09  6.89839E-09  6.84711E-09  6.75928E-09  6.60589E-09  6.34921E-09  5.81503E-09  4.98470E-09  4.01181E-09  2.99315E-09  2.05532E-09  1.29935E-09  7.61451E-10  4.18174E-10  2.18101E-10  1.09568E-10  5.32437E-11  2.47458E-11  1.09392E-11  4.66356E-12  1.95771E-12  8.15640E-13  3.27143E-13  1.32437E-13  6.38474E-14  2.51205E-14  8.06622E-15  1.84046E-15  4.32198E-15  4.85295E-15  5.55872E-16  1.99874E-16  1.16537E-16  5.80993E-17  2.65260E-17  1.14562E-17  4.62868E-17  4.91174E-17  3.73025E-17  2.47280E-17  1.52142E-17  8.93156E-18  5.07853E-18  2.82232E-18  1.54212E-18  8.31821E-19  4.76667E-19  2.78976E-19  3.22111E-21  1.85793E-21  1.05607E-21  5.92828E-22  3.29294E-22  1.81296E-22  9.90879E-23  5.38246E-23  2.91070E-23  1.56734E-23  8.40988E-24  4.49945E-24  2.40158E-24  1.27934E-24  6.80458E-25  3.61458E-25  1.91824E-25  1.01712E-25  1.23394E-07
 -9.20000E-01  1.56171E-08  1.34861E-08  1.18480E-08  1.05923E-08  9.63323E-09  8.90440E-09  8.35428E-09  7.94280E-09  7.63875E-09  7.41773E-09  7.26057E-09  7.15169E-09  7.07834E-09  7.02905E-09  6.99259E-09  6.95639E-09  6.90469E-09  6.81611E-09  6.66143E-09  6.40260E-09  5.86725E-09  5.03546E-09  4.05823E-09  3.03266E-09  2.08645E-09  1.32211E-09  7.77058E-10  4.28346E-10  2.24510E-10  1.13541E-10  5.56826E-11  2.62117E-11  1.17933E-11  5.14680E-12  2.22374E-12  9.57930E-13  4.02513E-13  1.77447E-13  8.55138E-14  3.36480E-14  1.08053E-14  2.46555E-15  4.37221E-15  4.86729E-15  6.39519E-16  2.67712E-16  1.56083E-16  7.78132E-17  3.55267E-17  1.53438E-17  4.74022E-17  4.92077E-17  3.71288E-17  2.45411E-17  1.50756E-17  8.84196E-18  5.02460E-18  2.79123E-18  1.52470E-18  8.22247E-19  4.71141E-19  2.75742E-19  3.18377E-21  1.83639E-21  1.04383E-21  5.85956E-22  3.25477E-22  1.79194E-22  9.79392E-23  5.32007E-23  2.87695E-23  1.54917E-23  8.31239E-24  4.44729E-24  2.37374E-24  1.26451E-24  6.72569E-25  3.57268E-25  1.89600E-25  1.00533E-25  1.25803E-07
 -9.00000E-01  1.57479E-08  1.35990E-08  1.19472E-08  1.06810E-08  9.71391E-09  8.97898E-09  8.42425E-09  8.00933E-09  7.70272E-09  7.47985E-09  7.32137E-09  7.21159E-09  7.13762E-09  7.08792E-09  7.05115E-09  7.01465E-09  6.96251E-09  6.87320E-09  6.71722E-09  6.45622E-09  5.91972E-09  5.08648E-09  4.10492E-09  3.07242E-09  2.11779E-09  1.34505E-09  7.92794E-10  4.38608E-10  2.30980E-10  1.17553E-10  5.81466E-11  2.76932E-11  1.26569E-11  5.63562E-12  2.49294E-12  1.10195E-12  4.78799E-13  2.22911E-13  1.07382E-13  4.22565E-14  1.35709E-14  3.09674E-15  4.42292E-15  4.88177E-15  7.23964E-16  3.36187E-16  1.95997E-16  9.77099E-17  4.46110E-17  1.92677E-17  4.85279E-17  4.92989E-17  3.69533E-17  2.43524E-17  1.49357E-17  8.75149E-18  4.97015E-18  2.75984E-18  1.50711E-18  8.12580E-19  4.65562E-19  2.72476E-19  3.14607E-21  1.81465E-21  1.03147E-21  5.79017E-22  3.21622E-22  1.77072E-22  9.67794E-23  5.25707E-23  2.84288E-23  1.53083E-23  8.21395E-24  4.39462E-24  2.34562E-24  1.24954E-24  6.64604E-25  3.53037E-25  1.87355E-25  9.93421E-26  1.28221E-07
 -8.80000E-01  1.58793E-08  1.37125E-08  1.20469E-08  1.07701E-08  9.79495E-09  9.05389E-09  8.49453E-09  8.07615E-09  7.76699E-09  7.54226E-09  7.38246E-09  7.27176E-09  7.19717E-09  7.14705E-09  7.10998E-09  7.07318E-09  7.02060E-09  6.93054E-09  6.77327E-09  6.51009E-09  5.97245E-09  5.13779E-09  4.15189E-09  3.11245E-09  2.14937E-09  1.36817E-09  8.08662E-10  4.48962E-10  2.37511E-10  1.21606E-10  6.06365E-11  2.91911E-11  1.35304E-11  6.13020E-12  2.76540E-12  1.24777E-12  5.56035E-13  2.68845E-13  1.29458E-13  5.09487E-14  1.63639E-14  3.73424E-15  4.47414E-15  4.89639E-15  8.09233E-16  4.05321E-16  2.36290E-16  1.17795E-16  5.37814E-17  2.32288E-17  4.96645E-17  4.93909E-17  3.67762E-17  2.41618E-17  1.47943E-17  8.66014E-18  4.91516E-18  2.72814E-18  1.48934E-18  8.02817E-19  4.59926E-19  2.69178E-19  3.10799E-21  1.79268E-21  1.01898E-21  5.72008E-22  3.17729E-22  1.74929E-22  9.56079E-23  5.19343E-23  2.80847E-23  1.51230E-23  8.11453E-24  4.34143E-24  2.31723E-24  1.23441E-24  6.56560E-25  3.48763E-25  1.85087E-25  9.81396E-26  1.30648E-07
 -8.60000E-01  1.60113E-08  1.38265E-08  1.21470E-08  1.08596E-08  9.87637E-09  9.12915E-09  8.56515E-09  8.14328E-09  7.83155E-09  7.60496E-09  7.44383E-09  7.33220E-09  7.25700E-09  7.20647E-09  7.16908E-09  7.13198E-09  7.07896E-09  6.98816E-09  6.82957E-09  6.56420E-09  6.02543E-09  5.18937E-09  4.19916E-09  3.15275E-09  2.18118E-09  1.39148E-09  8.24667E-10  4.59410E-10  2.44106E-10  1.25700E-10  6.31532E-11  3.07058E-11  1.44141E-11  6.63075E-12  3.04126E-12  1.39545E-12  6.34253E-13  3.15264E-13  1.51750E-13  5.97271E-14  1.91851E-14  4.37825E-15  4.52589E-15  4.91116E-15  8.95353E-16  4.75135E-16  2.76976E-16  1.38075E-16  6.30408E-17  2.72286E-17  5.08122E-17  4.94838E-17  3.65973E-17  2.39694E-17  1.46516E-17  8.56786E-18  4.85961E-18  2.69611E-18  1.47139E-18  7.92954E-19  4.54233E-19  2.65846E-19  3.06952E-21  1.77049E-21  1.00637E-21  5.64928E-22  3.13796E-22  1.72764E-22  9.44245E-23  5.12915E-23  2.77371E-23  1.49358E-23  8.01409E-24  4.28769E-24  2.28855E-24  1.21913E-24  6.48433E-25  3.44446E-25  1.82796E-25  9.69248E-26  1.33084E-07
 -8.40000E-01  1.61439E-08  1.39410E-08  1.22477E-08  1.09496E-08  9.95818E-09  9.20477E-09  8.63609E-09  8.21074E-09  7.89642E-09  7.66795E-09  7.50549E-09  7.39294E-09  7.31711E-09  7.26616E-09  7.22847E-09  7.19105E-09  7.13760E-09  7.04604E-09  6.88614E-09  6.61858E-09  6.07869E-09  5.24125E-09  4.24672E-09  3.19333E-09  2.21322E-09  1.41497E-09  8.40813E-10  4.69957E-10  2.50766E-10  1.29837E-10  6.56977E-11  3.22379E-11  1.53083E-11  7.13748E-12  3.32062E-12  1.54505E-12  7.13489E-13  3.62185E-13  1.74264E-13  6.85948E-14  2.20355E-14  5.02899E-15  4.57817E-15  4.92608E-15  9.82353E-16  5.45651E-16  3.18067E-16  1.58556E-16  7.23920E-17  3.12682E-17  5.19714E-17  4.95777E-17  3.64165E-17  2.37750E-17  1.45074E-17  8.47464E-18  4.80349E-18  2.66376E-18  1.45326E-18  7.82988E-19  4.48481E-19  2.62479E-19  3.03064E-21  1.74807E-21  9.93627E-22  5.57774E-22  3.09823E-22  1.70576E-22  9.32287E-23  5.06419E-23  2.73858E-23  1.47466E-23  7.91260E-24  4.23339E-24  2.25957E-24  1.20369E-24  6.40221E-25  3.40084E-25  1.80481E-25  9.56974E-26  1.35529E-07
