W=   0.0    , r=  0.0 (GV), d=1033.0 (g/cm^2), g=  0.20
            1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32           33           34           35           36           37           38           39           40           41           42           43           44           45           46           47           48           49           50           51           52           53           54           55           56           57           58           59           60           61           62           63           64           65           66           67           68           69           70           71           72           73           74           75           76           77           78           79           80           81           82
   cos(theta)  1.12940E-02  1.42190E-02  1.79010E-02  2.25360E-02  2.83710E-02  3.57170E-02  4.49650E-02  5.66070E-02  7.12640E-02  8.97170E-02  1.12940E-01  1.42190E-01  1.79010E-01  2.25360E-01  2.83710E-01  3.57170E-01  4.49650E-01  5.66080E-01  7.12640E-01  8.97170E-01  1.12940E+00  1.42190E+00  1.79010E+00  2.25360E+00  2.83710E+00  3.57170E+00  4.49650E+00  5.66070E+00  7.12650E+00  8.97170E+00  1.12950E+01  1.42190E+01  1.79010E+01  2.25360E+01  2.83710E+01  3.57170E+01  4.49650E+01  5.66070E+01  7.12650E+01  8.97160E+01  1.12940E+02  1.42190E+02  1.79010E+02  2.25360E+02  2.83710E+02  3.57170E+02  4.49650E+02  5.66080E+02  7.12650E+02  8.97160E+02  1.12940E+03  1.42190E+03  1.79010E+03  2.25360E+03  2.83710E+03  3.57170E+03  4.49650E+03  5.66080E+03  7.12650E+03  8.97170E+03  1.12940E+04  1.42190E+04  1.79010E+04  2.25360E+04  2.83710E+04  3.57170E+04  4.49650E+04  5.66080E+04  7.12640E+04  8.97160E+04  1.12940E+05  1.42190E+05  1.79010E+05  2.25360E+05  2.83710E+05  3.57170E+05  4.49650E+05  5.66080E+05  7.12640E+05  8.97160E+05  0.00000E+00
 -1.00000E+00  1.19023E-04  3.99484E-04  1.32871E-03  4.35977E-03  1.39189E-02  4.02498E-02  8.36780E-02  9.80215E-02  7.69313E-02  5.25541E-02  3.43175E-02  2.16435E-02  1.30133E-02  7.77295E-03  4.51389E-03  2.53888E-03  1.39171E-03  2.74782E-03  4.10473E-04  2.30327E-04  1.35500E-04  8.40448E-05  5.45876E-05  3.67244E-05  2.52825E-05  1.75990E-05  1.22723E-05  8.51981E-06  5.86332E-06  3.98700E-06  2.67000E-06  1.75517E-06  1.12808E-06  7.06288E-07  4.29330E-07  2.52828E-07  1.44188E-07  7.97661E-08  4.29470E-08  2.26107E-08  1.16991E-08  5.97596E-09  3.02804E-09  1.52775E-09  7.69900E-10  3.88530E-10  1.96765E-10  1.00166E-10  5.17821E-11  2.85485E-11  1.57473E-11  8.69335E-12  4.80719E-12  2.66309E-12  1.47284E-12  8.03974E-13  4.51926E-13  2.64099E-13  1.54872E-13  8.84944E-14  5.00715E-14  2.83908E-14  1.60988E-14  9.12906E-15  5.17681E-15  2.93555E-15  1.66463E-15  9.43927E-16  5.35284E-16  3.03537E-16  1.72144E-16  9.76036E-17  5.53442E-17  3.13833E-17  1.77963E-17  1.00915E-17  5.72246E-18  3.24490E-18  1.84012E-18  1.04345E-18  3.59354E-01
 -9.80000E-01  1.18271E-04  3.97299E-04  1.32183E-03  4.33796E-03  1.38505E-02  4.00519E-02  8.32571E-02  9.75038E-02  7.64934E-02  5.22251E-02  3.40814E-02  2.14993E-02  1.29600E-02  7.74708E-03  4.50177E-03  2.53468E-03  1.39143E-03  2.75234E-03  4.12008E-04  2.31661E-04  1.36499E-04  8.47301E-05  5.50440E-05  3.70224E-05  2.54728E-05  1.77181E-05  1.23454E-05  8.56370E-06  5.88901E-06  4.00158E-06  2.67794E-06  1.75926E-06  1.13003E-06  7.07106E-07  4.29594E-07  2.52853E-07  1.44131E-07  7.96971E-08  4.28904E-08  2.25711E-08  1.16738E-08  5.96069E-09  3.01918E-09  1.52275E-09  7.67142E-10  3.87029E-10  1.95956E-10  9.97333E-11  5.15517E-11  2.84262E-11  1.56824E-11  8.65901E-12  4.78897E-12  2.65341E-12  1.46774E-12  8.01395E-13  4.50511E-13  2.63229E-13  1.54333E-13  8.81846E-14  4.98975E-14  2.82921E-14  1.60428E-14  9.09733E-15  5.15881E-15  2.92535E-15  1.65885E-15  9.40646E-16  5.33423E-16  3.02482E-16  1.71546E-16  9.72644E-17  5.51518E-17  3.12743E-17  1.77345E-17  1.00564E-17  5.70257E-18  3.23362E-18  1.83372E-18  1.03982E-18  3.57888E-01
 -9.60000E-01  1.17514E-04  3.95090E-04  1.31487E-03  4.31592E-03  1.37814E-02  3.98520E-02  8.28320E-02  9.69814E-02  7.60520E-02  5.18939E-02  3.38441E-02  2.13544E-02  1.29061E-02  7.72093E-03  4.48952E-03  2.53044E-03  1.39115E-03  2.75691E-03  4.13560E-04  2.33009E-04  1.37509E-04  8.54229E-05  5.55055E-05  3.73235E-05  2.56651E-05  1.78385E-05  1.24193E-05  8.60807E-06  5.91499E-06  4.01631E-06  2.68597E-06  1.76340E-06  1.13200E-06  7.07932E-07  4.29861E-07  2.52878E-07  1.44073E-07  7.96273E-08  4.28332E-08  2.25311E-08  1.16482E-08  5.94525E-09  3.01023E-09  1.51771E-09  7.64353E-10  3.85510E-10  1.95138E-10  9.92958E-11  5.13188E-11  2.83026E-11  1.56169E-11  8.62430E-12  4.77056E-12  2.64363E-12  1.46258E-12  7.98787E-13  4.49081E-13  2.62349E-13  1.53789E-13  8.78714E-14  4.97216E-14  2.81924E-14  1.59863E-14  9.06526E-15  5.14063E-15  2.91504E-15  1.65300E-15  9.37330E-16  5.31542E-16  3.01415E-16  1.70941E-16  9.69215E-17  5.49574E-17  3.11640E-17  1.76720E-17  1.00210E-17  5.68246E-18  3.22222E-18  1.82726E-18  1.03616E-18  3.56405E-01
 -9.40000E-01  1.16751E-04  3.92858E-04  1.30784E-03  4.29363E-03  1.37115E-02  3.96500E-02  8.24027E-02  9.64541E-02  7.56069E-02  5.15604E-02  3.36055E-02  2.12087E-02  1.28518E-02  7.69449E-03  4.47714E-03  2.52615E-03  1.39086E-03  2.76153E-03  4.15129E-04  2.34372E-04  1.38530E-04  8.61234E-05  5.59720E-05  3.76280E-05  2.58595E-05  1.79602E-05  1.24939E-05  8.65293E-06  5.94125E-06  4.03121E-06  2.69409E-06  1.76759E-06  1.13399E-06  7.08768E-07  4.30131E-07  2.52904E-07  1.44015E-07  7.95567E-08  4.27753E-08  2.24906E-08  1.16223E-08  5.92964E-09  3.00118E-09  1.51260E-09  7.61534E-10  3.83975E-10  1.94311E-10  9.88534E-11  5.10833E-11  2.81776E-11  1.55507E-11  8.58920E-12  4.75194E-12  2.63374E-12  1.45737E-12  7.96151E-13  4.47635E-13  2.61459E-13  1.53238E-13  8.75548E-14  4.95437E-14  2.80915E-14  1.59291E-14  9.03283E-15  5.12224E-15  2.90461E-15  1.64709E-15  9.33977E-16  5.29641E-16  3.00337E-16  1.70329E-16  9.65748E-17  5.47608E-17  3.10525E-17  1.76087E-17  9.98512E-18  5.66214E-18  3.21069E-18  1.82072E-18  1.03245E-18  3.54906E-01
 -9.20000E-01  1.15983E-04  3.90600E-04  1.30073E-03  4.27110E-03  1.36409E-02  3.94459E-02  8.19690E-02  9.59218E-02  7.51580E-02  5.12246E-02  3.33658E-02  2.10624E-02  1.27968E-02  7.66775E-03  4.46463E-03  2.52182E-03  1.39058E-03  2.76620E-03  4.16716E-04  2.35750E-04  1.39562E-04  8.68319E-05  5.64438E-05  3.79360E-05  2.60562E-05  1.80833E-05  1.25695E-05  8.69829E-06  5.96781E-06  4.04628E-06  2.70229E-06  1.77182E-06  1.13601E-06  7.09613E-07  4.30405E-07  2.52930E-07  1.43957E-07  7.94853E-08  4.27168E-08  2.24497E-08  1.15962E-08  5.91386E-09  2.99202E-09  1.50744E-09  7.58683E-10  3.82423E-10  1.93474E-10  9.84060E-11  5.08452E-11  2.80512E-11  1.54837E-11  8.55371E-12  4.73311E-12  2.62373E-12  1.45209E-12  7.93485E-13  4.46173E-13  2.60559E-13  1.52681E-13  8.72346E-14  4.93639E-14  2.79896E-14  1.58712E-14  9.00004E-15  5.10364E-15  2.89406E-15  1.64111E-15  9.30586E-16  5.27718E-16  2.99247E-16  1.69711E-16  9.62242E-17  5.45620E-17  3.09398E-17  1.75448E-17  9.94887E-18  5.64158E-18  3.19903E-18  1.81411E-18  1.02870E-18  3.53390E-01
 -9.00000E-01  1.15209E-04  3.88317E-04  1.29354E-03  4.24830E-03  1.35695E-02  3.92395E-02  8.15307E-02  9.53843E-02  7.47052E-02  5.08864E-02  3.31247E-02  2.09153E-02  1.27412E-02  7.64071E-03  4.45198E-03  2.51745E-03  1.39029E-03  2.77093E-03  4.18322E-04  2.37145E-04  1.40607E-04  8.75486E-05  5.69211E-05  3.82475E-05  2.62551E-05  1.82078E-05  1.26459E-05  8.74418E-06  5.99467E-06  4.06152E-06  2.71059E-06  1.77610E-06  1.13805E-06  7.10468E-07  4.30681E-07  2.52956E-07  1.43897E-07  7.94131E-08  4.26576E-08  2.24083E-08  1.15697E-08  5.89789E-09  2.98277E-09  1.50222E-09  7.55799E-10  3.80853E-10  1.92628E-10  9.79535E-11  5.06043E-11  2.79234E-11  1.54159E-11  8.51780E-12  4.71407E-12  2.61362E-12  1.44676E-12  7.90789E-13  4.44695E-13  2.59649E-13  1.52118E-13  8.69106E-14  4.91819E-14  2.78864E-14  1.58127E-14  8.96687E-15  5.08483E-15  2.88340E-15  1.63506E-15  9.27156E-16  5.25773E-16  2.98144E-16  1.69086E-16  9.58695E-17  5.43609E-17  3.08257E-17  1.74801E-17  9.91220E-18  5.62079E-18  3.18724E-18  1.80742E-18  1.02491E-18  3.51856E-01
 -8.80000E-01  1.14429E-04  3.86007E-04  1.28627E-03  4.22525E-03  1.34973E-02  3.90308E-02  8.10877E-02  9.48415E-02  7.42485E-02  5.05457E-02  3.28824E-02  2.07674E-02  1.26850E-02  7.61334E-03  4.43918E-03  2.51302E-03  1.39001E-03  2.77572E-03  4.19946E-04  2.38556E-04  1.41664E-04  8.82738E-05  5.74040E-05  3.85627E-05  2.64564E-05  1.83338E-05  1.27232E-05  8.79061E-06  6.02185E-06  4.07694E-06  2.71899E-06  1.78043E-06  1.14011E-06  7.11333E-07  4.30961E-07  2.52983E-07  1.43837E-07  7.93401E-08  4.25978E-08  2.23664E-08  1.15429E-08  5.88173E-09  2.97340E-09  1.49694E-09  7.52881E-10  3.79264E-10  1.91772E-10  9.74956E-11  5.03606E-11  2.77940E-11  1.53474E-11  8.48148E-12  4.69480E-12  2.60338E-12  1.44136E-12  7.88060E-13  4.43198E-13  2.58728E-13  1.51548E-13  8.65829E-14  4.89978E-14  2.77820E-14  1.57536E-14  8.93331E-15  5.06580E-15  2.87261E-15  1.62894E-15  9.23686E-16  5.23805E-16  2.97028E-16  1.68453E-16  9.55107E-17  5.41574E-17  3.07104E-17  1.74147E-17  9.87510E-18  5.59975E-18  3.17531E-18  1.80066E-18  1.02108E-18  3.50304E-01
 -8.60000E-01  1.13643E-04  3.83670E-04  1.27890E-03  4.20192E-03  1.34242E-02  3.88197E-02  8.06398E-02  9.42931E-02  7.37876E-02  5.02025E-02  3.26387E-02  2.06187E-02  1.26282E-02  7.58564E-03  4.42623E-03  2.50854E-03  1.38972E-03  2.78057E-03  4.21591E-04  2.39984E-04  1.42734E-04  8.90078E-05  5.78927E-05  3.88817E-05  2.66600E-05  1.84613E-05  1.28015E-05  8.83760E-06  6.04936E-06  4.09255E-06  2.72749E-06  1.78481E-06  1.14220E-06  7.12208E-07  4.31244E-07  2.53010E-07  1.43777E-07  7.92661E-08  4.25372E-08  2.23241E-08  1.15158E-08  5.86539E-09  2.96392E-09  1.49160E-09  7.49928E-10  3.77657E-10  1.90906E-10  9.70323E-11  5.01139E-11  2.76631E-11  1.52780E-11  8.44472E-12  4.67530E-12  2.59302E-12  1.43590E-12  7.85299E-13  4.41684E-13  2.57796E-13  1.50972E-13  8.62512E-14  4.88115E-14  2.76764E-14  1.56937E-14  8.89934E-15  5.04654E-15  2.86168E-15  1.62275E-15  9.20174E-16  5.21814E-16  2.95898E-16  1.67812E-16  9.51475E-17  5.39515E-17  3.05936E-17  1.73485E-17  9.83756E-18  5.57846E-18  3.16324E-18  1.79381E-18  1.01719E-18  3.48734E-01
 -8.40000E-01  1.12850E-04  3.81304E-04  1.27145E-03  4.17830E-03  1.33502E-02  3.86061E-02  8.01870E-02  9.37390E-02  7.33224E-02  4.98567E-02  3.23937E-02  2.04692E-02  1.25708E-02  7.55760E-03  4.41313E-03  2.50402E-03  1.38942E-03  2.78547E-03  4.23256E-04  2.41430E-04  1.43817E-04  8.97510E-05  5.83875E-05  3.92046E-05  2.68663E-05  1.85903E-05  1.28807E-05  8.88517E-06  6.07721E-06  4.10835E-06  2.73610E-06  1.78925E-06  1.14431E-06  7.13095E-07  4.31530E-07  2.53037E-07  1.43715E-07  7.91913E-08  4.24758E-08  2.22812E-08  1.14884E-08  5.84883E-09  2.95432E-09  1.48619E-09  7.46939E-10  3.76029E-10  1.90029E-10  9.65632E-11  4.98642E-11  2.75306E-11  1.52078E-11  8.40750E-12  4.65556E-12  2.58253E-12  1.43036E-12  7.82504E-13  4.40151E-13  2.56853E-13  1.50388E-13  8.59155E-14  4.86229E-14  2.75694E-14  1.56330E-14  8.86495E-15  5.02704E-15  2.85063E-15  1.61648E-15  9.16618E-16  5.19797E-16  2.94755E-16  1.67164E-16  9.47799E-17  5.37430E-17  3.04754E-17  1.72815E-17  9.79954E-18  5.55690E-18  3.15102E-18  1.78688E-18  1.01326E-18  3.47143E-01
 -8.20000E-01  1.12050E-04  3.78908E-04  1.26390E-03  4.15439E-03  1.32754E-02  3.83900E-02  7.97289E-02  9.31790E-02  7.28529E-02  4.95082E-02  3.21472E-02  2.03189E-02  1.25126E-02  7.52921E-03  4.39986E-03  2.49943E-03  1.38913E-03  2.79045E-03  4.24942E-04  2.42895E-04  1.44914E-04  9.05036E-05  5.88886E-05  3.95316E-05  2.70751E-05  1.87210E-05  1.29609E-05  8.93334E-06  6.10541E-06  4.12434E-06  2.74481E-06  1.79375E-06  1.14645E-06  7.13992E-07  4.31820E-07  2.53065E-07  1.43653E-07  7.91155E-08  4.24137E-08  2.22377E-08  1.14606E-08  5.83207E-09  2.94460E-09  1.48071E-09  7.43912E-10  3.74381E-10  1.89141E-10  9.60881E-11  4.96113E-11  2.73964E-11  1.51366E-11  8.36981E-12  4.63557E-12  2.57191E-12  1.42476E-12  7.79673E-13  4.38599E-13  2.55897E-13  1.49797E-13  8.55755E-14  4.84319E-14  2.74612E-14  1.55716E-14  8.83013E-15  5.00729E-15  2.83943E-15  1.61013E-15  9.13018E-16  5.17756E-16  2.93597E-16  1.66507E-16  9.44076E-17  5.35319E-17  3.03557E-17  1.72136E-17  9.76105E-18  5.53508E-18  3.13864E-18  1.77986E-18  1.00928E-18  3.45533E-01
