W=   0.0    , r=  0.0 (GV), d=1033.0 (g/cm^2), g=  0.20
            1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32           33           34           35           36           37           38           39           40           41           42           43           44           45           46           47           48           49           50           51           52           53           54           55           56           57           58           59           60           61           62           63           64           65           66           67           68           69           70           71           72           73           74           75           76           77           78           79           80           81           82
   cos(theta)  1.12940E-02  1.42190E-02  1.79010E-02  2.25360E-02  2.83710E-02  3.57170E-02  4.49650E-02  5.66070E-02  7.12640E-02  8.97170E-02  1.12940E-01  1.42190E-01  1.79010E-01  2.25360E-01  2.83710E-01  3.57170E-01  4.49650E-01  5.66080E-01  7.12640E-01  8.97170E-01  1.12940E+00  1.42190E+00  1.79010E+00  2.25360E+00  2.83710E+00  3.57170E+00  4.49650E+00  5.66070E+00  7.12650E+00  8.97170E+00  1.12950E+01  1.42190E+01  1.79010E+01  2.25360E+01  2.83710E+01  3.57170E+01  4.49650E+01  5.66070E+01  7.12650E+01  8.97160E+01  1.12940E+02  1.42190E+02  1.79010E+02  2.25360E+02  2.83710E+02  3.57170E+02  4.49650E+02  5.66080E+02  7.12650E+02  8.97160E+02  1.12940E+03  1.42190E+03  1.79010E+03  2.25360E+03  2.83710E+03  3.57170E+03  4.49650E+03  5.66080E+03  7.12650E+03  8.97170E+03  1.12940E+04  1.42190E+04  1.79010E+04  2.25360E+04  2.83710E+04  3.57170E+04  4.49650E+04  5.66080E+04  7.12640E+04  8.97160E+04  1.12940E+05  1.42190E+05  1.79010E+05  2.25360E+05  2.83710E+05  3.57170E+05  4.49650E+05  5.66080E+05  7.12640E+05  8.97160E+05  0.00000E+00
 -1.00000E+00  4.90343E-07  5.82766E-07  6.91979E-07  8.20689E-07  9.71846E-07  1.14854E-06  1.35382E-06  1.59036E-06  1.86008E-06  2.16345E-06  2.43366E-06  2.58890E-06  2.64859E-06  2.63596E-06  2.62001E-06  2.68019E-06  2.81184E-06  2.92891E-06  2.94532E-06  2.76664E-06  2.30080E-06  1.55764E-06  7.63956E-07  2.27517E-07  2.59828E-08  2.47870E-08  8.94443E-08  1.56145E-07  2.00875E-07  2.14549E-07  2.01271E-07  1.71780E-07  1.35397E-07  9.85124E-08  6.54269E-08  3.87404E-08  1.93874E-08  6.89481E-09  4.16335E-10  5.23478E-09  6.99378E-09  6.98797E-09  6.14648E-09  5.02358E-09  3.91379E-09  2.94906E-09  2.16929E-09  1.56793E-09  1.11896E-09  7.91462E-10  5.56564E-10  3.89975E-10  2.72753E-10  1.90396E-10  1.32079E-10  8.98187E-11  5.89504E-11  3.58322E-11  2.20281E-11  1.43785E-11  9.54454E-12  6.27085E-12  4.12008E-12  2.70700E-12  1.77854E-12  1.16850E-12  7.67700E-13  5.04363E-13  3.31370E-13  2.17704E-13  1.43040E-13  9.39660E-14  6.17314E-14  4.05561E-14  2.66446E-14  1.75048E-14  1.15003E-14  7.55528E-15  4.96378E-15  3.26108E-15  1.50966E-05
 -9.80000E-01  4.76266E-07  5.66035E-07  6.72113E-07  7.97128E-07  9.43946E-07  1.11557E-06  1.31495E-06  1.54470E-06  1.80668E-06  2.10134E-06  2.37822E-06  2.56721E-06  2.67122E-06  2.69184E-06  2.67669E-06  2.71809E-06  2.83546E-06  2.94636E-06  2.96098E-06  2.78287E-06  2.31948E-06  1.58082E-06  7.93128E-07  2.61182E-07  5.78287E-08  4.76213E-08  1.02308E-07  1.62885E-07  2.04710E-07  2.16998E-07  2.02959E-07  1.72979E-07  1.36243E-07  9.90900E-08  6.57984E-08  3.89592E-08  1.94991E-08  6.93696E-09  4.16854E-10  5.21504E-09  6.96638E-09  6.96023E-09  6.12192E-09  5.00343E-09  3.89805E-09  2.93718E-09  2.16054E-09  1.56160E-09  1.11444E-09  7.88262E-10  5.54313E-10  3.88397E-10  2.71649E-10  1.89626E-10  1.31545E-10  8.94550E-11  5.87117E-11  3.56871E-11  2.19389E-11  1.43203E-11  9.50590E-12  6.24547E-12  4.10340E-12  2.69604E-12  1.77134E-12  1.16377E-12  7.64592E-13  5.02321E-13  3.30028E-13  2.16823E-13  1.42461E-13  9.35856E-14  6.14815E-14  4.03919E-14  2.65368E-14  1.74340E-14  1.14537E-14  7.52469E-15  4.94369E-15  3.24788E-15  1.52384E-05
 -9.60000E-01  4.63854E-07  5.51283E-07  6.54597E-07  7.76354E-07  9.19345E-07  1.08650E-06  1.28068E-06  1.50444E-06  1.75960E-06  2.04657E-06  2.32923E-06  2.54787E-06  2.69182E-06  2.74434E-06  2.73193E-06  2.75596E-06  2.85931E-06  2.96404E-06  2.97687E-06  2.79932E-06  2.33839E-06  1.60426E-06  8.22525E-07  2.94970E-07  8.97147E-08  7.05331E-08  1.15281E-07  1.69710E-07  2.08603E-07  2.19486E-07  2.04675E-07  1.74198E-07  1.37104E-07  9.96770E-08  6.61760E-08  3.91815E-08  1.96127E-08  6.97979E-09  4.17374E-10  5.19498E-09  6.93853E-09  6.93204E-09  6.09695E-09  4.98295E-09  3.88205E-09  2.92510E-09  2.15165E-09  1.55516E-09  1.10985E-09  7.85010E-10  5.52025E-10  3.86793E-10  2.70527E-10  1.88842E-10  1.31001E-10  8.90853E-11  5.84690E-11  3.55396E-11  2.18483E-11  1.42611E-11  9.46662E-12  6.21966E-12  4.08644E-12  2.68490E-12  1.76402E-12  1.15896E-12  7.61433E-13  5.00246E-13  3.28664E-13  2.15927E-13  1.41873E-13  9.31989E-14  6.12274E-14  4.02250E-14  2.64271E-14  1.73619E-14  1.14064E-14  7.49360E-15  4.92326E-15  3.23446E-15  1.53821E-05
 -9.40000E-01  4.52938E-07  5.38310E-07  6.39192E-07  7.58083E-07  8.97710E-07  1.06093E-06  1.25054E-06  1.46904E-06  1.71819E-06  1.99841E-06  2.28603E-06  2.53067E-06  2.71052E-06  2.79358E-06  2.78573E-06  2.79380E-06  2.88341E-06  2.98195E-06  2.99298E-06  2.81600E-06  2.35756E-06  1.62796E-06  8.52152E-07  3.28884E-07  1.21642E-07  9.35241E-08  1.28367E-07  1.76623E-07  2.12556E-07  2.22015E-07  2.06419E-07  1.75438E-07  1.37978E-07  1.00274E-07  6.65599E-08  3.94076E-08  1.97282E-08  7.02333E-09  4.17893E-10  5.17457E-09  6.91020E-09  6.90336E-09  6.07157E-09  4.96212E-09  3.86578E-09  2.91282E-09  2.14261E-09  1.54862E-09  1.10517E-09  7.81703E-10  5.49699E-10  3.85162E-10  2.69386E-10  1.88046E-10  1.30448E-10  8.87094E-11  5.82223E-11  3.53897E-11  2.17561E-11  1.42009E-11  9.42668E-12  6.19342E-12  4.06920E-12  2.67357E-12  1.75658E-12  1.15407E-12  7.58221E-13  4.98136E-13  3.27278E-13  2.15016E-13  1.41274E-13  9.28057E-14  6.09691E-14  4.00553E-14  2.63156E-14  1.72887E-14  1.13583E-14  7.46199E-15  4.90249E-15  3.22081E-15  1.55279E-05
 -9.20000E-01  4.43363E-07  5.26930E-07  6.25679E-07  7.42057E-07  8.78732E-07  1.03850E-06  1.22410E-06  1.43798E-06  1.68187E-06  1.95617E-06  2.24805E-06  2.51542E-06  2.72747E-06  2.83972E-06  2.83811E-06  2.83162E-06  2.90775E-06  3.00012E-06  3.00932E-06  2.83292E-06  2.37699E-06  1.65193E-06  8.82017E-07  3.62926E-07  1.53610E-07  1.16596E-07  1.41570E-07  1.83629E-07  2.16570E-07  2.24586E-07  2.08193E-07  1.76698E-07  1.38868E-07  1.00881E-07  6.69504E-08  3.96375E-08  1.98457E-08  7.06760E-09  4.18412E-10  5.15381E-09  6.88139E-09  6.87420E-09  6.04574E-09  4.94094E-09  3.84924E-09  2.90033E-09  2.13341E-09  1.54197E-09  1.10042E-09  7.78339E-10  5.47332E-10  3.83504E-10  2.68225E-10  1.87235E-10  1.29886E-10  8.83271E-11  5.79714E-11  3.52372E-11  2.16623E-11  1.41397E-11  9.38606E-12  6.16673E-12  4.05167E-12  2.66205E-12  1.74901E-12  1.14910E-12  7.54953E-13  4.95989E-13  3.25868E-13  2.14089E-13  1.40665E-13  9.24058E-14  6.07064E-14  3.98827E-14  2.62022E-14  1.72142E-14  1.13093E-14  7.42983E-15  4.88136E-15  3.20694E-15  1.56757E-05
 -9.00000E-01  4.34987E-07  5.16976E-07  6.13859E-07  7.28039E-07  8.62132E-07  1.01888E-06  1.20098E-06  1.41082E-06  1.65009E-06  1.91921E-06  2.21474E-06  2.50192E-06  2.74281E-06  2.88288E-06  2.88907E-06  2.86942E-06  2.93235E-06  3.01853E-06  3.02592E-06  2.85009E-06  2.39668E-06  1.67618E-06  9.12127E-07  3.97100E-07  1.85622E-07  1.39752E-07  1.54892E-07  1.90730E-07  2.20648E-07  2.27200E-07  2.09997E-07  1.77981E-07  1.39774E-07  1.01499E-07  6.73476E-08  3.98714E-08  1.99651E-08  7.11263E-09  4.18932E-10  5.13268E-09  6.85207E-09  6.84452E-09  6.01947E-09  4.91938E-09  3.83240E-09  2.88763E-09  2.12405E-09  1.53520E-09  1.09559E-09  7.74917E-10  5.44925E-10  3.81816E-10  2.67045E-10  1.86411E-10  1.29314E-10  8.79380E-11  5.77160E-11  3.50820E-11  2.15670E-11  1.40775E-11  9.34473E-12  6.13958E-12  4.03383E-12  2.65033E-12  1.74131E-12  1.14404E-12  7.51629E-13  4.93805E-13  3.24433E-13  2.13147E-13  1.40046E-13  9.19989E-14  6.04391E-14  3.97071E-14  2.60868E-14  1.71384E-14  1.12595E-14  7.39711E-15  4.85987E-15  3.19281E-15  1.58257E-05
 -8.80000E-01  4.27682E-07  5.08293E-07  6.03550E-07  7.15812E-07  8.47653E-07  1.00177E-06  1.18081E-06  1.38712E-06  1.62238E-06  1.88698E-06  2.18562E-06  2.49002E-06  2.75665E-06  2.92321E-06  2.93862E-06  2.90718E-06  2.95722E-06  3.03721E-06  3.04276E-06  2.86753E-06  2.41665E-06  1.70072E-06  9.42490E-07  4.31409E-07  2.17677E-07  1.62993E-07  1.68338E-07  1.97929E-07  2.24792E-07  2.29860E-07  2.11834E-07  1.79286E-07  1.40696E-07  1.02128E-07  6.77520E-08  4.01095E-08  2.00867E-08  7.15845E-09  4.19451E-10  5.11116E-09  6.82222E-09  6.81431E-09  5.99272E-09  4.89743E-09  3.81526E-09  2.87469E-09  2.11452E-09  1.52830E-09  1.09066E-09  7.71433E-10  5.42474E-10  3.80098E-10  2.65843E-10  1.85572E-10  1.28732E-10  8.75420E-11  5.74561E-11  3.49240E-11  2.14698E-11  1.40141E-11  9.30265E-12  6.11193E-12  4.01566E-12  2.63839E-12  1.73347E-12  1.13889E-12  7.48245E-13  4.91581E-13  3.22972E-13  2.12187E-13  1.39415E-13  9.15847E-14  6.01669E-14  3.95283E-14  2.59694E-14  1.70612E-14  1.12088E-14  7.36381E-15  4.83799E-15  3.17844E-15  1.59780E-05
 -8.60000E-01  4.21328E-07  5.00742E-07  5.94584E-07  7.05178E-07  8.35060E-07  9.86887E-07  1.16327E-06  1.36652E-06  1.59828E-06  1.85895E-06  2.16023E-06  2.47954E-06  2.76912E-06  2.96083E-06  2.98677E-06  2.94492E-06  2.98236E-06  3.05617E-06  3.05987E-06  2.88523E-06  2.43691E-06  1.72556E-06  9.73112E-07  4.65858E-07  2.49778E-07  1.86322E-07  1.81913E-07  2.05230E-07  2.29006E-07  2.32567E-07  2.13704E-07  1.80616E-07  1.41634E-07  1.02768E-07  6.81638E-08  4.03519E-08  2.02105E-08  7.20510E-09  4.19970E-10  5.08924E-09  6.79182E-09  6.78354E-09  5.96549E-09  4.87509E-09  3.79781E-09  2.86152E-09  2.10482E-09  1.52128E-09  1.08565E-09  7.67885E-10  5.39978E-10  3.78349E-10  2.64619E-10  1.84717E-10  1.28139E-10  8.71388E-11  5.71914E-11  3.47631E-11  2.13710E-11  1.39495E-11  9.25981E-12  6.08378E-12  3.99717E-12  2.62624E-12  1.72549E-12  1.13364E-12  7.44798E-13  4.89317E-13  3.21484E-13  2.11210E-13  1.38773E-13  9.11629E-14  5.98898E-14  3.93463E-14  2.58498E-14  1.69826E-14  1.11572E-14  7.32989E-15  4.81571E-15  3.16380E-15  1.61326E-05
 -8.40000E-01  4.15820E-07  4.94195E-07  5.86810E-07  6.95959E-07  8.24143E-07  9.73984E-07  1.14806E-06  1.34865E-06  1.57738E-06  1.83464E-06  2.13816E-06  2.47035E-06  2.78034E-06  2.99587E-06  3.03354E-06  2.98263E-06  3.00779E-06  3.07542E-06  3.07725E-06  2.90321E-06  2.45747E-06  1.75071E-06  1.00400E-06  5.00450E-07  2.81924E-07  2.09741E-07  1.95619E-07  2.12638E-07  2.33291E-07  2.35324E-07  2.15609E-07  1.81970E-07  1.42591E-07  1.03420E-07  6.85833E-08  4.05989E-08  2.03367E-08  7.25261E-09  4.20489E-10  5.06691E-09  6.76084E-09  6.75219E-09  5.93774E-09  4.85232E-09  3.78003E-09  2.84810E-09  2.09493E-09  1.51413E-09  1.08054E-09  7.64271E-10  5.37435E-10  3.76566E-10  2.63372E-10  1.83847E-10  1.27535E-10  8.67279E-11  5.69218E-11  3.45992E-11  2.12702E-11  1.38838E-11  9.21616E-12  6.05511E-12  3.97833E-12  2.61386E-12  1.71735E-12  1.12830E-12  7.41288E-13  4.87011E-13  3.19969E-13  2.10214E-13  1.38119E-13  9.07331E-14  5.96075E-14  3.91608E-14  2.57279E-14  1.69026E-14  1.11046E-14  7.29534E-15  4.79301E-15  3.14889E-15  1.62896E-05
