W=   0.0    , r=  0.0 (GV), d=1033.0 (g/cm^2), g=  0.20
            1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32           33           34           35           36           37           38           39           40           41           42           43           44           45           46           47           48           49           50           51           52           53           54           55           56           57           58           59           60           61           62           63           64           65           66           67           68           69           70           71           72           73           74           75           76           77           78           79           80           81           82
   cos(theta)  1.12940E-02  1.42190E-02  1.79010E-02  2.25360E-02  2.83710E-02  3.57170E-02  4.49650E-02  5.66070E-02  7.12640E-02  8.97170E-02  1.12940E-01  1.42190E-01  1.79010E-01  2.25360E-01  2.83710E-01  3.57170E-01  4.49650E-01  5.66080E-01  7.12640E-01  8.97170E-01  1.12940E+00  1.42190E+00  1.79010E+00  2.25360E+00  2.83710E+00  3.57170E+00  4.49650E+00  5.66070E+00  7.12650E+00  8.97170E+00  1.12950E+01  1.42190E+01  1.79010E+01  2.25360E+01  2.83710E+01  3.57170E+01  4.49650E+01  5.66070E+01  7.12650E+01  8.97160E+01  1.12940E+02  1.42190E+02  1.79010E+02  2.25360E+02  2.83710E+02  3.57170E+02  4.49650E+02  5.66080E+02  7.12650E+02  8.97160E+02  1.12940E+03  1.42190E+03  1.79010E+03  2.25360E+03  2.83710E+03  3.57170E+03  4.49650E+03  5.66080E+03  7.12650E+03  8.97170E+03  1.12940E+04  1.42190E+04  1.79010E+04  2.25360E+04  2.83710E+04  3.57170E+04  4.49650E+04  5.66080E+04  7.12640E+04  8.97160E+04  1.12940E+05  1.42190E+05  1.79010E+05  2.25360E+05  2.83710E+05  3.57170E+05  4.49650E+05  5.66080E+05  7.12640E+05  8.97160E+05  0.00000E+00
 -1.00000E+00  1.85641E-08  1.74199E-08  1.63728E-08  1.54211E-08  1.45639E-08  1.38018E-08  1.31369E-08  1.25726E-08  1.21142E-08  1.17688E-08  1.15459E-08  1.14569E-08  1.15163E-08  1.17409E-08  1.21502E-08  1.27663E-08  1.36131E-08  1.47161E-08  1.61007E-08  1.77914E-08  1.70941E-08  1.32749E-08  1.13663E-08  1.30017E-08  1.39459E-08  1.38031E-08  1.42798E-08  1.46078E-08  1.47652E-08  1.49664E-08  1.50298E-08  1.47129E-08  1.38357E-08  1.23279E-08  1.02264E-08  7.65364E-09  4.85106E-09  2.20522E-09  1.69428E-10  0.00000E+00  0.00000E+00  0.00000E+00  4.80444E-12  3.51159E-10  3.85399E-10  2.27495E-10  2.83795E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.95149E-10
 -9.80000E-01  1.84551E-08  1.73176E-08  1.62767E-08  1.53306E-08  1.44784E-08  1.37208E-08  1.30598E-08  1.24989E-08  1.20431E-08  1.16997E-08  1.14781E-08  1.13897E-08  1.14488E-08  1.16720E-08  1.20789E-08  1.26913E-08  1.35332E-08  1.46297E-08  1.60062E-08  1.76870E-08  1.70242E-08  1.32957E-08  1.14495E-08  1.30904E-08  1.40604E-08  1.39918E-08  1.45820E-08  1.50291E-08  1.52962E-08  1.56027E-08  1.57553E-08  1.54825E-08  1.45791E-08  1.29864E-08  1.07867E-08  8.13702E-09  5.28297E-09  2.59827E-09  5.21549E-10  2.89135E-10  2.24856E-10  1.64604E-10  1.17236E-10  4.18042E-10  4.21905E-10  2.46157E-10  3.78255E-11  3.23386E-12  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  5.98754E-09
 -9.60000E-01  1.83455E-08  1.72148E-08  1.61800E-08  1.52395E-08  1.43924E-08  1.36393E-08  1.29822E-08  1.24246E-08  1.19716E-08  1.16302E-08  1.14099E-08  1.13220E-08  1.13808E-08  1.16027E-08  1.20072E-08  1.26160E-08  1.34528E-08  1.45428E-08  1.59112E-08  1.75820E-08  1.69539E-08  1.33166E-08  1.15331E-08  1.31796E-08  1.41754E-08  1.41811E-08  1.48849E-08  1.54508E-08  1.58268E-08  1.62372E-08  1.64780E-08  1.62493E-08  1.53213E-08  1.36461E-08  1.13498E-08  8.62400E-09  5.71866E-09  2.99496E-09  8.76972E-10  5.80949E-10  4.51751E-10  3.30667E-10  2.30644E-10  4.85496E-10  4.58717E-10  2.64971E-10  4.73402E-11  6.48268E-12  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.15225E-08
 -9.40000E-01  1.82352E-08  1.71112E-08  1.60827E-08  1.51478E-08  1.43058E-08  1.35573E-08  1.29042E-08  1.23499E-08  1.18996E-08  1.15603E-08  1.13413E-08  1.12539E-08  1.13123E-08  1.15329E-08  1.19350E-08  1.25401E-08  1.33719E-08  1.44554E-08  1.58155E-08  1.74762E-08  1.68831E-08  1.33377E-08  1.16172E-08  1.32692E-08  1.42909E-08  1.43712E-08  1.51886E-08  1.58729E-08  1.63568E-08  1.68700E-08  1.71978E-08  1.70132E-08  1.60623E-08  1.43070E-08  1.19159E-08  9.11468E-09  6.15823E-09  3.39541E-09  1.23580E-09  8.75524E-10  6.80749E-10  4.98234E-10  3.45056E-10  5.53536E-10  4.95844E-10  2.83941E-10  5.69255E-11  9.74685E-12  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.71011E-08
 -9.20000E-01  1.81241E-08  1.70070E-08  1.59848E-08  1.50556E-08  1.42187E-08  1.34747E-08  1.28256E-08  1.22747E-08  1.18271E-08  1.14899E-08  1.12722E-08  1.11854E-08  1.12434E-08  1.14627E-08  1.18623E-08  1.24637E-08  1.32904E-08  1.43673E-08  1.57191E-08  1.73698E-08  1.68119E-08  1.33589E-08  1.17018E-08  1.33594E-08  1.44070E-08  1.45619E-08  1.54930E-08  1.62954E-08  1.68863E-08  1.75011E-08  1.79146E-08  1.77740E-08  1.68020E-08  1.49691E-08  1.24850E-08  9.60916E-09  6.60180E-09  3.79974E-09  1.59813E-09  1.17295E-09  9.11913E-10  6.67349E-10  4.60504E-10  6.22181E-10  5.33295E-10  3.03073E-10  6.65834E-11  1.30268E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.27248E-08
 -9.00000E-01  1.80123E-08  1.69021E-08  1.58861E-08  1.49627E-08  1.41310E-08  1.33916E-08  1.27464E-08  1.21989E-08  1.17541E-08  1.14190E-08  1.12027E-08  1.11164E-08  1.11740E-08  1.13920E-08  1.17891E-08  1.23868E-08  1.32084E-08  1.42787E-08  1.56222E-08  1.72626E-08  1.67402E-08  1.33803E-08  1.17869E-08  1.34500E-08  1.45236E-08  1.47534E-08  1.57982E-08  1.67182E-08  1.74153E-08  1.81303E-08  1.86284E-08  1.85319E-08  1.75404E-08  1.56325E-08  1.30572E-08  1.01076E-08  7.04950E-09  4.20805E-09  1.96409E-09  1.47330E-09  1.14531E-09  8.38063E-10  5.77020E-10  6.91449E-10  5.71081E-10  3.22370E-10  7.63162E-11  1.63229E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.83948E-08
 -8.80000E-01  1.78997E-08  1.67964E-08  1.57868E-08  1.48691E-08  1.40426E-08  1.33079E-08  1.26667E-08  1.21227E-08  1.16806E-08  1.13476E-08  1.11326E-08  1.10469E-08  1.11042E-08  1.13207E-08  1.17154E-08  1.23094E-08  1.31259E-08  1.41894E-08  1.55245E-08  1.71547E-08  1.66680E-08  1.34018E-08  1.18726E-08  1.35411E-08  1.46408E-08  1.49456E-08  1.61042E-08  1.71415E-08  1.79438E-08  1.87576E-08  1.93392E-08  1.92867E-08  1.82775E-08  1.62971E-08  1.36325E-08  1.06100E-08  7.50146E-09  4.62050E-09  2.33378E-09  1.77669E-09  1.38102E-09  1.01042E-09  6.94637E-10  7.61360E-10  6.09211E-10  3.41839E-10  8.61261E-11  1.96356E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.41127E-08
 -8.60000E-01  1.77863E-08  1.66900E-08  1.56868E-08  1.47749E-08  1.39537E-08  1.32236E-08  1.25865E-08  1.20459E-08  1.16066E-08  1.12757E-08  1.10621E-08  1.09769E-08  1.10338E-08  1.12490E-08  1.16412E-08  1.22314E-08  1.30427E-08  1.40995E-08  1.54261E-08  1.70460E-08  1.65953E-08  1.34234E-08  1.19588E-08  1.36328E-08  1.47586E-08  1.51386E-08  1.64109E-08  1.75651E-08  1.84718E-08  1.93831E-08  2.00468E-08  2.00383E-08  1.90132E-08  1.69630E-08  1.42111E-08  1.11166E-08  7.95782E-09  5.03720E-09  2.70734E-09  2.08322E-09  1.61910E-09  1.18449E-09  8.13392E-10  8.31935E-10  6.47697E-10  3.61484E-10  9.60155E-11  2.29653E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.98799E-08
 -8.40000E-01  1.76721E-08  1.65828E-08  1.55861E-08  1.46801E-08  1.38641E-08  1.31386E-08  1.25057E-08  1.19685E-08  1.15321E-08  1.12033E-08  1.09911E-08  1.09064E-08  1.09630E-08  1.11768E-08  1.15664E-08  1.21528E-08  1.29589E-08  1.40090E-08  1.53271E-08  1.69365E-08  1.65220E-08  1.34452E-08  1.20455E-08  1.37250E-08  1.48770E-08  1.53324E-08  1.67186E-08  1.79892E-08  1.89992E-08  2.00066E-08  2.07513E-08  2.07867E-08  1.97476E-08  1.76302E-08  1.47931E-08  1.16275E-08  8.41873E-09  5.45831E-09  3.08489E-09  2.39298E-09  1.85965E-09  1.36031E-09  9.33322E-10  9.03196E-10  6.86551E-10  3.81312E-10  1.05987E-10  2.63127E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.56980E-08
