W=  34.0    , r= 11.4 (GV), d=1030.0 (g/cm^2), g=  0.15
            1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32           33           34           35           36           37           38           39           40           41           42           43           44           45           46           47           48           49           50           51           52           53           54           55           56           57           58           59           60           61           62           63           64           65           66           67           68           69           70           71           72           73           74           75           76           77           78           79           80           81           82           83           84           85           86           87           88           89           90           91           92           93           94           95           96           97           98           99          100          101          102
       E(MeV)        -1.00        -0.98        -0.96        -0.94        -0.92        -0.90        -0.88        -0.86        -0.84        -0.82        -0.80        -0.78        -0.76        -0.74        -0.72        -0.70        -0.68        -0.66        -0.64        -0.62        -0.60        -0.58        -0.56        -0.54        -0.52        -0.50        -0.48        -0.46        -0.44        -0.42        -0.40        -0.38        -0.36        -0.34        -0.32        -0.30        -0.28        -0.26        -0.24        -0.22        -0.20        -0.18        -0.16        -0.14        -0.12        -0.10        -0.08        -0.06        -0.04        -0.02        -0.00         0.02         0.04         0.06         0.08         0.10         0.12         0.14         0.16         0.18         0.20         0.22         0.24         0.26         0.28         0.30         0.32         0.34         0.36         0.38         0.40         0.42         0.44         0.46         0.48         0.50         0.52         0.54         0.56         0.58         0.60         0.62         0.64         0.66         0.68         0.70         0.72         0.74         0.76         0.78         0.80         0.82         0.84         0.86         0.88         0.90         0.92         0.94         0.96         0.98         1.00
  1.12940E-02  1.75900E-04  1.74483E-04  1.73063E-04  1.71640E-04  1.70213E-04  1.68784E-04  1.67351E-04  1.65914E-04  1.64474E-04  1.63030E-04  1.61583E-04  1.60131E-04  1.58675E-04  1.57215E-04  1.55751E-04  1.54282E-04  1.52808E-04  1.51328E-04  1.49844E-04  1.48354E-04  1.46858E-04  1.45357E-04  1.43849E-04  1.42334E-04  1.40812E-04  1.39283E-04  1.37746E-04  1.36201E-04  1.34647E-04  1.33083E-04  1.31510E-04  1.29926E-04  1.28330E-04  1.26722E-04  1.25101E-04  1.23465E-04  1.21814E-04  1.20145E-04  1.18457E-04  1.16747E-04  1.15013E-04  1.13252E-04  1.11460E-04  1.09630E-04  1.07756E-04  1.05828E-04  1.03831E-04  1.01741E-04  1.14976E-04  1.43631E-04  1.72286E-04  2.00941E-04  2.29596E-04  2.44441E-04  2.45328E-04  2.46081E-04  2.46742E-04  2.47335E-04  2.47877E-04  2.48377E-04  2.48843E-04  2.49280E-04  2.49693E-04  2.50085E-04  2.50458E-04  2.50816E-04  2.51159E-04  2.51488E-04  2.51806E-04  2.52114E-04  2.52412E-04  2.52700E-04  2.52981E-04  2.53253E-04  2.53519E-04  2.53778E-04  2.54031E-04  2.54279E-04  2.54520E-04  2.54757E-04  2.54989E-04  2.55216E-04  2.55439E-04  2.55658E-04  2.55873E-04  2.56084E-04  2.56292E-04  2.56497E-04  2.56698E-04  2.56896E-04  2.57091E-04  2.57284E-04  2.57473E-04  2.57661E-04  2.57845E-04  2.58027E-04  2.58207E-04  2.58385E-04  2.58560E-04  2.58734E-04  2.58905E-04
  1.42190E-02  1.68696E-04  1.67337E-04  1.65975E-04  1.64610E-04  1.63242E-04  1.61871E-04  1.60497E-04  1.59119E-04  1.57738E-04  1.56353E-04  1.54965E-04  1.53573E-04  1.52177E-04  1.50776E-04  1.49372E-04  1.47963E-04  1.46549E-04  1.45131E-04  1.43707E-04  1.42278E-04  1.40844E-04  1.39403E-04  1.37957E-04  1.36504E-04  1.35045E-04  1.33578E-04  1.32104E-04  1.30622E-04  1.29132E-04  1.27633E-04  1.26124E-04  1.24604E-04  1.23074E-04  1.21532E-04  1.19977E-04  1.18409E-04  1.16825E-04  1.15224E-04  1.13605E-04  1.11966E-04  1.10303E-04  1.08614E-04  1.06895E-04  1.05140E-04  1.03343E-04  1.01494E-04  9.95789E-05  9.75743E-05  1.10267E-04  1.37749E-04  1.65230E-04  1.92711E-04  2.20193E-04  2.34430E-04  2.35281E-04  2.36002E-04  2.36636E-04  2.37205E-04  2.37725E-04  2.38204E-04  2.38651E-04  2.39070E-04  2.39466E-04  2.39842E-04  2.40201E-04  2.40543E-04  2.40872E-04  2.41188E-04  2.41493E-04  2.41788E-04  2.42074E-04  2.42351E-04  2.42620E-04  2.42881E-04  2.43136E-04  2.43385E-04  2.43627E-04  2.43864E-04  2.44096E-04  2.44323E-04  2.44545E-04  2.44763E-04  2.44977E-04  2.45187E-04  2.45393E-04  2.45596E-04  2.45795E-04  2.45992E-04  2.46185E-04  2.46375E-04  2.46562E-04  2.46746E-04  2.46928E-04  2.47108E-04  2.47285E-04  2.47460E-04  2.47632E-04  2.47802E-04  2.47971E-04  2.48137E-04  2.48302E-04
  1.79010E-02  1.61398E-04  1.60098E-04  1.58795E-04  1.57489E-04  1.56180E-04  1.54868E-04  1.53553E-04  1.52235E-04  1.50914E-04  1.49589E-04  1.48261E-04  1.46929E-04  1.45593E-04  1.44254E-04  1.42910E-04  1.41562E-04  1.40209E-04  1.38852E-04  1.37490E-04  1.36123E-04  1.34751E-04  1.33373E-04  1.31989E-04  1.30599E-04  1.29203E-04  1.27800E-04  1.26389E-04  1.24972E-04  1.23546E-04  1.22111E-04  1.20667E-04  1.19214E-04  1.17750E-04  1.16275E-04  1.14787E-04  1.13286E-04  1.11771E-04  1.10239E-04  1.08690E-04  1.07122E-04  1.05531E-04  1.03915E-04  1.02270E-04  1.00592E-04  9.88724E-05  9.71034E-05  9.52710E-05  9.33531E-05  1.05497E-04  1.31789E-04  1.58082E-04  1.84375E-04  2.10667E-04  2.24288E-04  2.25102E-04  2.25793E-04  2.26399E-04  2.26944E-04  2.27440E-04  2.27899E-04  2.28327E-04  2.28728E-04  2.29107E-04  2.29466E-04  2.29809E-04  2.30137E-04  2.30452E-04  2.30754E-04  2.31046E-04  2.31328E-04  2.31601E-04  2.31866E-04  2.32124E-04  2.32374E-04  2.32618E-04  2.32856E-04  2.33088E-04  2.33314E-04  2.33536E-04  2.33753E-04  2.33966E-04  2.34175E-04  2.34379E-04  2.34580E-04  2.34777E-04  2.34971E-04  2.35162E-04  2.35350E-04  2.35534E-04  2.35716E-04  2.35895E-04  2.36072E-04  2.36246E-04  2.36418E-04  2.36587E-04  2.36754E-04  2.36919E-04  2.37082E-04  2.37243E-04  2.37402E-04  2.37560E-04
  2.25360E-02  1.53979E-04  1.52738E-04  1.51495E-04  1.50249E-04  1.49001E-04  1.47749E-04  1.46495E-04  1.45237E-04  1.43977E-04  1.42713E-04  1.41446E-04  1.40175E-04  1.38901E-04  1.37623E-04  1.36341E-04  1.35054E-04  1.33764E-04  1.32469E-04  1.31170E-04  1.29866E-04  1.28556E-04  1.27242E-04  1.25922E-04  1.24596E-04  1.23264E-04  1.21925E-04  1.20580E-04  1.19227E-04  1.17866E-04  1.16498E-04  1.15121E-04  1.13734E-04  1.12337E-04  1.10930E-04  1.09511E-04  1.08079E-04  1.06633E-04  1.05172E-04  1.03694E-04  1.02198E-04  1.00680E-04  9.91384E-05  9.75692E-05  9.59676E-05  9.43274E-05  9.26398E-05  9.08916E-05  8.90619E-05  1.00647E-04  1.25731E-04  1.50815E-04  1.75899E-04  2.00983E-04  2.13978E-04  2.14755E-04  2.15414E-04  2.15992E-04  2.16511E-04  2.16985E-04  2.17423E-04  2.17831E-04  2.18214E-04  2.18575E-04  2.18918E-04  2.19245E-04  2.19558E-04  2.19858E-04  2.20147E-04  2.20425E-04  2.20695E-04  2.20955E-04  2.21208E-04  2.21453E-04  2.21692E-04  2.21925E-04  2.22152E-04  2.22373E-04  2.22589E-04  2.22801E-04  2.23008E-04  2.23211E-04  2.23410E-04  2.23605E-04  2.23797E-04  2.23985E-04  2.24170E-04  2.24352E-04  2.24531E-04  2.24707E-04  2.24881E-04  2.25052E-04  2.25220E-04  2.25386E-04  2.25550E-04  2.25712E-04  2.25871E-04  2.26029E-04  2.26184E-04  2.26338E-04  2.26490E-04  2.26640E-04
  2.83710E-02  1.46414E-04  1.45235E-04  1.44052E-04  1.42868E-04  1.41681E-04  1.40491E-04  1.39298E-04  1.38102E-04  1.36904E-04  1.35702E-04  1.34497E-04  1.33289E-04  1.32077E-04  1.30862E-04  1.29642E-04  1.28420E-04  1.27193E-04  1.25961E-04  1.24726E-04  1.23486E-04  1.22241E-04  1.20991E-04  1.19735E-04  1.18475E-04  1.17208E-04  1.15935E-04  1.14656E-04  1.13370E-04  1.12076E-04  1.10775E-04  1.09465E-04  1.08146E-04  1.06818E-04  1.05480E-04  1.04131E-04  1.02769E-04  1.01394E-04  1.00005E-04  9.85999E-05  9.71769E-05  9.57338E-05  9.42679E-05  9.27758E-05  9.12529E-05  8.96933E-05  8.80886E-05  8.64263E-05  8.46864E-05  9.57029E-05  1.19554E-04  1.43406E-04  1.67258E-04  1.91109E-04  2.03466E-04  2.04204E-04  2.04831E-04  2.05381E-04  2.05875E-04  2.06325E-04  2.06742E-04  2.07129E-04  2.07493E-04  2.07837E-04  2.08163E-04  2.08474E-04  2.08772E-04  2.09057E-04  2.09332E-04  2.09596E-04  2.09852E-04  2.10100E-04  2.10340E-04  2.10574E-04  2.10801E-04  2.11022E-04  2.11238E-04  2.11448E-04  2.11654E-04  2.11855E-04  2.12052E-04  2.12245E-04  2.12435E-04  2.12620E-04  2.12802E-04  2.12981E-04  2.13157E-04  2.13330E-04  2.13500E-04  2.13668E-04  2.13833E-04  2.13995E-04  2.14156E-04  2.14313E-04  2.14469E-04  2.14623E-04  2.14775E-04  2.14924E-04  2.15072E-04  2.15218E-04  2.15363E-04  2.15505E-04
  3.57170E-02  1.38685E-04  1.37568E-04  1.36448E-04  1.35326E-04  1.34201E-04  1.33074E-04  1.31944E-04  1.30812E-04  1.29676E-04  1.28538E-04  1.27397E-04  1.26252E-04  1.25105E-04  1.23953E-04  1.22799E-04  1.21640E-04  1.20478E-04  1.19312E-04  1.18142E-04  1.16967E-04  1.15788E-04  1.14604E-04  1.13415E-04  1.12220E-04  1.11021E-04  1.09815E-04  1.08603E-04  1.07385E-04  1.06160E-04  1.04927E-04  1.03686E-04  1.02437E-04  1.01179E-04  9.99118E-05  9.86335E-05  9.73439E-05  9.60418E-05  9.47259E-05  9.33949E-05  9.20470E-05  9.06801E-05  8.92916E-05  8.78782E-05  8.64357E-05  8.49585E-05  8.34384E-05  8.18639E-05  8.02159E-05  9.06508E-05  1.13243E-04  1.35836E-04  1.58428E-04  1.81021E-04  1.92725E-04  1.93424E-04  1.94018E-04  1.94539E-04  1.95007E-04  1.95434E-04  1.95828E-04  1.96195E-04  1.96540E-04  1.96866E-04  1.97175E-04  1.97469E-04  1.97751E-04  1.98021E-04  1.98281E-04  1.98532E-04  1.98774E-04  1.99009E-04  1.99237E-04  1.99458E-04  1.99673E-04  1.99882E-04  2.00087E-04  2.00286E-04  2.00481E-04  2.00672E-04  2.00858E-04  2.01041E-04  2.01220E-04  2.01396E-04  2.01569E-04  2.01738E-04  2.01905E-04  2.02069E-04  2.02230E-04  2.02389E-04  2.02545E-04  2.02699E-04  2.02850E-04  2.03000E-04  2.03147E-04  2.03293E-04  2.03437E-04  2.03579E-04  2.03719E-04  2.03857E-04  2.03994E-04  2.04129E-04
  4.49650E-02  1.30781E-04  1.29727E-04  1.28671E-04  1.27613E-04  1.26553E-04  1.25490E-04  1.24425E-04  1.23357E-04  1.22286E-04  1.21212E-04  1.20136E-04  1.19057E-04  1.17975E-04  1.16889E-04  1.15800E-04  1.14708E-04  1.13612E-04  1.12512E-04  1.11408E-04  1.10301E-04  1.09189E-04  1.08072E-04  1.06951E-04  1.05825E-04  1.04693E-04  1.03556E-04  1.02414E-04  1.01265E-04  1.00109E-04  9.89468E-05  9.77770E-05  9.65992E-05  9.54130E-05  9.42175E-05  9.30122E-05  9.17960E-05  9.05681E-05  8.93272E-05  8.80721E-05  8.68010E-05  8.55120E-05  8.42026E-05  8.28698E-05  8.15095E-05  8.01165E-05  7.86831E-05  7.71983E-05  7.56442E-05  8.54843E-05  1.06789E-04  1.28094E-04  1.49399E-04  1.70704E-04  1.81741E-04  1.82401E-04  1.82960E-04  1.83452E-04  1.83893E-04  1.84295E-04  1.84667E-04  1.85013E-04  1.85339E-04  1.85646E-04  1.85937E-04  1.86215E-04  1.86480E-04  1.86735E-04  1.86981E-04  1.87217E-04  1.87446E-04  1.87667E-04  1.87882E-04  1.88090E-04  1.88293E-04  1.88491E-04  1.88683E-04  1.88871E-04  1.89055E-04  1.89235E-04  1.89411E-04  1.89583E-04  1.89752E-04  1.89918E-04  1.90081E-04  1.90241E-04  1.90398E-04  1.90552E-04  1.90704E-04  1.90854E-04  1.91001E-04  1.91146E-04  1.91289E-04  1.91430E-04  1.91570E-04  1.91707E-04  1.91842E-04  1.91976E-04  1.92108E-04  1.92239E-04  1.92368E-04  1.92495E-04
  5.66070E-02  1.22702E-04  1.21714E-04  1.20723E-04  1.19730E-04  1.18735E-04  1.17738E-04  1.16739E-04  1.15736E-04  1.14732E-04  1.13725E-04  1.12715E-04  1.11702E-04  1.10687E-04  1.09668E-04  1.08647E-04  1.07622E-04  1.06594E-04  1.05562E-04  1.04526E-04  1.03487E-04  1.02444E-04  1.01396E-04  1.00344E-04  9.92876E-05  9.82261E-05  9.71594E-05  9.60872E-05  9.50093E-05  9.39252E-05  9.28346E-05  9.17371E-05  9.06321E-05  8.95191E-05  8.83975E-05  8.72666E-05  8.61255E-05  8.49735E-05  8.38093E-05  8.26316E-05  8.14391E-05  8.02297E-05  7.90012E-05  7.77507E-05  7.64745E-05  7.51675E-05  7.38226E-05  7.24295E-05  7.09714E-05  8.02037E-05  1.00193E-04  1.20181E-04  1.40170E-04  1.60159E-04  1.70515E-04  1.71133E-04  1.71658E-04  1.72119E-04  1.72533E-04  1.72911E-04  1.73260E-04  1.73585E-04  1.73890E-04  1.74178E-04  1.74451E-04  1.74712E-04  1.74961E-04  1.75200E-04  1.75430E-04  1.75652E-04  1.75867E-04  1.76074E-04  1.76276E-04  1.76471E-04  1.76662E-04  1.76847E-04  1.77028E-04  1.77204E-04  1.77377E-04  1.77545E-04  1.77710E-04  1.77872E-04  1.78031E-04  1.78186E-04  1.78339E-04  1.78489E-04  1.78636E-04  1.78781E-04  1.78924E-04  1.79064E-04  1.79203E-04  1.79339E-04  1.79473E-04  1.79605E-04  1.79736E-04  1.79865E-04  1.79992E-04  1.80117E-04  1.80241E-04  1.80364E-04  1.80485E-04  1.80604E-04
  7.12640E-02  1.14462E-04  1.13540E-04  1.12616E-04  1.11689E-04  1.10761E-04  1.09831E-04  1.08899E-04  1.07964E-04  1.07027E-04  1.06087E-04  1.05145E-04  1.04201E-04  1.03253E-04  1.02303E-04  1.01350E-04  1.00394E-04  9.94351E-05  9.84726E-05  9.75067E-05  9.65371E-05  9.55639E-05  9.45867E-05  9.36053E-05  9.26196E-05  9.16294E-05  9.06343E-05  8.96342E-05  8.86286E-05  8.76174E-05  8.66000E-05  8.55762E-05  8.45454E-05  8.35071E-05  8.24609E-05  8.14059E-05  8.03415E-05  7.92668E-05  7.81808E-05  7.70823E-05  7.59698E-05  7.48416E-05  7.36956E-05  7.25291E-05  7.13386E-05  7.01193E-05  6.88648E-05  6.75653E-05  6.62051E-05  7.48174E-05  9.34638E-05  1.12110E-04  1.30757E-04  1.49403E-04  1.59063E-04  1.59640E-04  1.60130E-04  1.60560E-04  1.60946E-04  1.61299E-04  1.61624E-04  1.61927E-04  1.62212E-04  1.62480E-04  1.62735E-04  1.62979E-04  1.63211E-04  1.63434E-04  1.63649E-04  1.63856E-04  1.64056E-04  1.64249E-04  1.64437E-04  1.64620E-04  1.64797E-04  1.64970E-04  1.65139E-04  1.65304E-04  1.65464E-04  1.65622E-04  1.65776E-04  1.65927E-04  1.66074E-04  1.66220E-04  1.66362E-04  1.66502E-04  1.66639E-04  1.66775E-04  1.66908E-04  1.67039E-04  1.67168E-04  1.67295E-04  1.67420E-04  1.67543E-04  1.67665E-04  1.67785E-04  1.67904E-04  1.68021E-04  1.68136E-04  1.68251E-04  1.68364E-04  1.68475E-04
