W=  34.0    , r= 11.4 (GV), d=1030.0 (g/cm^2), g=  0.15
            1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32           33           34           35           36           37           38           39           40           41           42           43           44           45           46           47           48           49           50           51           52           53           54           55           56           57           58           59           60           61           62           63           64           65           66           67           68           69           70           71           72           73           74           75           76           77           78           79           80           81           82           83           84           85           86           87           88           89           90           91           92           93           94           95           96           97           98           99          100          101          102
       E(MeV)        -1.00        -0.98        -0.96        -0.94        -0.92        -0.90        -0.88        -0.86        -0.84        -0.82        -0.80        -0.78        -0.76        -0.74        -0.72        -0.70        -0.68        -0.66        -0.64        -0.62        -0.60        -0.58        -0.56        -0.54        -0.52        -0.50        -0.48        -0.46        -0.44        -0.42        -0.40        -0.38        -0.36        -0.34        -0.32        -0.30        -0.28        -0.26        -0.24        -0.22        -0.20        -0.18        -0.16        -0.14        -0.12        -0.10        -0.08        -0.06        -0.04        -0.02        -0.00         0.02         0.04         0.06         0.08         0.10         0.12         0.14         0.16         0.18         0.20         0.22         0.24         0.26         0.28         0.30         0.32         0.34         0.36         0.38         0.40         0.42         0.44         0.46         0.48         0.50         0.52         0.54         0.56         0.58         0.60         0.62         0.64         0.66         0.68         0.70         0.72         0.74         0.76         0.78         0.80         0.82         0.84         0.86         0.88         0.90         0.92         0.94         0.96         0.98         1.00
  1.12940E-02  9.81734E-09  9.86296E-09  9.90904E-09  9.95558E-09  1.00026E-08  1.00501E-08  1.00981E-08  1.01466E-08  1.01957E-08  1.02454E-08  1.02956E-08  1.03464E-08  1.03979E-08  1.04500E-08  1.05027E-08  1.05562E-08  1.06105E-08  1.06655E-08  1.07213E-08  1.07779E-08  1.08354E-08  1.08939E-08  1.09533E-08  1.10137E-08  1.10753E-08  1.11379E-08  1.12018E-08  1.12670E-08  1.13335E-08  1.14016E-08  1.14711E-08  1.15424E-08  1.16155E-08  1.16906E-08  1.17678E-08  1.18474E-08  1.19296E-08  1.20146E-08  1.21029E-08  1.21948E-08  1.22907E-08  1.23915E-08  1.24977E-08  1.26106E-08  1.27316E-08  1.28627E-08  1.30073E-08  1.31707E-08  1.33959E-08  1.36630E-08  1.39302E-08  1.41973E-08  1.44645E-08  1.46895E-08  1.48771E-08  1.50698E-08  1.52668E-08  1.54676E-08  1.56718E-08  1.58790E-08  1.60889E-08  1.63014E-08  1.65163E-08  1.67335E-08  1.69527E-08  1.71739E-08  1.73970E-08  1.76218E-08  1.78484E-08  1.80766E-08  1.83064E-08  1.85377E-08  1.87704E-08  1.90046E-08  1.92401E-08  1.94769E-08  1.97150E-08  1.99543E-08  2.01948E-08  2.04365E-08  2.06793E-08  2.09232E-08  2.11682E-08  2.14143E-08  2.16614E-08  2.19095E-08  2.21586E-08  2.24086E-08  2.26596E-08  2.29115E-08  2.31643E-08  2.34180E-08  2.36726E-08  2.39280E-08  2.41842E-08  2.44413E-08  2.46992E-08  2.49579E-08  2.52174E-08  2.54776E-08  2.57387E-08
  1.42190E-02  8.47774E-09  8.51714E-09  8.55693E-09  8.59712E-09  8.63772E-09  8.67874E-09  8.72020E-09  8.76211E-09  8.80449E-09  8.84736E-09  8.89073E-09  8.93462E-09  8.97905E-09  9.02405E-09  9.06963E-09  9.11582E-09  9.16264E-09  9.21014E-09  9.25832E-09  9.30723E-09  9.35690E-09  9.40737E-09  9.45869E-09  9.51088E-09  9.56402E-09  9.61814E-09  9.67331E-09  9.72959E-09  9.78706E-09  9.84579E-09  9.90588E-09  9.96744E-09  1.00306E-08  1.00954E-08  1.01621E-08  1.02308E-08  1.03018E-08  1.03752E-08  1.04514E-08  1.05308E-08  1.06137E-08  1.07006E-08  1.07924E-08  1.08899E-08  1.09943E-08  1.11076E-08  1.12324E-08  1.13735E-08  1.15680E-08  1.17987E-08  1.20294E-08  1.22601E-08  1.24908E-08  1.26851E-08  1.28471E-08  1.30135E-08  1.31836E-08  1.33570E-08  1.35333E-08  1.37123E-08  1.38936E-08  1.40771E-08  1.42627E-08  1.44502E-08  1.46395E-08  1.48305E-08  1.50231E-08  1.52173E-08  1.54130E-08  1.56100E-08  1.58085E-08  1.60082E-08  1.62092E-08  1.64114E-08  1.66147E-08  1.68192E-08  1.70248E-08  1.72315E-08  1.74392E-08  1.76479E-08  1.78576E-08  1.80682E-08  1.82798E-08  1.84923E-08  1.87057E-08  1.89199E-08  1.91350E-08  1.93509E-08  1.95676E-08  1.97852E-08  2.00035E-08  2.02226E-08  2.04424E-08  2.06630E-08  2.08843E-08  2.11063E-08  2.13290E-08  2.15524E-08  2.17764E-08  2.20012E-08  2.22266E-08
  1.79010E-02  7.44799E-09  7.48261E-09  7.51756E-09  7.55287E-09  7.58853E-09  7.62457E-09  7.66100E-09  7.69782E-09  7.73505E-09  7.77271E-09  7.81081E-09  7.84937E-09  7.88841E-09  7.92794E-09  7.96798E-09  8.00856E-09  8.04970E-09  8.09142E-09  8.13376E-09  8.17673E-09  8.22036E-09  8.26471E-09  8.30978E-09  8.35564E-09  8.40232E-09  8.44987E-09  8.49834E-09  8.54778E-09  8.59827E-09  8.64987E-09  8.70266E-09  8.75674E-09  8.81220E-09  8.86916E-09  8.92775E-09  8.98812E-09  9.05047E-09  9.11499E-09  9.18195E-09  9.25164E-09  9.32446E-09  9.40087E-09  9.48150E-09  9.56714E-09  9.65891E-09  9.75841E-09  9.86808E-09  9.99203E-09  1.01629E-08  1.03656E-08  1.05682E-08  1.07709E-08  1.09736E-08  1.11443E-08  1.12866E-08  1.14328E-08  1.15823E-08  1.17346E-08  1.18895E-08  1.20467E-08  1.22060E-08  1.23672E-08  1.25302E-08  1.26950E-08  1.28613E-08  1.30291E-08  1.31983E-08  1.33689E-08  1.35408E-08  1.37140E-08  1.38883E-08  1.40637E-08  1.42403E-08  1.44180E-08  1.45966E-08  1.47763E-08  1.49569E-08  1.51385E-08  1.53209E-08  1.55043E-08  1.56885E-08  1.58736E-08  1.60594E-08  1.62461E-08  1.64336E-08  1.66218E-08  1.68107E-08  1.70004E-08  1.71909E-08  1.73820E-08  1.75738E-08  1.77662E-08  1.79594E-08  1.81531E-08  1.83475E-08  1.85426E-08  1.87382E-08  1.89345E-08  1.91314E-08  1.93288E-08  1.95268E-08
  2.25360E-02  6.65861E-09  6.68956E-09  6.72081E-09  6.75237E-09  6.78426E-09  6.81648E-09  6.84904E-09  6.88196E-09  6.91525E-09  6.94891E-09  6.98298E-09  7.01745E-09  7.05235E-09  7.08769E-09  7.12349E-09  7.15977E-09  7.19655E-09  7.23385E-09  7.27169E-09  7.31011E-09  7.34912E-09  7.38876E-09  7.42907E-09  7.47006E-09  7.51179E-09  7.55430E-09  7.59763E-09  7.64184E-09  7.68697E-09  7.73311E-09  7.78030E-09  7.82865E-09  7.87823E-09  7.92915E-09  7.98153E-09  8.03551E-09  8.09125E-09  8.14893E-09  8.20879E-09  8.27110E-09  8.33620E-09  8.40452E-09  8.47659E-09  8.55316E-09  8.63521E-09  8.72416E-09  8.82221E-09  8.93301E-09  9.08577E-09  9.26696E-09  9.44815E-09  9.62934E-09  9.81053E-09  9.96317E-09  1.00904E-08  1.02211E-08  1.03547E-08  1.04909E-08  1.06294E-08  1.07699E-08  1.09123E-08  1.10565E-08  1.12022E-08  1.13495E-08  1.14982E-08  1.16482E-08  1.17995E-08  1.19520E-08  1.21057E-08  1.22605E-08  1.24163E-08  1.25732E-08  1.27310E-08  1.28899E-08  1.30496E-08  1.32102E-08  1.33717E-08  1.35340E-08  1.36971E-08  1.38611E-08  1.40257E-08  1.41912E-08  1.43574E-08  1.45243E-08  1.46918E-08  1.48601E-08  1.50290E-08  1.51986E-08  1.53689E-08  1.55397E-08  1.57112E-08  1.58833E-08  1.60559E-08  1.62292E-08  1.64030E-08  1.65773E-08  1.67523E-08  1.69277E-08  1.71037E-08  1.72802E-08  1.74572E-08
  2.83710E-02  6.05572E-09  6.08387E-09  6.11229E-09  6.14099E-09  6.16999E-09  6.19929E-09  6.22891E-09  6.25885E-09  6.28912E-09  6.31974E-09  6.35072E-09  6.38207E-09  6.41381E-09  6.44595E-09  6.47851E-09  6.51150E-09  6.54495E-09  6.57888E-09  6.61329E-09  6.64823E-09  6.68371E-09  6.71977E-09  6.75642E-09  6.79370E-09  6.83166E-09  6.87032E-09  6.90972E-09  6.94993E-09  6.99098E-09  7.03293E-09  7.07585E-09  7.11982E-09  7.16491E-09  7.21122E-09  7.25886E-09  7.30795E-09  7.35864E-09  7.41110E-09  7.46554E-09  7.52221E-09  7.58142E-09  7.64355E-09  7.70910E-09  7.77873E-09  7.85335E-09  7.93425E-09  8.02342E-09  8.12420E-09  8.26312E-09  8.42791E-09  8.59269E-09  8.75747E-09  8.92225E-09  9.06108E-09  9.17678E-09  9.29564E-09  9.41718E-09  9.54104E-09  9.66697E-09  9.79478E-09  9.92429E-09  1.00554E-08  1.01879E-08  1.03219E-08  1.04571E-08  1.05935E-08  1.07311E-08  1.08698E-08  1.10096E-08  1.11504E-08  1.12921E-08  1.14348E-08  1.15783E-08  1.17228E-08  1.18680E-08  1.20141E-08  1.21610E-08  1.23086E-08  1.24570E-08  1.26060E-08  1.27558E-08  1.29063E-08  1.30574E-08  1.32092E-08  1.33616E-08  1.35146E-08  1.36683E-08  1.38225E-08  1.39773E-08  1.41327E-08  1.42887E-08  1.44451E-08  1.46022E-08  1.47597E-08  1.49178E-08  1.50764E-08  1.52355E-08  1.53950E-08  1.55551E-08  1.57156E-08  1.58766E-08
  3.57170E-02  5.59756E-09  5.62358E-09  5.64985E-09  5.67638E-09  5.70319E-09  5.73027E-09  5.75765E-09  5.78532E-09  5.81330E-09  5.84161E-09  5.87024E-09  5.89922E-09  5.92856E-09  5.95827E-09  5.98836E-09  6.01886E-09  6.04978E-09  6.08113E-09  6.11295E-09  6.14524E-09  6.17804E-09  6.21137E-09  6.24524E-09  6.27971E-09  6.31479E-09  6.35053E-09  6.38695E-09  6.42411E-09  6.46206E-09  6.50084E-09  6.54051E-09  6.58115E-09  6.62283E-09  6.66564E-09  6.70968E-09  6.75505E-09  6.80191E-09  6.85040E-09  6.90072E-09  6.95310E-09  7.00783E-09  7.06526E-09  7.12585E-09  7.19022E-09  7.25919E-09  7.33397E-09  7.41639E-09  7.50954E-09  7.63796E-09  7.79027E-09  7.94259E-09  8.09490E-09  8.24722E-09  8.37554E-09  8.48249E-09  8.59236E-09  8.70470E-09  8.81919E-09  8.93560E-09  9.05373E-09  9.17344E-09  9.29461E-09  9.41714E-09  9.54094E-09  9.66593E-09  9.79205E-09  9.91925E-09  1.00475E-08  1.01766E-08  1.03068E-08  1.04378E-08  1.05697E-08  1.07024E-08  1.08359E-08  1.09701E-08  1.11052E-08  1.12409E-08  1.13774E-08  1.15145E-08  1.16523E-08  1.17907E-08  1.19298E-08  1.20695E-08  1.22098E-08  1.23507E-08  1.24922E-08  1.26342E-08  1.27767E-08  1.29198E-08  1.30635E-08  1.32076E-08  1.33523E-08  1.34974E-08  1.36430E-08  1.37892E-08  1.39357E-08  1.40828E-08  1.42303E-08  1.43782E-08  1.45266E-08  1.46754E-08
  4.49650E-02  5.25174E-09  5.27615E-09  5.30080E-09  5.32569E-09  5.35084E-09  5.37625E-09  5.40193E-09  5.42790E-09  5.45415E-09  5.48071E-09  5.50757E-09  5.53476E-09  5.56229E-09  5.59016E-09  5.61840E-09  5.64701E-09  5.67602E-09  5.70544E-09  5.73529E-09  5.76558E-09  5.79636E-09  5.82762E-09  5.85941E-09  5.89174E-09  5.92466E-09  5.95818E-09  5.99236E-09  6.02722E-09  6.06282E-09  6.09921E-09  6.13643E-09  6.17456E-09  6.21367E-09  6.25383E-09  6.29515E-09  6.33772E-09  6.38168E-09  6.42718E-09  6.47439E-09  6.52353E-09  6.57488E-09  6.62876E-09  6.68561E-09  6.74600E-09  6.81071E-09  6.88087E-09  6.95820E-09  7.04559E-09  7.16608E-09  7.30898E-09  7.45189E-09  7.59479E-09  7.73770E-09  7.85809E-09  7.95843E-09  8.06151E-09  8.16691E-09  8.27433E-09  8.38355E-09  8.49438E-09  8.60670E-09  8.72038E-09  8.83534E-09  8.95149E-09  9.06876E-09  9.18709E-09  9.30643E-09  9.42672E-09  9.54793E-09  9.67001E-09  9.79292E-09  9.91665E-09  1.00412E-08  1.01664E-08  1.02924E-08  1.04191E-08  1.05464E-08  1.06745E-08  1.08031E-08  1.09324E-08  1.10623E-08  1.11928E-08  1.13239E-08  1.14555E-08  1.15877E-08  1.17204E-08  1.18536E-08  1.19874E-08  1.21216E-08  1.22564E-08  1.23916E-08  1.25273E-08  1.26635E-08  1.28002E-08  1.29372E-08  1.30748E-08  1.32127E-08  1.33511E-08  1.34899E-08  1.36292E-08  1.37688E-08
  5.66070E-02  4.99307E-09  5.01628E-09  5.03971E-09  5.06338E-09  5.08729E-09  5.11145E-09  5.13587E-09  5.16056E-09  5.18552E-09  5.21076E-09  5.23631E-09  5.26216E-09  5.28833E-09  5.31483E-09  5.34167E-09  5.36888E-09  5.39646E-09  5.42443E-09  5.45280E-09  5.48161E-09  5.51087E-09  5.54059E-09  5.57081E-09  5.60156E-09  5.63285E-09  5.66472E-09  5.69722E-09  5.73036E-09  5.76421E-09  5.79880E-09  5.83420E-09  5.87045E-09  5.90763E-09  5.94581E-09  5.98509E-09  6.02557E-09  6.06736E-09  6.11062E-09  6.15550E-09  6.20223E-09  6.25104E-09  6.30227E-09  6.35632E-09  6.41374E-09  6.47526E-09  6.54196E-09  6.61548E-09  6.69858E-09  6.81312E-09  6.94899E-09  7.08486E-09  7.22073E-09  7.35659E-09  7.47106E-09  7.56645E-09  7.66446E-09  7.76467E-09  7.86680E-09  7.97063E-09  8.07601E-09  8.18279E-09  8.29088E-09  8.40017E-09  8.51060E-09  8.62210E-09  8.73460E-09  8.84806E-09  8.96242E-09  9.07766E-09  9.19373E-09  9.31059E-09  9.42822E-09  9.54660E-09  9.66568E-09  9.78546E-09  9.90590E-09  1.00270E-08  1.01487E-08  1.02710E-08  1.03940E-08  1.05174E-08  1.06415E-08  1.07661E-08  1.08913E-08  1.10169E-08  1.11431E-08  1.12698E-08  1.13970E-08  1.15246E-08  1.16527E-08  1.17813E-08  1.19103E-08  1.20398E-08  1.21697E-08  1.23000E-08  1.24308E-08  1.25620E-08  1.26935E-08  1.28255E-08  1.29579E-08  1.30906E-08
  7.12640E-02  4.80193E-09  4.82425E-09  4.84679E-09  4.86955E-09  4.89255E-09  4.91578E-09  4.93927E-09  4.96301E-09  4.98701E-09  5.01129E-09  5.03586E-09  5.06072E-09  5.08588E-09  5.11137E-09  5.13719E-09  5.16335E-09  5.18987E-09  5.21677E-09  5.24407E-09  5.27177E-09  5.29991E-09  5.32849E-09  5.35756E-09  5.38712E-09  5.41722E-09  5.44787E-09  5.47912E-09  5.51100E-09  5.54355E-09  5.57682E-09  5.61086E-09  5.64572E-09  5.68148E-09  5.71820E-09  5.75598E-09  5.79490E-09  5.83510E-09  5.87670E-09  5.91987E-09  5.96480E-09  6.01175E-09  6.06102E-09  6.11300E-09  6.16821E-09  6.22738E-09  6.29153E-09  6.36224E-09  6.44215E-09  6.55231E-09  6.68298E-09  6.81364E-09  6.94431E-09  7.07498E-09  7.18506E-09  7.27680E-09  7.37106E-09  7.46743E-09  7.56565E-09  7.66551E-09  7.76685E-09  7.86955E-09  7.97350E-09  8.07861E-09  8.18481E-09  8.29204E-09  8.40023E-09  8.50935E-09  8.61933E-09  8.73016E-09  8.84178E-09  8.95417E-09  9.06730E-09  9.18114E-09  9.29567E-09  9.41086E-09  9.52669E-09  9.64315E-09  9.76020E-09  9.87785E-09  9.99606E-09  1.01148E-08  1.02341E-08  1.03540E-08  1.04743E-08  1.05952E-08  1.07165E-08  1.08384E-08  1.09607E-08  1.10834E-08  1.12067E-08  1.13303E-08  1.14544E-08  1.15789E-08  1.17038E-08  1.18292E-08  1.19549E-08  1.20811E-08  1.22076E-08  1.23345E-08  1.24618E-08  1.25895E-08
