W=  34.0    , r= 11.4 (GV), d=1030.0 (g/cm^2), g=  0.15
            1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32           33           34           35           36           37           38           39           40           41           42           43           44           45           46           47           48           49           50           51           52           53           54           55           56           57           58           59           60           61           62           63           64           65           66           67           68           69           70           71           72           73           74           75           76           77           78           79           80           81           82           83           84           85           86           87           88           89           90           91           92           93           94           95           96           97           98           99          100          101          102
       E(MeV)        -1.00        -0.98        -0.96        -0.94        -0.92        -0.90        -0.88        -0.86        -0.84        -0.82        -0.80        -0.78        -0.76        -0.74        -0.72        -0.70        -0.68        -0.66        -0.64        -0.62        -0.60        -0.58        -0.56        -0.54        -0.52        -0.50        -0.48        -0.46        -0.44        -0.42        -0.40        -0.38        -0.36        -0.34        -0.32        -0.30        -0.28        -0.26        -0.24        -0.22        -0.20        -0.18        -0.16        -0.14        -0.12        -0.10        -0.08        -0.06        -0.04        -0.02        -0.00         0.02         0.04         0.06         0.08         0.10         0.12         0.14         0.16         0.18         0.20         0.22         0.24         0.26         0.28         0.30         0.32         0.34         0.36         0.38         0.40         0.42         0.44         0.46         0.48         0.50         0.52         0.54         0.56         0.58         0.60         0.62         0.64         0.66         0.68         0.70         0.72         0.74         0.76         0.78         0.80         0.82         0.84         0.86         0.88         0.90         0.92         0.94         0.96         0.98         1.00
  1.12940E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.14669E-13  1.18532E-13  1.96166E-13  3.21501E-13  4.81785E-13  6.75076E-13  9.11712E-13  1.20980E-12  1.59267E-12  2.08741E-12  2.72406E-12  3.53515E-12  4.55537E-12  5.82143E-12  7.37178E-12  9.24628E-12  1.14855E-11  1.41299E-11  1.72184E-11  2.07880E-11  2.48727E-11  2.95031E-11  3.47074E-11  4.05112E-11  4.69391E-11  5.40152E-11  6.17651E-11  7.02164E-11  7.94002E-11  8.93526E-11  1.00115E-10  1.11738E-10  1.24278E-10  1.37803E-10  1.52393E-10  1.68141E-10  1.85158E-10  2.03576E-10  2.23549E-10  2.45266E-10  2.68956E-10  2.94905E-10  3.23473E-10  3.55137E-10  3.90544E-10  4.30635E-10  4.76898E-10  5.32030E-10  6.02421E-10  7.40864E-10
  1.42190E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.41603E-13  1.46374E-13  2.42243E-13  3.97017E-13  5.94950E-13  8.33643E-13  1.12586E-12  1.49397E-12  1.96677E-12  2.57771E-12  3.36391E-12  4.36551E-12  5.62537E-12  7.18880E-12  9.10331E-12  1.14181E-11  1.41833E-11  1.74488E-11  2.12628E-11  2.56709E-11  3.07149E-11  3.64330E-11  4.28597E-11  5.00268E-11  5.79645E-11  6.67027E-11  7.62729E-11  8.67093E-11  9.80503E-11  1.10340E-10  1.23631E-10  1.37984E-10  1.53469E-10  1.70171E-10  1.88188E-10  2.07635E-10  2.28650E-10  2.51393E-10  2.76057E-10  3.02876E-10  3.32131E-10  3.64174E-10  3.99453E-10  4.38554E-10  4.82277E-10  5.31786E-10  5.88915E-10  6.56997E-10  7.43922E-10  9.14883E-10
  1.79010E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.74855E-13  1.80746E-13  2.99128E-13  4.90246E-13  7.34658E-13  1.02940E-12  1.39024E-12  1.84479E-12  2.42861E-12  3.18302E-12  4.15383E-12  5.39063E-12  6.94634E-12  8.87690E-12  1.12410E-11  1.40993E-11  1.75139E-11  2.15462E-11  2.62558E-11  3.16990E-11  3.79275E-11  4.49883E-11  5.29242E-11  6.17742E-11  7.15758E-11  8.23661E-11  9.41836E-11  1.07071E-10  1.21075E-10  1.36251E-10  1.52663E-10  1.70385E-10  1.89507E-10  2.10131E-10  2.32378E-10  2.56393E-10  2.82342E-10  3.10426E-10  3.40882E-10  3.73998E-10  4.10122E-10  4.49690E-10  4.93253E-10  5.41536E-10  5.95527E-10  6.56662E-10  7.27206E-10  8.11275E-10  9.18612E-10  1.12972E-09
  2.25360E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.15904E-13  2.23178E-13  3.69351E-13  6.05337E-13  9.07126E-13  1.27106E-12  1.71661E-12  2.27787E-12  2.99875E-12  3.93027E-12  5.12899E-12  6.65614E-12  8.57706E-12  1.09608E-11  1.38799E-11  1.74093E-11  2.16255E-11  2.66044E-11  3.24196E-11  3.91407E-11  4.68314E-11  5.55498E-11  6.53487E-11  7.62764E-11  8.83790E-11  1.01702E-10  1.16294E-10  1.32207E-10  1.49498E-10  1.68237E-10  1.88502E-10  2.10385E-10  2.33996E-10  2.59461E-10  2.86932E-10  3.16583E-10  3.48624E-10  3.83301E-10  4.20908E-10  4.61798E-10  5.06403E-10  5.55260E-10  6.09050E-10  6.68667E-10  7.35334E-10  8.10820E-10  8.97925E-10  1.00173E-09  1.13427E-09  1.39493E-09
  2.83710E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.66578E-13  2.75560E-13  4.56040E-13  7.47412E-13  1.12003E-12  1.56939E-12  2.11951E-12  2.81250E-12  3.70258E-12  4.85272E-12  6.33279E-12  8.21837E-12  1.05901E-11  1.35334E-11  1.71376E-11  2.14954E-11  2.67011E-11  3.28486E-11  4.00287E-11  4.83272E-11  5.78230E-11  6.85877E-11  8.06864E-11  9.41789E-11  1.09122E-10  1.25572E-10  1.43589E-10  1.63236E-10  1.84586E-10  2.07723E-10  2.32744E-10  2.59764E-10  2.88916E-10  3.20358E-10  3.54276E-10  3.90887E-10  4.30449E-10  4.73264E-10  5.19697E-10  5.70184E-10  6.25259E-10  6.85582E-10  7.51998E-10  8.25607E-10  9.07920E-10  1.00112E-09  1.10867E-09  1.23684E-09  1.40048E-09  1.72233E-09
  3.57170E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.29129E-13  3.40219E-13  5.63048E-13  9.22791E-13  1.38285E-12  1.93764E-12  2.61685E-12  3.47245E-12  4.57138E-12  5.99140E-12  7.81876E-12  1.01468E-11  1.30751E-11  1.67090E-11  2.11589E-11  2.65392E-11  3.29664E-11  4.05564E-11  4.94213E-11  5.96670E-11  7.13910E-11  8.46816E-11  9.96192E-11  1.16278E-10  1.34727E-10  1.55038E-10  1.77282E-10  2.01539E-10  2.27899E-10  2.56465E-10  2.87357E-10  3.20717E-10  3.56709E-10  3.95530E-10  4.37406E-10  4.82608E-10  5.31452E-10  5.84314E-10  6.41643E-10  7.03976E-10  7.71974E-10  8.46452E-10  9.28452E-10  1.01933E-09  1.12096E-09  1.23603E-09  1.36882E-09  1.52706E-09  1.72910E-09  2.12647E-09
  4.49650E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.06331E-13  4.20022E-13  6.95118E-13  1.13924E-12  1.70721E-12  2.39214E-12  3.23066E-12  4.28695E-12  5.64365E-12  7.39676E-12  9.65275E-12  1.25269E-11  1.61420E-11  2.06283E-11  2.61220E-11  3.27643E-11  4.06991E-11  5.00694E-11  6.10137E-11  7.36627E-11  8.81366E-11  1.04545E-10  1.22986E-10  1.43552E-10  1.66329E-10  1.91404E-10  2.18866E-10  2.48813E-10  2.81356E-10  3.16622E-10  3.54760E-10  3.95945E-10  4.40380E-10  4.88306E-10  5.40005E-10  5.95810E-10  6.56111E-10  7.21373E-10  7.92148E-10  8.69103E-10  9.53050E-10  1.04500E-09  1.14623E-09  1.25843E-09  1.38390E-09  1.52596E-09  1.68989E-09  1.88526E-09  2.13469E-09  2.62526E-09
  5.66070E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  5.01593E-13  5.18494E-13  8.58086E-13  1.40633E-12  2.10746E-12  2.95297E-12  3.98808E-12  5.29202E-12  6.96679E-12  9.13091E-12  1.19158E-11  1.54637E-11  1.99265E-11  2.54645E-11  3.22462E-11  4.04458E-11  5.02409E-11  6.18080E-11  7.53182E-11  9.09327E-11  1.08800E-10  1.29055E-10  1.51820E-10  1.77207E-10  2.05325E-10  2.36278E-10  2.70178E-10  3.07146E-10  3.47319E-10  3.90853E-10  4.37933E-10  4.88773E-10  5.43626E-10  6.02788E-10  6.66608E-10  7.35495E-10  8.09934E-10  8.90496E-10  9.77864E-10  1.07286E-09  1.17649E-09  1.28999E-09  1.41496E-09  1.55347E-09  1.70835E-09  1.88372E-09  2.08609E-09  2.32725E-09  2.63516E-09  3.24075E-09
  7.12640E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  6.19129E-13  6.39990E-13  1.05916E-12  1.73587E-12  2.60129E-12  3.64492E-12  4.92259E-12  6.53207E-12  8.59928E-12  1.12705E-11  1.47080E-11  1.90873E-11  2.45957E-11  3.14315E-11  3.98023E-11  4.99233E-11  6.20136E-11  7.62911E-11  9.29671E-11  1.12240E-10  1.34294E-10  1.59296E-10  1.87395E-10  2.18732E-10  2.53437E-10  2.91644E-10  3.33487E-10  3.79118E-10  4.28704E-10  4.82440E-10  5.40552E-10  6.03305E-10  6.71011E-10  7.44036E-10  8.22811E-10  9.07840E-10  9.99722E-10  1.09916E-09  1.20700E-09  1.32426E-09  1.45217E-09  1.59227E-09  1.74652E-09  1.91748E-09  2.10866E-09  2.32512E-09  2.57491E-09  2.87258E-09  3.25264E-09  4.00013E-09
