W=  34.0    , r= 11.4 (GV), d=1030.0 (g/cm^2), g=  0.15
            1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32           33           34           35           36           37           38           39           40           41           42           43           44           45           46           47           48           49           50           51           52           53           54           55           56           57           58           59           60           61           62           63           64           65           66           67           68           69           70           71           72           73           74           75           76           77           78           79           80           81           82           83           84           85           86           87           88           89           90           91           92           93           94           95           96           97           98           99          100          101          102
       E(MeV)        -1.00        -0.98        -0.96        -0.94        -0.92        -0.90        -0.88        -0.86        -0.84        -0.82        -0.80        -0.78        -0.76        -0.74        -0.72        -0.70        -0.68        -0.66        -0.64        -0.62        -0.60        -0.58        -0.56        -0.54        -0.52        -0.50        -0.48        -0.46        -0.44        -0.42        -0.40        -0.38        -0.36        -0.34        -0.32        -0.30        -0.28        -0.26        -0.24        -0.22        -0.20        -0.18        -0.16        -0.14        -0.12        -0.10        -0.08        -0.06        -0.04        -0.02        -0.00         0.02         0.04         0.06         0.08         0.10         0.12         0.14         0.16         0.18         0.20         0.22         0.24         0.26         0.28         0.30         0.32         0.34         0.36         0.38         0.40         0.42         0.44         0.46         0.48         0.50         0.52         0.54         0.56         0.58         0.60         0.62         0.64         0.66         0.68         0.70         0.72         0.74         0.76         0.78         0.80         0.82         0.84         0.86         0.88         0.90         0.92         0.94         0.96         0.98         1.00
  1.12940E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.15653E-13  1.19550E-13  1.97851E-13  3.24261E-13  4.85921E-13  6.80872E-13  9.19540E-13  1.22019E-12  1.60635E-12  2.10533E-12  2.74745E-12  3.56550E-12  4.59449E-12  5.87141E-12  7.43507E-12  9.32567E-12  1.15841E-11  1.42512E-11  1.73663E-11  2.09665E-11  2.50862E-11  2.97564E-11  3.50054E-11  4.08591E-11  4.73421E-11  5.44790E-11  6.22954E-11  7.08192E-11  8.00819E-11  9.01198E-11  1.00975E-10  1.12697E-10  1.25345E-10  1.38986E-10  1.53701E-10  1.69585E-10  1.86748E-10  2.05323E-10  2.25468E-10  2.47372E-10  2.71265E-10  2.97437E-10  3.26251E-10  3.58186E-10  3.93897E-10  4.34333E-10  4.80993E-10  5.36598E-10  6.07594E-10  7.47225E-10
  1.42190E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.42837E-13  1.47649E-13  2.44354E-13  4.00476E-13  6.00133E-13  8.40905E-13  1.13567E-12  1.50698E-12  1.98390E-12  2.60017E-12  3.39321E-12  4.40354E-12  5.67438E-12  7.25143E-12  9.18262E-12  1.15176E-11  1.43069E-11  1.76008E-11  2.14480E-11  2.58945E-11  3.09825E-11  3.67504E-11  4.32331E-11  5.04626E-11  5.84694E-11  6.72838E-11  7.69374E-11  8.74646E-11  9.89044E-11  1.11302E-10  1.24708E-10  1.39186E-10  1.54806E-10  1.71653E-10  1.89827E-10  2.09444E-10  2.30641E-10  2.53583E-10  2.78462E-10  3.05514E-10  3.35024E-10  3.67346E-10  4.02933E-10  4.42374E-10  4.86479E-10  5.36419E-10  5.94046E-10  6.62720E-10  7.50403E-10  9.22853E-10
  1.79010E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.76399E-13  1.82343E-13  3.01770E-13  4.94576E-13  7.41146E-13  1.03849E-12  1.40252E-12  1.86108E-12  2.45006E-12  3.21113E-12  4.19052E-12  5.43824E-12  7.00769E-12  8.95530E-12  1.13403E-11  1.42239E-11  1.76686E-11  2.17365E-11  2.64877E-11  3.19790E-11  3.82625E-11  4.53857E-11  5.33916E-11  6.23199E-11  7.22080E-11  8.30936E-11  9.50154E-11  1.08016E-10  1.22144E-10  1.37454E-10  1.54011E-10  1.71890E-10  1.91181E-10  2.11987E-10  2.34431E-10  2.58657E-10  2.84836E-10  3.13167E-10  3.43893E-10  3.77301E-10  4.13745E-10  4.53662E-10  4.97610E-10  5.46319E-10  6.00787E-10  6.62462E-10  7.33629E-10  8.18440E-10  9.26726E-10  1.13970E-09
  2.25360E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.17836E-13  2.25176E-13  3.72656E-13  6.10754E-13  9.15244E-13  1.28244E-12  1.73198E-12  2.29826E-12  3.02559E-12  3.96544E-12  5.17489E-12  6.71571E-12  8.65382E-12  1.10589E-11  1.40041E-11  1.75651E-11  2.18190E-11  2.68424E-11  3.27098E-11  3.94909E-11  4.72505E-11  5.60470E-11  6.59335E-11  7.69590E-11  8.91700E-11  1.02613E-10  1.17335E-10  1.33390E-10  1.50836E-10  1.69743E-10  1.90189E-10  2.12268E-10  2.36090E-10  2.61783E-10  2.89500E-10  3.19417E-10  3.51744E-10  3.86732E-10  4.24674E-10  4.65930E-10  5.10935E-10  5.60229E-10  6.14501E-10  6.74651E-10  7.41914E-10  8.18076E-10  9.05961E-10  1.01069E-09  1.14442E-09  1.40742E-09
  2.83710E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.68993E-13  2.78057E-13  4.60172E-13  7.54185E-13  1.13018E-12  1.58361E-12  2.13872E-12  2.83799E-12  3.73613E-12  4.89670E-12  6.39018E-12  8.29284E-12  1.06861E-11  1.36560E-11  1.72929E-11  2.16902E-11  2.69430E-11  3.31462E-11  4.03914E-11  4.87651E-11  5.83469E-11  6.92092E-11  8.14175E-11  9.50323E-11  1.10111E-10  1.26710E-10  1.44890E-10  1.64715E-10  1.86259E-10  2.09606E-10  2.34853E-10  2.62118E-10  2.91534E-10  3.23261E-10  3.57486E-10  3.94429E-10  4.34349E-10  4.77553E-10  5.24406E-10  5.75351E-10  6.30924E-10  6.91795E-10  7.58812E-10  8.33088E-10  9.16147E-10  1.01020E-09  1.11872E-09  1.24805E-09  1.41317E-09  1.73794E-09
  3.57170E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.32147E-13  3.43338E-13  5.68211E-13  9.31251E-13  1.39553E-12  1.95541E-12  2.64084E-12  3.50429E-12  4.61329E-12  6.04634E-12  7.89045E-12  1.02398E-11  1.31950E-11  1.68622E-11  2.13529E-11  2.67825E-11  3.32687E-11  4.09282E-11  4.98744E-11  6.02141E-11  7.20455E-11  8.54580E-11  1.00533E-10  1.17344E-10  1.35963E-10  1.56459E-10  1.78907E-10  2.03387E-10  2.29989E-10  2.58816E-10  2.89992E-10  3.23657E-10  3.59980E-10  3.99156E-10  4.41417E-10  4.87033E-10  5.36325E-10  5.89672E-10  6.47526E-10  7.10431E-10  7.79052E-10  8.54213E-10  9.36964E-10  1.02868E-09  1.13124E-09  1.24737E-09  1.38137E-09  1.54106E-09  1.74496E-09  2.14597E-09
  4.49650E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.10098E-13  4.23916E-13  7.01563E-13  1.14980E-12  1.72304E-12  2.41432E-12  3.26062E-12  4.32670E-12  5.69597E-12  7.46534E-12  9.74224E-12  1.26430E-11  1.62917E-11  2.08195E-11  2.63642E-11  3.30681E-11  4.10764E-11  5.05336E-11  6.15794E-11  7.43456E-11  8.89537E-11  1.05514E-10  1.24126E-10  1.44883E-10  1.67871E-10  1.93178E-10  2.20895E-10  2.51119E-10  2.83964E-10  3.19558E-10  3.58049E-10  3.99616E-10  4.44463E-10  4.92833E-10  5.45012E-10  6.01334E-10  6.62194E-10  7.28061E-10  7.99492E-10  8.77160E-10  9.61886E-10  1.05469E-09  1.15686E-09  1.27010E-09  1.39673E-09  1.54011E-09  1.70556E-09  1.90273E-09  2.15448E-09  2.64960E-09
  5.66070E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  5.06292E-13  5.23351E-13  8.66125E-13  1.41951E-12  2.12720E-12  2.98063E-12  4.02544E-12  5.34159E-12  7.03205E-12  9.21645E-12  1.20274E-11  1.56086E-11  2.01131E-11  2.57031E-11  3.25483E-11  4.08247E-11  5.07115E-11  6.23870E-11  7.60238E-11  9.17845E-11  1.09819E-10  1.30264E-10  1.53242E-10  1.78868E-10  2.07248E-10  2.38491E-10  2.72709E-10  3.10023E-10  3.50572E-10  3.94515E-10  4.42035E-10  4.93352E-10  5.48718E-10  6.08435E-10  6.72853E-10  7.42386E-10  8.17521E-10  8.98838E-10  9.87025E-10  1.08291E-09  1.18751E-09  1.30208E-09  1.42822E-09  1.56802E-09  1.72435E-09  1.90137E-09  2.10563E-09  2.34905E-09  2.65984E-09  3.27111E-09
  7.12640E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  6.24986E-13  6.46044E-13  1.06918E-12  1.75229E-12  2.62590E-12  3.67940E-12  4.96915E-12  6.59386E-12  8.68062E-12  1.13771E-11  1.48471E-11  1.92678E-11  2.48284E-11  3.17288E-11  4.01788E-11  5.03955E-11  6.26002E-11  7.70128E-11  9.38465E-11  1.13302E-10  1.35565E-10  1.60803E-10  1.89168E-10  2.20801E-10  2.55835E-10  2.94402E-10  3.36642E-10  3.82704E-10  4.32759E-10  4.87003E-10  5.45665E-10  6.09012E-10  6.77358E-10  7.51074E-10  8.30594E-10  9.16428E-10  1.00918E-09  1.10956E-09  1.21842E-09  1.33679E-09  1.46591E-09  1.60733E-09  1.76304E-09  1.93562E-09  2.12860E-09  2.34712E-09  2.59926E-09  2.89975E-09  3.28341E-09  4.03797E-09
