W=  34.0    , r= 11.4 (GV), d=1030.0 (g/cm^2), g=  0.15
            1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32           33           34           35           36           37           38           39           40           41           42           43           44           45           46           47           48           49           50           51           52           53           54           55           56           57           58           59           60           61           62           63           64           65           66           67           68           69           70           71           72           73           74           75           76           77           78           79           80           81           82           83           84           85           86           87           88           89           90           91           92           93           94           95           96           97           98           99          100          101          102
       E(MeV)        -1.00        -0.98        -0.96        -0.94        -0.92        -0.90        -0.88        -0.86        -0.84        -0.82        -0.80        -0.78        -0.76        -0.74        -0.72        -0.70        -0.68        -0.66        -0.64        -0.62        -0.60        -0.58        -0.56        -0.54        -0.52        -0.50        -0.48        -0.46        -0.44        -0.42        -0.40        -0.38        -0.36        -0.34        -0.32        -0.30        -0.28        -0.26        -0.24        -0.22        -0.20        -0.18        -0.16        -0.14        -0.12        -0.10        -0.08        -0.06        -0.04        -0.02        -0.00         0.02         0.04         0.06         0.08         0.10         0.12         0.14         0.16         0.18         0.20         0.22         0.24         0.26         0.28         0.30         0.32         0.34         0.36         0.38         0.40         0.42         0.44         0.46         0.48         0.50         0.52         0.54         0.56         0.58         0.60         0.62         0.64         0.66         0.68         0.70         0.72         0.74         0.76         0.78         0.80         0.82         0.84         0.86         0.88         0.90         0.92         0.94         0.96         0.98         1.00
  1.12940E-08  2.77015E+03  2.74711E+03  2.72419E+03  2.70139E+03  2.67871E+03  2.65614E+03  2.63368E+03  2.61133E+03  2.58909E+03  2.56695E+03  2.54491E+03  2.52296E+03  2.50111E+03  2.47934E+03  2.45766E+03  2.43606E+03  2.41453E+03  2.39308E+03  2.37168E+03  2.35035E+03  2.32906E+03  2.30782E+03  2.28660E+03  2.26542E+03  2.24425E+03  2.22308E+03  2.20190E+03  2.18069E+03  2.15945E+03  2.13814E+03  2.11675E+03  2.09525E+03  2.07362E+03  2.05182E+03  2.02981E+03  2.00755E+03  1.98498E+03  1.96203E+03  1.93862E+03  1.91464E+03  1.88996E+03  1.86442E+03  1.83778E+03  1.80973E+03  1.77981E+03  1.74736E+03  1.71127E+03  1.66960E+03  1.58319E+03  1.45846E+03  1.33373E+03  1.20900E+03  1.08428E+03  1.01790E+03  1.00995E+03  1.00207E+03  9.94209E+02  9.86345E+02  9.78460E+02  9.70543E+02  9.62583E+02  9.54573E+02  9.46507E+02  9.38379E+02  9.30185E+02  9.21922E+02  9.13586E+02  9.05174E+02  8.96684E+02  8.88114E+02  8.79461E+02  8.70724E+02  8.61901E+02  8.52990E+02  8.43991E+02  8.34902E+02  8.25722E+02  8.16449E+02  8.07083E+02  7.97623E+02  7.88068E+02  7.78417E+02  7.68669E+02  7.58824E+02  7.48881E+02  7.38839E+02  7.28697E+02  7.18455E+02  7.08113E+02  6.97670E+02  6.87125E+02  6.76478E+02  6.65728E+02  6.54875E+02  6.43919E+02  6.32858E+02  6.21694E+02  6.10424E+02  5.99050E+02  5.87570E+02  5.75984E+02
  1.42190E-08  3.07389E+03  3.04844E+03  3.02312E+03  2.99793E+03  2.97287E+03  2.94793E+03  2.92312E+03  2.89843E+03  2.87385E+03  2.84938E+03  2.82503E+03  2.80078E+03  2.77663E+03  2.75258E+03  2.72863E+03  2.70476E+03  2.68097E+03  2.65726E+03  2.63362E+03  2.61004E+03  2.58652E+03  2.56304E+03  2.53960E+03  2.51619E+03  2.49279E+03  2.46940E+03  2.44599E+03  2.42256E+03  2.39907E+03  2.37553E+03  2.35189E+03  2.32813E+03  2.30422E+03  2.28012E+03  2.25580E+03  2.23119E+03  2.20624E+03  2.18087E+03  2.15499E+03  2.12849E+03  2.10121E+03  2.07297E+03  2.04352E+03  2.01251E+03  1.97943E+03  1.94355E+03  1.90366E+03  1.85758E+03  1.76328E+03  1.62787E+03  1.49246E+03  1.35705E+03  1.22164E+03  1.14949E+03  1.14069E+03  1.13196E+03  1.12326E+03  1.11455E+03  1.10582E+03  1.09706E+03  1.08824E+03  1.07937E+03  1.07044E+03  1.06145E+03  1.05237E+03  1.04323E+03  1.03400E+03  1.02468E+03  1.01529E+03  1.00580E+03  9.96219E+02  9.86547E+02  9.76781E+02  9.66917E+02  9.56956E+02  9.46895E+02  9.36733E+02  9.26470E+02  9.16103E+02  9.05632E+02  8.95056E+02  8.84374E+02  8.73585E+02  8.62689E+02  8.51684E+02  8.40570E+02  8.29346E+02  8.18011E+02  8.06565E+02  7.95007E+02  7.83337E+02  7.71555E+02  7.59658E+02  7.47648E+02  7.35523E+02  7.23284E+02  7.10929E+02  6.98458E+02  6.85872E+02  6.73168E+02  6.60348E+02
  1.79010E-08  3.30447E+03  3.27726E+03  3.25018E+03  3.22325E+03  3.19645E+03  3.16979E+03  3.14325E+03  3.11685E+03  3.09057E+03  3.06441E+03  3.03836E+03  3.01243E+03  2.98661E+03  2.96089E+03  2.93527E+03  2.90974E+03  2.88430E+03  2.85894E+03  2.83366E+03  2.80844E+03  2.78328E+03  2.75817E+03  2.73310E+03  2.70806E+03  2.68303E+03  2.65801E+03  2.63297E+03  2.60790E+03  2.58278E+03  2.55759E+03  2.53230E+03  2.50689E+03  2.48131E+03  2.45553E+03  2.42951E+03  2.40318E+03  2.37649E+03  2.34934E+03  2.32165E+03  2.29329E+03  2.26411E+03  2.23389E+03  2.20237E+03  2.16919E+03  2.13379E+03  2.09539E+03  2.05269E+03  2.00338E+03  1.90440E+03  1.76338E+03  1.62235E+03  1.48132E+03  1.34030E+03  1.26502E+03  1.25558E+03  1.24621E+03  1.23688E+03  1.22753E+03  1.21817E+03  1.20877E+03  1.19931E+03  1.18980E+03  1.18022E+03  1.17057E+03  1.16084E+03  1.15102E+03  1.14113E+03  1.13114E+03  1.12106E+03  1.11088E+03  1.10061E+03  1.09023E+03  1.07976E+03  1.06918E+03  1.05850E+03  1.04771E+03  1.03681E+03  1.02581E+03  1.01469E+03  1.00346E+03  9.92123E+02  9.80669E+02  9.69101E+02  9.57417E+02  9.45618E+02  9.33701E+02  9.21667E+02  9.09515E+02  8.97243E+02  8.84852E+02  8.72341E+02  8.59709E+02  8.46955E+02  8.34079E+02  8.21081E+02  8.07960E+02  7.94716E+02  7.81348E+02  7.67855E+02  7.54238E+02  7.40495E+02
  2.25360E-08  3.41302E+03  3.38509E+03  3.35732E+03  3.32968E+03  3.30219E+03  3.27483E+03  3.24760E+03  3.22051E+03  3.19354E+03  3.16669E+03  3.13997E+03  3.11336E+03  3.08686E+03  3.06047E+03  3.03417E+03  3.00798E+03  2.98187E+03  2.95584E+03  2.92989E+03  2.90401E+03  2.87819E+03  2.85242E+03  2.82669E+03  2.80098E+03  2.77529E+03  2.74961E+03  2.72391E+03  2.69817E+03  2.67239E+03  2.64653E+03  2.62057E+03  2.59447E+03  2.56822E+03  2.54175E+03  2.51503E+03  2.48800E+03  2.46059E+03  2.43272E+03  2.40429E+03  2.37517E+03  2.34519E+03  2.31416E+03  2.28180E+03  2.24771E+03  2.21136E+03  2.17192E+03  2.12806E+03  2.07740E+03  1.97854E+03  1.83929E+03  1.70003E+03  1.56078E+03  1.42153E+03  1.34699E+03  1.33726E+03  1.32761E+03  1.31798E+03  1.30835E+03  1.29869E+03  1.28900E+03  1.27925E+03  1.26945E+03  1.25957E+03  1.24962E+03  1.23959E+03  1.22948E+03  1.21927E+03  1.20898E+03  1.19859E+03  1.18810E+03  1.17752E+03  1.16683E+03  1.15603E+03  1.14513E+03  1.13412E+03  1.12300E+03  1.11178E+03  1.10044E+03  1.08898E+03  1.07741E+03  1.06573E+03  1.05393E+03  1.04201E+03  1.02997E+03  1.01781E+03  1.00554E+03  9.93141E+02  9.80622E+02  9.67980E+02  9.55216E+02  9.42328E+02  9.29316E+02  9.16179E+02  9.02916E+02  8.89528E+02  8.76013E+02  8.62371E+02  8.48602E+02  8.34705E+02  8.20680E+02  8.06526E+02
  2.83710E-08  3.35249E+03  3.32529E+03  3.29823E+03  3.27131E+03  3.24452E+03  3.21787E+03  3.19134E+03  3.16494E+03  3.13867E+03  3.11251E+03  3.08647E+03  3.06055E+03  3.03472E+03  3.00901E+03  2.98339E+03  2.95786E+03  2.93242E+03  2.90706E+03  2.88177E+03  2.85654E+03  2.83138E+03  2.80626E+03  2.78118E+03  2.75613E+03  2.73109E+03  2.70605E+03  2.68100E+03  2.65592E+03  2.63078E+03  2.60557E+03  2.58027E+03  2.55483E+03  2.52923E+03  2.50343E+03  2.47737E+03  2.45102E+03  2.42429E+03  2.39712E+03  2.36939E+03  2.34099E+03  2.31176E+03  2.28150E+03  2.24993E+03  2.21669E+03  2.18123E+03  2.14276E+03  2.09998E+03  2.05056E+03  1.95780E+03  1.82933E+03  1.70086E+03  1.57238E+03  1.44391E+03  1.37485E+03  1.36531E+03  1.35584E+03  1.34639E+03  1.33695E+03  1.32748E+03  1.31797E+03  1.30841E+03  1.29879E+03  1.28911E+03  1.27935E+03  1.26952E+03  1.25960E+03  1.24959E+03  1.23950E+03  1.22931E+03  1.21903E+03  1.20865E+03  1.19817E+03  1.18759E+03  1.17690E+03  1.16611E+03  1.15521E+03  1.14420E+03  1.13309E+03  1.12186E+03  1.11052E+03  1.09907E+03  1.08750E+03  1.07582E+03  1.06402E+03  1.05211E+03  1.04008E+03  1.02793E+03  1.01566E+03  1.00328E+03  9.90768E+02  9.78140E+02  9.65390E+02  9.52518E+02  9.39523E+02  9.26406E+02  9.13165E+02  8.99800E+02  8.86310E+02  8.72696E+02  8.58956E+02  8.45091E+02
  3.57170E-08  3.09301E+03  3.06818E+03  3.04347E+03  3.01888E+03  2.99442E+03  2.97008E+03  2.94586E+03  2.92175E+03  2.89775E+03  2.87386E+03  2.85008E+03  2.82640E+03  2.80282E+03  2.77933E+03  2.75592E+03  2.73260E+03  2.70936E+03  2.68620E+03  2.66309E+03  2.64005E+03  2.61706E+03  2.59411E+03  2.57120E+03  2.54831E+03  2.52543E+03  2.50256E+03  2.47966E+03  2.45674E+03  2.43377E+03  2.41074E+03  2.38761E+03  2.36436E+03  2.34096E+03  2.31738E+03  2.29357E+03  2.26948E+03  2.24505E+03  2.22021E+03  2.19486E+03  2.16890E+03  2.14218E+03  2.11451E+03  2.08565E+03  2.05525E+03  2.02283E+03  1.98765E+03  1.94852E+03  1.90333E+03  1.82285E+03  1.71408E+03  1.60530E+03  1.49653E+03  1.38775E+03  1.32892E+03  1.32012E+03  1.31139E+03  1.30268E+03  1.29398E+03  1.28525E+03  1.27648E+03  1.26767E+03  1.25881E+03  1.24988E+03  1.24089E+03  1.23182E+03  1.22268E+03  1.21347E+03  1.20416E+03  1.19478E+03  1.18530E+03  1.17574E+03  1.16608E+03  1.15633E+03  1.14649E+03  1.13655E+03  1.12651E+03  1.11637E+03  1.10613E+03  1.09579E+03  1.08534E+03  1.07480E+03  1.06414E+03  1.05339E+03  1.04252E+03  1.03155E+03  1.02047E+03  1.00929E+03  9.97991E+02  9.86585E+02  9.75069E+02  9.63442E+02  9.51703E+02  9.39853E+02  9.27890E+02  9.15815E+02  9.03625E+02  8.91323E+02  8.78905E+02  8.66374E+02  8.53727E+02  8.40964E+02
  4.49650E-08  2.64021E+03  2.61928E+03  2.59846E+03  2.57774E+03  2.55712E+03  2.53661E+03  2.51619E+03  2.49587E+03  2.47565E+03  2.45551E+03  2.43547E+03  2.41550E+03  2.39562E+03  2.37582E+03  2.35609E+03  2.33643E+03  2.31684E+03  2.29731E+03  2.27783E+03  2.25840E+03  2.23902E+03  2.21967E+03  2.20035E+03  2.18104E+03  2.16175E+03  2.14246E+03  2.12316E+03  2.10382E+03  2.08445E+03  2.06502E+03  2.04551E+03  2.02590E+03  2.00617E+03  1.98627E+03  1.96619E+03  1.94586E+03  1.92525E+03  1.90429E+03  1.88291E+03  1.86100E+03  1.83846E+03  1.81511E+03  1.79075E+03  1.76510E+03  1.73773E+03  1.70804E+03  1.67502E+03  1.63687E+03  1.57351E+03  1.49083E+03  1.40815E+03  1.32547E+03  1.24279E+03  1.19765E+03  1.19014E+03  1.18269E+03  1.17526E+03  1.16783E+03  1.16038E+03  1.15290E+03  1.14538E+03  1.13781E+03  1.13019E+03  1.12252E+03  1.11479E+03  1.10699E+03  1.09912E+03  1.09118E+03  1.08318E+03  1.07509E+03  1.06693E+03  1.05870E+03  1.05038E+03  1.04198E+03  1.03351E+03  1.02494E+03  1.01630E+03  1.00756E+03  9.98746E+02  9.89841E+02  9.80847E+02  9.71765E+02  9.62593E+02  9.53331E+02  9.43979E+02  9.34534E+02  9.24998E+02  9.15369E+02  9.05647E+02  8.95831E+02  8.85921E+02  8.75917E+02  8.65817E+02  8.55622E+02  8.45331E+02  8.34944E+02  8.24460E+02  8.13879E+02  8.03201E+02  7.92425E+02  7.81551E+02
  5.66080E-08  2.04787E+03  2.03190E+03  2.01600E+03  2.00018E+03  1.98445E+03  1.96879E+03  1.95320E+03  1.93769E+03  1.92224E+03  1.90687E+03  1.89156E+03  1.87632E+03  1.86114E+03  1.84602E+03  1.83095E+03  1.81594E+03  1.80097E+03  1.78606E+03  1.77118E+03  1.75634E+03  1.74153E+03  1.72675E+03  1.71199E+03  1.69725E+03  1.68251E+03  1.66777E+03  1.65302E+03  1.63825E+03  1.62345E+03  1.60861E+03  1.59370E+03  1.57872E+03  1.56363E+03  1.54843E+03  1.53308E+03  1.51755E+03  1.50180E+03  1.48578E+03  1.46943E+03  1.45269E+03  1.43546E+03  1.41761E+03  1.39899E+03  1.37938E+03  1.35846E+03  1.33576E+03  1.31051E+03  1.28135E+03  1.23706E+03  1.18215E+03  1.12725E+03  1.07234E+03  1.01743E+03  9.87031E+02  9.81201E+02  9.75415E+02  9.69646E+02  9.63875E+02  9.58090E+02  9.52283E+02  9.46445E+02  9.40572E+02  9.34660E+02  9.28703E+02  9.22700E+02  9.16647E+02  9.10543E+02  9.04385E+02  8.98171E+02  8.91899E+02  8.85569E+02  8.79179E+02  8.72728E+02  8.66214E+02  8.59637E+02  8.52996E+02  8.46290E+02  8.39518E+02  8.32679E+02  8.25774E+02  8.18800E+02  8.11758E+02  8.04646E+02  7.97466E+02  7.90215E+02  7.82893E+02  7.75501E+02  7.68037E+02  7.60501E+02  7.52893E+02  7.45212E+02  7.37459E+02  7.29632E+02  7.21731E+02  7.13757E+02  7.05708E+02  6.97584E+02  6.89386E+02  6.81113E+02  6.72764E+02  6.64339E+02
  7.12650E-08  1.41343E+03  1.40262E+03  1.39186E+03  1.38116E+03  1.37051E+03  1.35991E+03  1.34936E+03  1.33886E+03  1.32841E+03  1.31800E+03  1.30764E+03  1.29732E+03  1.28704E+03  1.27681E+03  1.26661E+03  1.25644E+03  1.24631E+03  1.23621E+03  1.22614E+03  1.21609E+03  1.20606E+03  1.19605E+03  1.18606E+03  1.17607E+03  1.16609E+03  1.15611E+03  1.14612E+03  1.13612E+03  1.12609E+03  1.11604E+03  1.10594E+03  1.09579E+03  1.08557E+03  1.07528E+03  1.06488E+03  1.05436E+03  1.04368E+03  1.03283E+03  1.02176E+03  1.01041E+03  9.98736E+02  9.86644E+02  9.74029E+02  9.60741E+02  9.46568E+02  9.31187E+02  9.14081E+02  8.94320E+02  8.67521E+02  8.36737E+02  8.05953E+02  7.75169E+02  7.44385E+02  7.26956E+02  7.22924E+02  7.18922E+02  7.14932E+02  7.10941E+02  7.06941E+02  7.02925E+02  6.98888E+02  6.94827E+02  6.90739E+02  6.86622E+02  6.82472E+02  6.78288E+02  6.74068E+02  6.69812E+02  6.65517E+02  6.61183E+02  6.56809E+02  6.52394E+02  6.47936E+02  6.43436E+02  6.38892E+02  6.34305E+02  6.29672E+02  6.24995E+02  6.20272E+02  6.15503E+02  6.10687E+02  6.05824E+02  6.00913E+02  5.95955E+02  5.90949E+02  5.85894E+02  5.80791E+02  5.75639E+02  5.70437E+02  5.65185E+02  5.59884E+02  5.54533E+02  5.49131E+02  5.43679E+02  5.38176E+02  5.32622E+02  5.27016E+02  5.21360E+02  5.15652E+02  5.09892E+02  5.04080E+02
