W=  34.0    , r= 11.4 (GV), d=1030.0 (g/cm^2), g=  0.15
            1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32           33           34           35           36           37           38           39           40           41           42           43           44           45           46           47           48           49           50           51           52           53           54           55           56           57           58           59           60           61           62           63           64           65           66           67           68           69           70           71           72           73           74           75           76           77           78           79           80           81           82           83           84           85           86           87           88           89           90           91           92           93           94           95           96           97           98           99          100          101          102
       E(MeV)        -1.00        -0.98        -0.96        -0.94        -0.92        -0.90        -0.88        -0.86        -0.84        -0.82        -0.80        -0.78        -0.76        -0.74        -0.72        -0.70        -0.68        -0.66        -0.64        -0.62        -0.60        -0.58        -0.56        -0.54        -0.52        -0.50        -0.48        -0.46        -0.44        -0.42        -0.40        -0.38        -0.36        -0.34        -0.32        -0.30        -0.28        -0.26        -0.24        -0.22        -0.20        -0.18        -0.16        -0.14        -0.12        -0.10        -0.08        -0.06        -0.04        -0.02        -0.00         0.02         0.04         0.06         0.08         0.10         0.12         0.14         0.16         0.18         0.20         0.22         0.24         0.26         0.28         0.30         0.32         0.34         0.36         0.38         0.40         0.42         0.44         0.46         0.48         0.50         0.52         0.54         0.56         0.58         0.60         0.62         0.64         0.66         0.68         0.70         0.72         0.74         0.76         0.78         0.80         0.82         0.84         0.86         0.88         0.90         0.92         0.94         0.96         0.98         1.00
  1.12940E-02  1.16488E-04  1.15529E-04  1.14571E-04  1.13612E-04  1.12653E-04  1.11693E-04  1.10731E-04  1.09767E-04  1.08799E-04  1.07828E-04  1.06854E-04  1.05874E-04  1.04889E-04  1.03898E-04  1.02901E-04  1.01896E-04  1.00883E-04  9.98616E-05  9.88306E-05  9.77892E-05  9.67366E-05  9.56720E-05  9.45943E-05  9.35025E-05  9.23956E-05  9.12723E-05  9.01314E-05  8.89715E-05  8.77909E-05  8.65881E-05  8.53610E-05  8.41077E-05  8.28257E-05  8.15124E-05  8.01646E-05  7.87788E-05  7.73508E-05  7.58758E-05  7.43478E-05  7.27599E-05  7.11033E-05  6.93670E-05  6.75368E-05  6.55942E-05  6.35133E-05  6.12571E-05  5.87686E-05  5.59515E-05  5.36216E-05  5.21291E-05  5.06366E-05  4.91441E-05  4.76517E-05  5.17505E-05  6.07193E-05  6.89942E-05  7.67647E-05  8.41450E-05  9.12109E-05  9.80156E-05  1.04599E-04  1.10990E-04  1.17213E-04  1.23287E-04  1.29228E-04  1.35049E-04  1.40761E-04  1.46373E-04  1.51895E-04  1.57333E-04  1.62695E-04  1.67986E-04  1.73213E-04  1.78380E-04  1.83494E-04  1.88558E-04  1.93579E-04  1.98561E-04  2.03510E-04  2.08430E-04  2.13327E-04  2.18206E-04  2.23075E-04  2.27940E-04  2.32808E-04  2.37688E-04  2.42589E-04  2.47522E-04  2.52500E-04  2.57538E-04  2.62656E-04  2.67875E-04  2.73224E-04  2.78738E-04  2.84463E-04  2.90456E-04  2.96790E-04  3.03560E-04  3.10886E-04  3.18924E-04  3.27874E-04
  1.42190E-02  3.79668E-04  3.76873E-04  3.74064E-04  3.71241E-04  3.68402E-04  3.65548E-04  3.62676E-04  3.59787E-04  3.56878E-04  3.53950E-04  3.51000E-04  3.48027E-04  3.45031E-04  3.42010E-04  3.38962E-04  3.35886E-04  3.32781E-04  3.29643E-04  3.26473E-04  3.23266E-04  3.20022E-04  3.16738E-04  3.13412E-04  3.10040E-04  3.06619E-04  3.03146E-04  2.99618E-04  2.96030E-04  2.92377E-04  2.88656E-04  2.84860E-04  2.80982E-04  2.77016E-04  2.72954E-04  2.68786E-04  2.64501E-04  2.60087E-04  2.55529E-04  2.50808E-04  2.45904E-04  2.40789E-04  2.35430E-04  2.29784E-04  2.23793E-04  2.17379E-04  2.10428E-04  2.02766E-04  1.94099E-04  1.86674E-04  1.81561E-04  1.76449E-04  1.71336E-04  1.66223E-04  1.77131E-04  2.02103E-04  2.25188E-04  2.46896E-04  2.67538E-04  2.87318E-04  3.06382E-04  3.24837E-04  3.42765E-04  3.60231E-04  3.77287E-04  3.93976E-04  4.10334E-04  4.26393E-04  4.42178E-04  4.57714E-04  4.73020E-04  4.88117E-04  5.03021E-04  5.17749E-04  5.32315E-04  5.46736E-04  5.61025E-04  5.75196E-04  5.89265E-04  6.03245E-04  6.17153E-04  6.31005E-04  6.44818E-04  6.58611E-04  6.72405E-04  6.86222E-04  7.00088E-04  7.14030E-04  7.28083E-04  7.42281E-04  7.56667E-04  7.71288E-04  7.86200E-04  8.01466E-04  8.17159E-04  8.33366E-04  8.50184E-04  8.67728E-04  8.86130E-04  9.05546E-04  9.26153E-04  9.48159E-04
  1.79010E-02  1.23019E-03  1.22188E-03  1.21351E-03  1.20509E-03  1.19661E-03  1.18807E-03  1.17947E-03  1.17080E-03  1.16206E-03  1.15325E-03  1.14436E-03  1.13540E-03  1.12635E-03  1.11722E-03  1.10799E-03  1.09868E-03  1.08926E-03  1.07974E-03  1.07011E-03  1.06036E-03  1.05050E-03  1.04050E-03  1.03037E-03  1.02009E-03  1.00966E-03  9.99070E-04  9.88304E-04  9.77353E-04  9.66202E-04  9.54838E-04  9.43243E-04  9.31400E-04  9.19287E-04  9.06880E-04  8.94151E-04  8.81069E-04  8.67594E-04  8.53684E-04  8.39285E-04  8.24332E-04  8.08745E-04  7.92425E-04  7.75241E-04  7.57023E-04  7.37535E-04  7.16439E-04  6.93212E-04  6.66974E-04  6.44302E-04  6.28402E-04  6.12503E-04  5.96603E-04  5.80704E-04  6.09188E-04  6.77004E-04  7.39918E-04  7.99236E-04  8.55758E-04  9.10014E-04  9.62383E-04  1.01314E-03  1.06251E-03  1.11065E-03  1.15771E-03  1.20379E-03  1.24901E-03  1.29343E-03  1.33713E-03  1.38017E-03  1.42262E-03  1.46452E-03  1.50592E-03  1.54687E-03  1.58742E-03  1.62760E-03  1.66746E-03  1.70704E-03  1.74639E-03  1.78554E-03  1.82454E-03  1.86343E-03  1.90228E-03  1.94111E-03  1.98000E-03  2.01900E-03  2.05816E-03  2.09756E-03  2.13726E-03  2.17734E-03  2.21788E-03  2.25896E-03  2.30069E-03  2.34315E-03  2.38647E-03  2.43074E-03  2.47611E-03  2.52270E-03  2.57066E-03  2.62014E-03  2.67130E-03  2.72433E-03
  2.25360E-02  3.87037E-03  3.84631E-03  3.82207E-03  3.79766E-03  3.77307E-03  3.74829E-03  3.72332E-03  3.69814E-03  3.67274E-03  3.64713E-03  3.62129E-03  3.59520E-03  3.56886E-03  3.54227E-03  3.51539E-03  3.48823E-03  3.46077E-03  3.43299E-03  3.40489E-03  3.37643E-03  3.34760E-03  3.31838E-03  3.28876E-03  3.25870E-03  3.22818E-03  3.19717E-03  3.16564E-03  3.13355E-03  3.10087E-03  3.06754E-03  3.03354E-03  2.99879E-03  2.96323E-03  2.92680E-03  2.88941E-03  2.85098E-03  2.81138E-03  2.77048E-03  2.72814E-03  2.68416E-03  2.63831E-03  2.59029E-03  2.53972E-03  2.48610E-03  2.42873E-03  2.36663E-03  2.29825E-03  2.22101E-03  2.16685E-03  2.14519E-03  2.12354E-03  2.10188E-03  2.08023E-03  2.16350E-03  2.33978E-03  2.50436E-03  2.66029E-03  2.80946E-03  2.95312E-03  3.09218E-03  3.22732E-03  3.35905E-03  3.48780E-03  3.61392E-03  3.73769E-03  3.85935E-03  3.97912E-03  4.09719E-03  4.21373E-03  4.32888E-03  4.44278E-03  4.55557E-03  4.66736E-03  4.77828E-03  4.88842E-03  4.99789E-03  5.10680E-03  5.21525E-03  5.32333E-03  5.43114E-03  5.53877E-03  5.64633E-03  5.75391E-03  5.86160E-03  5.96950E-03  6.07771E-03  6.18633E-03  6.29546E-03  6.40520E-03  6.51565E-03  6.62693E-03  6.73913E-03  6.85237E-03  6.96677E-03  7.08243E-03  7.19947E-03  7.31802E-03  7.43819E-03  7.56011E-03  7.68390E-03  7.80971E-03
  2.83710E-02  1.19394E-02  1.18730E-02  1.18060E-02  1.17385E-02  1.16704E-02  1.16018E-02  1.15325E-02  1.14626E-02  1.13921E-02  1.13208E-02  1.12489E-02  1.11762E-02  1.11028E-02  1.10285E-02  1.09534E-02  1.08775E-02  1.08006E-02  1.07227E-02  1.06438E-02  1.05639E-02  1.04828E-02  1.04006E-02  1.03171E-02  1.02323E-02  1.01461E-02  1.00584E-02  9.96911E-03  9.87814E-03  9.78536E-03  9.69065E-03  9.59385E-03  9.49480E-03  9.39331E-03  9.28917E-03  9.18213E-03  9.07190E-03  8.95815E-03  8.84048E-03  8.71842E-03  8.59139E-03  8.45867E-03  8.31937E-03  8.17234E-03  8.01603E-03  7.84835E-03  7.66624E-03  7.46502E-03  7.23680E-03  7.09317E-03  7.06295E-03  7.03272E-03  7.00249E-03  6.97227E-03  7.19218E-03  7.63620E-03  8.05447E-03  8.45358E-03  8.83762E-03  9.20941E-03  9.57095E-03  9.92379E-03  1.02691E-02  1.06079E-02  1.09408E-02  1.12687E-02  1.15920E-02  1.19112E-02  1.22267E-02  1.25389E-02  1.28482E-02  1.31548E-02  1.34590E-02  1.37610E-02  1.40610E-02  1.43593E-02  1.46560E-02  1.49514E-02  1.52455E-02  1.55385E-02  1.58306E-02  1.61219E-02  1.64125E-02  1.67026E-02  1.69923E-02  1.72816E-02  1.75707E-02  1.78597E-02  1.81487E-02  1.84378E-02  1.87270E-02  1.90165E-02  1.93063E-02  1.95966E-02  1.98873E-02  2.01787E-02  2.04707E-02  2.07634E-02  2.10570E-02  2.13514E-02  2.16468E-02  2.19432E-02
  3.57170E-02  3.35084E-02  3.33448E-02  3.31796E-02  3.30127E-02  3.28441E-02  3.26737E-02  3.25014E-02  3.23272E-02  3.21510E-02  3.19727E-02  3.17923E-02  3.16097E-02  3.14247E-02  3.12374E-02  3.10475E-02  3.08550E-02  3.06598E-02  3.04618E-02  3.02607E-02  3.00565E-02  2.98490E-02  2.96381E-02  2.94235E-02  2.92050E-02  2.89825E-02  2.87557E-02  2.85243E-02  2.82880E-02  2.80465E-02  2.77995E-02  2.75464E-02  2.72869E-02  2.70205E-02  2.67464E-02  2.64641E-02  2.61727E-02  2.58713E-02  2.55587E-02  2.52337E-02  2.48945E-02  2.45392E-02  2.41652E-02  2.37692E-02  2.33469E-02  2.28923E-02  2.23966E-02  2.18464E-02  2.12191E-02  2.08325E-02  2.07692E-02  2.07059E-02  2.06426E-02  2.05793E-02  2.10778E-02  2.20915E-02  2.30588E-02  2.39913E-02  2.48960E-02  2.57779E-02  2.66407E-02  2.74869E-02  2.83188E-02  2.91380E-02  2.99458E-02  3.07434E-02  3.15318E-02  3.23117E-02  3.30839E-02  3.38489E-02  3.46074E-02  3.53597E-02  3.61064E-02  3.68477E-02  3.75840E-02  3.83156E-02  3.90428E-02  3.97658E-02  4.04849E-02  4.12002E-02  4.19121E-02  4.26205E-02  4.33258E-02  4.40280E-02  4.47273E-02  4.54239E-02  4.61178E-02  4.68092E-02  4.74982E-02  4.81848E-02  4.88692E-02  4.95515E-02  5.02318E-02  5.09101E-02  5.15864E-02  5.22610E-02  5.29338E-02  5.36049E-02  5.42744E-02  5.49423E-02  5.56087E-02  5.62737E-02
  4.49650E-02  6.82324E-02  6.79238E-02  6.76119E-02  6.72965E-02  6.69775E-02  6.66548E-02  6.63283E-02  6.59978E-02  6.56632E-02  6.53243E-02  6.49810E-02  6.46332E-02  6.42805E-02  6.39228E-02  6.35600E-02  6.31918E-02  6.28179E-02  6.24381E-02  6.20522E-02  6.16597E-02  6.12605E-02  6.08541E-02  6.04402E-02  6.00183E-02  5.95880E-02  5.91489E-02  5.87002E-02  5.82414E-02  5.77719E-02  5.72909E-02  5.67975E-02  5.62907E-02  5.57696E-02  5.52327E-02  5.46786E-02  5.41058E-02  5.35121E-02  5.28954E-02  5.22527E-02  5.15807E-02  5.08752E-02  5.01308E-02  4.93407E-02  4.84957E-02  4.75832E-02  4.65848E-02  4.54724E-02  4.41978E-02  4.34078E-02  4.32764E-02  4.31451E-02  4.30137E-02  4.28823E-02  4.36803E-02  4.53511E-02  4.69641E-02  4.85325E-02  5.00649E-02  5.15670E-02  5.30432E-02  5.44967E-02  5.59302E-02  5.73456E-02  5.87448E-02  6.01291E-02  6.14998E-02  6.28578E-02  6.42041E-02  6.55395E-02  6.68647E-02  6.81802E-02  6.94866E-02  7.07844E-02  7.20741E-02  7.33561E-02  7.46307E-02  7.58982E-02  7.71590E-02  7.84134E-02  7.96616E-02  8.09038E-02  8.21403E-02  8.33713E-02  8.45970E-02  8.58176E-02  8.70333E-02  8.82441E-02  8.94503E-02  9.06520E-02  9.18493E-02  9.30424E-02  9.42314E-02  9.54164E-02  9.65975E-02  9.77748E-02  9.89484E-02  1.00118E-01  1.01285E-01  1.02448E-01  1.03608E-01  1.04764E-01
  5.66070E-02  8.05382E-02  8.00684E-02  7.95947E-02  7.91169E-02  7.86350E-02  7.81488E-02  7.76581E-02  7.71629E-02  7.66630E-02  7.61582E-02  7.56484E-02  7.51333E-02  7.46128E-02  7.40868E-02  7.35549E-02  7.30169E-02  7.24727E-02  7.19218E-02  7.13642E-02  7.07993E-02  7.02270E-02  6.96469E-02  6.90586E-02  6.84616E-02  6.78556E-02  6.72399E-02  6.66142E-02  6.59777E-02  6.53298E-02  6.46698E-02  6.39968E-02  6.33100E-02  6.26083E-02  6.18904E-02  6.11552E-02  6.04009E-02  5.96258E-02  5.88277E-02  5.80042E-02  5.71521E-02  5.62678E-02  5.53465E-02  5.43823E-02  5.33675E-02  5.22914E-02  5.11390E-02  4.98876E-02  4.84997E-02  4.80061E-02  4.85489E-02  4.90918E-02  4.96346E-02  5.01775E-02  5.12422E-02  5.27900E-02  5.42989E-02  5.57784E-02  5.72346E-02  5.86715E-02  6.00921E-02  6.14986E-02  6.28928E-02  6.42759E-02  6.56492E-02  6.70136E-02  6.83698E-02  6.97185E-02  7.10604E-02  7.23958E-02  7.37253E-02  7.50492E-02  7.63679E-02  7.76817E-02  7.89908E-02  8.02955E-02  8.15961E-02  8.28927E-02  8.41855E-02  8.54748E-02  8.67606E-02  8.80431E-02  8.93224E-02  9.05987E-02  9.18722E-02  9.31428E-02  9.44107E-02  9.56760E-02  9.69388E-02  9.81992E-02  9.94572E-02  1.00713E-01  1.01966E-01  1.03218E-01  1.04467E-01  1.05715E-01  1.06960E-01  1.08203E-01  1.09445E-01  1.10685E-01  1.11923E-01  1.13159E-01
  7.12640E-02  6.32805E-02  6.28520E-02  6.24207E-02  6.19865E-02  6.15494E-02  6.11091E-02  6.06657E-02  6.02191E-02  5.97691E-02  5.93156E-02  5.88586E-02  5.83979E-02  5.79333E-02  5.74649E-02  5.69923E-02  5.65155E-02  5.60342E-02  5.55484E-02  5.50579E-02  5.45623E-02  5.40616E-02  5.35555E-02  5.30437E-02  5.25260E-02  5.20021E-02  5.14716E-02  5.09342E-02  5.03896E-02  4.98372E-02  4.92767E-02  4.87075E-02  4.81291E-02  4.75406E-02  4.69416E-02  4.63310E-02  4.57079E-02  4.50712E-02  4.44196E-02  4.37516E-02  4.30652E-02  4.23583E-02  4.16279E-02  4.08707E-02  4.00820E-02  3.92555E-02  3.83827E-02  3.74506E-02  3.64380E-02  3.62504E-02  3.69698E-02  3.76893E-02  3.84087E-02  3.91282E-02  3.99755E-02  4.09345E-02  4.18791E-02  4.28142E-02  4.37426E-02  4.46663E-02  4.55866E-02  4.65043E-02  4.74201E-02  4.83346E-02  4.92482E-02  5.01612E-02  5.10738E-02  5.19863E-02  5.28988E-02  5.38115E-02  5.47245E-02  5.56379E-02  5.65519E-02  5.74663E-02  5.83814E-02  5.92972E-02  6.02137E-02  6.11310E-02  6.20491E-02  6.29680E-02  6.38878E-02  6.48084E-02  6.57300E-02  6.66524E-02  6.75758E-02  6.85002E-02  6.94255E-02  7.03517E-02  7.12790E-02  7.22072E-02  7.31364E-02  7.40666E-02  7.49978E-02  7.59300E-02  7.68632E-02  7.77973E-02  7.87325E-02  7.96687E-02  8.06059E-02  8.15441E-02  8.24833E-02  8.34235E-02
