W=  34.0    , r= 11.4 (GV), d=1030.0 (g/cm^2), g=  0.15
            1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32           33           34           35           36           37           38           39           40           41           42           43           44           45           46           47           48           49           50           51           52           53           54           55           56           57           58           59           60           61           62           63           64           65           66           67           68           69           70           71           72           73           74           75           76           77           78           79           80           81           82           83           84           85           86           87           88           89           90           91           92           93           94           95           96           97           98           99          100          101          102
       E(MeV)        -1.00        -0.98        -0.96        -0.94        -0.92        -0.90        -0.88        -0.86        -0.84        -0.82        -0.80        -0.78        -0.76        -0.74        -0.72        -0.70        -0.68        -0.66        -0.64        -0.62        -0.60        -0.58        -0.56        -0.54        -0.52        -0.50        -0.48        -0.46        -0.44        -0.42        -0.40        -0.38        -0.36        -0.34        -0.32        -0.30        -0.28        -0.26        -0.24        -0.22        -0.20        -0.18        -0.16        -0.14        -0.12        -0.10        -0.08        -0.06        -0.04        -0.02        -0.00         0.02         0.04         0.06         0.08         0.10         0.12         0.14         0.16         0.18         0.20         0.22         0.24         0.26         0.28         0.30         0.32         0.34         0.36         0.38         0.40         0.42         0.44         0.46         0.48         0.50         0.52         0.54         0.56         0.58         0.60         0.62         0.64         0.66         0.68         0.70         0.72         0.74         0.76         0.78         0.80         0.82         0.84         0.86         0.88         0.90         0.92         0.94         0.96         0.98         1.00
  1.12940E-02  4.62975E-07  4.59245E-07  4.55507E-07  4.51762E-07  4.48007E-07  4.44245E-07  4.40473E-07  4.36692E-07  4.32902E-07  4.29102E-07  4.25292E-07  4.21471E-07  4.17639E-07  4.13796E-07  4.09942E-07  4.06075E-07  4.02195E-07  3.98302E-07  3.94395E-07  3.90473E-07  3.86537E-07  3.82584E-07  3.78615E-07  3.74628E-07  3.70623E-07  3.66598E-07  3.62552E-07  3.58485E-07  3.54395E-07  3.50280E-07  3.46138E-07  3.41969E-07  3.37770E-07  3.33538E-07  3.29271E-07  3.24965E-07  3.20618E-07  3.16226E-07  3.11782E-07  3.07283E-07  3.02719E-07  2.98084E-07  2.93366E-07  2.88550E-07  2.83619E-07  2.78544E-07  2.73288E-07  2.67787E-07  3.02621E-07  3.78043E-07  4.53464E-07  5.28885E-07  6.04306E-07  6.43379E-07  6.45713E-07  6.47694E-07  6.49433E-07  6.50995E-07  6.52421E-07  6.53736E-07  6.54963E-07  6.56114E-07  6.57201E-07  6.58232E-07  6.59216E-07  6.60156E-07  6.61058E-07  6.61926E-07  6.62764E-07  6.63573E-07  6.64356E-07  6.65116E-07  6.65854E-07  6.66572E-07  6.67272E-07  6.67954E-07  6.68620E-07  6.69270E-07  6.69907E-07  6.70530E-07  6.71140E-07  6.71738E-07  6.72325E-07  6.72901E-07  6.73467E-07  6.74023E-07  6.74570E-07  6.75108E-07  6.75638E-07  6.76160E-07  6.76674E-07  6.77180E-07  6.77679E-07  6.78172E-07  6.78658E-07  6.79137E-07  6.79611E-07  6.80078E-07  6.80540E-07  6.80997E-07  6.81448E-07
  1.42190E-02  5.50239E-07  5.45806E-07  5.41364E-07  5.36912E-07  5.32450E-07  5.27978E-07  5.23495E-07  5.19002E-07  5.14497E-07  5.09981E-07  5.05453E-07  5.00912E-07  4.96358E-07  4.91791E-07  4.87209E-07  4.82613E-07  4.78002E-07  4.73376E-07  4.68732E-07  4.64072E-07  4.59393E-07  4.54695E-07  4.49978E-07  4.45239E-07  4.40479E-07  4.35696E-07  4.30888E-07  4.26054E-07  4.21193E-07  4.16302E-07  4.11380E-07  4.06425E-07  4.01434E-07  3.96404E-07  3.91333E-07  3.86216E-07  3.81050E-07  3.75829E-07  3.70548E-07  3.65200E-07  3.59777E-07  3.54268E-07  3.48661E-07  3.42938E-07  3.37076E-07  3.31046E-07  3.24799E-07  3.18260E-07  3.59661E-07  4.49298E-07  5.38934E-07  6.28571E-07  7.18208E-07  7.64646E-07  7.67420E-07  7.69774E-07  7.71841E-07  7.73698E-07  7.75392E-07  7.76955E-07  7.78413E-07  7.79781E-07  7.81073E-07  7.82299E-07  7.83467E-07  7.84585E-07  7.85657E-07  7.86689E-07  7.87684E-07  7.88646E-07  7.89577E-07  7.90480E-07  7.91357E-07  7.92211E-07  7.93042E-07  7.93853E-07  7.94644E-07  7.95417E-07  7.96174E-07  7.96914E-07  7.97639E-07  7.98350E-07  7.99048E-07  7.99732E-07  8.00405E-07  8.01066E-07  8.01716E-07  8.02356E-07  8.02985E-07  8.03605E-07  8.04216E-07  8.04818E-07  8.05411E-07  8.05997E-07  8.06574E-07  8.07144E-07  8.07707E-07  8.08263E-07  8.08812E-07  8.09354E-07  8.09890E-07
  1.79010E-02  6.53357E-07  6.48093E-07  6.42818E-07  6.37531E-07  6.32233E-07  6.26923E-07  6.21601E-07  6.16265E-07  6.10916E-07  6.05554E-07  6.00177E-07  5.94785E-07  5.89378E-07  5.83955E-07  5.78515E-07  5.73058E-07  5.67582E-07  5.62089E-07  5.56575E-07  5.51041E-07  5.45485E-07  5.39907E-07  5.34306E-07  5.28680E-07  5.23027E-07  5.17347E-07  5.11638E-07  5.05899E-07  5.00126E-07  4.94319E-07  4.88475E-07  4.82591E-07  4.76665E-07  4.70692E-07  4.64671E-07  4.58595E-07  4.52461E-07  4.46261E-07  4.39991E-07  4.33641E-07  4.27201E-07  4.20660E-07  4.14002E-07  4.07206E-07  4.00246E-07  3.93085E-07  3.85668E-07  3.77904E-07  4.27063E-07  5.33498E-07  6.39933E-07  7.46369E-07  8.52804E-07  9.07944E-07  9.11238E-07  9.14034E-07  9.16488E-07  9.18693E-07  9.20704E-07  9.22561E-07  9.24291E-07  9.25916E-07  9.27450E-07  9.28906E-07  9.30293E-07  9.31620E-07  9.32894E-07  9.34119E-07  9.35300E-07  9.36442E-07  9.37548E-07  9.38620E-07  9.39662E-07  9.40675E-07  9.41662E-07  9.42625E-07  9.43564E-07  9.44482E-07  9.45380E-07  9.46260E-07  9.47121E-07  9.47965E-07  9.48793E-07  9.49606E-07  9.50405E-07  9.51190E-07  9.51962E-07  9.52721E-07  9.53469E-07  9.54205E-07  9.54930E-07  9.55645E-07  9.56349E-07  9.57044E-07  9.57730E-07  9.58407E-07  9.59075E-07  9.59735E-07  9.60387E-07  9.61031E-07  9.61668E-07
  2.25360E-02  7.74883E-07  7.68640E-07  7.62384E-07  7.56114E-07  7.49831E-07  7.43533E-07  7.37220E-07  7.30893E-07  7.24549E-07  7.18189E-07  7.11812E-07  7.05417E-07  6.99004E-07  6.92572E-07  6.86120E-07  6.79648E-07  6.73155E-07  6.66639E-07  6.60100E-07  6.53536E-07  6.46947E-07  6.40332E-07  6.33688E-07  6.27016E-07  6.20312E-07  6.13575E-07  6.06805E-07  5.99997E-07  5.93151E-07  5.86264E-07  5.79333E-07  5.72354E-07  5.65326E-07  5.58243E-07  5.51101E-07  5.43895E-07  5.36620E-07  5.29268E-07  5.21831E-07  5.14299E-07  5.06662E-07  4.98904E-07  4.91007E-07  4.82947E-07  4.74693E-07  4.66200E-07  4.57403E-07  4.48195E-07  5.06498E-07  6.32731E-07  7.58963E-07  8.85195E-07  1.01143E-06  1.07682E-06  1.08073E-06  1.08405E-06  1.08696E-06  1.08957E-06  1.09196E-06  1.09416E-06  1.09621E-06  1.09814E-06  1.09996E-06  1.10168E-06  1.10333E-06  1.10490E-06  1.10641E-06  1.10787E-06  1.10927E-06  1.11062E-06  1.11193E-06  1.11321E-06  1.11444E-06  1.11564E-06  1.11681E-06  1.11796E-06  1.11907E-06  1.12016E-06  1.12122E-06  1.12227E-06  1.12329E-06  1.12429E-06  1.12527E-06  1.12624E-06  1.12718E-06  1.12811E-06  1.12903E-06  1.12993E-06  1.13082E-06  1.13169E-06  1.13255E-06  1.13340E-06  1.13423E-06  1.13506E-06  1.13587E-06  1.13667E-06  1.13747E-06  1.13825E-06  1.13902E-06  1.13979E-06  1.14054E-06
  2.83710E-02  9.17604E-07  9.10211E-07  9.02803E-07  8.95378E-07  8.87937E-07  8.80480E-07  8.73004E-07  8.65511E-07  8.57999E-07  8.50467E-07  8.42916E-07  8.35343E-07  8.27749E-07  8.20132E-07  8.12493E-07  8.04828E-07  7.97139E-07  7.89423E-07  7.81679E-07  7.73907E-07  7.66105E-07  7.58271E-07  7.50404E-07  7.42502E-07  7.34563E-07  7.26586E-07  7.18568E-07  7.10507E-07  7.02400E-07  6.94244E-07  6.86036E-07  6.77773E-07  6.69450E-07  6.61062E-07  6.52605E-07  6.44072E-07  6.35456E-07  6.26750E-07  6.17943E-07  6.09025E-07  5.99981E-07  5.90794E-07  5.81443E-07  5.71898E-07  5.62124E-07  5.52067E-07  5.41649E-07  5.30745E-07  5.99787E-07  7.49269E-07  8.98752E-07  1.04823E-06  1.19772E-06  1.27516E-06  1.27978E-06  1.28371E-06  1.28716E-06  1.29025E-06  1.29308E-06  1.29569E-06  1.29812E-06  1.30040E-06  1.30255E-06  1.30460E-06  1.30655E-06  1.30841E-06  1.31020E-06  1.31192E-06  1.31358E-06  1.31518E-06  1.31673E-06  1.31824E-06  1.31970E-06  1.32113E-06  1.32251E-06  1.32387E-06  1.32518E-06  1.32647E-06  1.32774E-06  1.32897E-06  1.33018E-06  1.33137E-06  1.33253E-06  1.33367E-06  1.33479E-06  1.33589E-06  1.33698E-06  1.33805E-06  1.33909E-06  1.34013E-06  1.34115E-06  1.34215E-06  1.34314E-06  1.34412E-06  1.34508E-06  1.34603E-06  1.34697E-06  1.34790E-06  1.34881E-06  1.34972E-06  1.35061E-06
  3.57170E-02  1.08444E-06  1.07570E-06  1.06695E-06  1.05817E-06  1.04938E-06  1.04056E-06  1.03173E-06  1.02287E-06  1.01400E-06  1.00510E-06  9.96170E-07  9.87221E-07  9.78246E-07  9.69245E-07  9.60216E-07  9.51158E-07  9.42070E-07  9.32952E-07  9.23800E-07  9.14615E-07  9.05394E-07  8.96136E-07  8.86838E-07  8.77500E-07  8.68118E-07  8.58690E-07  8.49215E-07  8.39688E-07  8.30107E-07  8.20468E-07  8.10768E-07  8.01002E-07  7.91166E-07  7.81253E-07  7.71258E-07  7.61174E-07  7.50992E-07  7.40703E-07  7.30295E-07  7.19755E-07  7.09067E-07  6.98209E-07  6.87158E-07  6.75878E-07  6.64327E-07  6.52441E-07  6.40129E-07  6.27242E-07  7.08837E-07  8.85498E-07  1.06216E-06  1.23882E-06  1.41548E-06  1.50700E-06  1.51247E-06  1.51711E-06  1.52118E-06  1.52484E-06  1.52818E-06  1.53126E-06  1.53413E-06  1.53683E-06  1.53938E-06  1.54179E-06  1.54410E-06  1.54630E-06  1.54841E-06  1.55045E-06  1.55241E-06  1.55430E-06  1.55614E-06  1.55792E-06  1.55965E-06  1.56133E-06  1.56297E-06  1.56456E-06  1.56612E-06  1.56765E-06  1.56914E-06  1.57060E-06  1.57203E-06  1.57343E-06  1.57480E-06  1.57615E-06  1.57748E-06  1.57878E-06  1.58006E-06  1.58132E-06  1.58256E-06  1.58378E-06  1.58499E-06  1.58617E-06  1.58734E-06  1.58850E-06  1.58964E-06  1.59076E-06  1.59187E-06  1.59296E-06  1.59405E-06  1.59511E-06  1.59617E-06
  4.49650E-02  1.27825E-06  1.26796E-06  1.25764E-06  1.24729E-06  1.23693E-06  1.22654E-06  1.21613E-06  1.20569E-06  1.19522E-06  1.18473E-06  1.17421E-06  1.16366E-06  1.15308E-06  1.14247E-06  1.13183E-06  1.12115E-06  1.11044E-06  1.09969E-06  1.08891E-06  1.07808E-06  1.06721E-06  1.05630E-06  1.04534E-06  1.03433E-06  1.02327E-06  1.01216E-06  1.00099E-06  9.89761E-07  9.78467E-07  9.67106E-07  9.55672E-07  9.44161E-07  9.32566E-07  9.20882E-07  9.09101E-07  8.97214E-07  8.85212E-07  8.73084E-07  8.60816E-07  8.48393E-07  8.35794E-07  8.22996E-07  8.09970E-07  7.96674E-07  7.83058E-07  7.69048E-07  7.54536E-07  7.39346E-07  8.35524E-07  1.04376E-06  1.25199E-06  1.46023E-06  1.66846E-06  1.77634E-06  1.78278E-06  1.78825E-06  1.79306E-06  1.79737E-06  1.80130E-06  1.80494E-06  1.80832E-06  1.81150E-06  1.81450E-06  1.81735E-06  1.82006E-06  1.82266E-06  1.82515E-06  1.82755E-06  1.82986E-06  1.83209E-06  1.83426E-06  1.83635E-06  1.83839E-06  1.84038E-06  1.84231E-06  1.84419E-06  1.84603E-06  1.84782E-06  1.84958E-06  1.85130E-06  1.85299E-06  1.85464E-06  1.85626E-06  1.85785E-06  1.85941E-06  1.86095E-06  1.86246E-06  1.86394E-06  1.86541E-06  1.86685E-06  1.86826E-06  1.86966E-06  1.87104E-06  1.87240E-06  1.87374E-06  1.87507E-06  1.87637E-06  1.87767E-06  1.87894E-06  1.88020E-06  1.88145E-06
  5.66070E-02  1.50159E-06  1.48949E-06  1.47737E-06  1.46522E-06  1.45305E-06  1.44084E-06  1.42861E-06  1.41635E-06  1.40405E-06  1.39173E-06  1.37937E-06  1.36698E-06  1.35455E-06  1.34209E-06  1.32959E-06  1.31704E-06  1.30446E-06  1.29183E-06  1.27916E-06  1.26644E-06  1.25367E-06  1.24085E-06  1.22798E-06  1.21505E-06  1.20206E-06  1.18901E-06  1.17588E-06  1.16269E-06  1.14943E-06  1.13608E-06  1.12265E-06  1.10913E-06  1.09551E-06  1.08178E-06  1.06794E-06  1.05398E-06  1.03988E-06  1.02563E-06  1.01122E-06  9.96625E-07  9.81825E-07  9.66792E-07  9.51489E-07  9.35870E-07  9.19875E-07  9.03417E-07  8.86369E-07  8.68526E-07  9.81508E-07  1.22612E-06  1.47074E-06  1.71536E-06  1.95998E-06  2.08670E-06  2.09427E-06  2.10070E-06  2.10634E-06  2.11141E-06  2.11603E-06  2.12030E-06  2.12427E-06  2.12801E-06  2.13153E-06  2.13488E-06  2.13807E-06  2.14112E-06  2.14404E-06  2.14686E-06  2.14958E-06  2.15220E-06  2.15474E-06  2.15721E-06  2.15960E-06  2.16193E-06  2.16420E-06  2.16641E-06  2.16857E-06  2.17068E-06  2.17274E-06  2.17476E-06  2.17674E-06  2.17868E-06  2.18059E-06  2.18245E-06  2.18429E-06  2.18609E-06  2.18787E-06  2.18961E-06  2.19133E-06  2.19302E-06  2.19469E-06  2.19633E-06  2.19795E-06  2.19955E-06  2.20113E-06  2.20268E-06  2.20422E-06  2.20573E-06  2.20723E-06  2.20871E-06  2.21018E-06
  7.12640E-02  1.75626E-06  1.74212E-06  1.72794E-06  1.71373E-06  1.69948E-06  1.68521E-06  1.67090E-06  1.65656E-06  1.64218E-06  1.62777E-06  1.61331E-06  1.59882E-06  1.58429E-06  1.56971E-06  1.55509E-06  1.54042E-06  1.52570E-06  1.51093E-06  1.49611E-06  1.48123E-06  1.46630E-06  1.45131E-06  1.43625E-06  1.42112E-06  1.40593E-06  1.39066E-06  1.37532E-06  1.35989E-06  1.34437E-06  1.32876E-06  1.31305E-06  1.29724E-06  1.28131E-06  1.26525E-06  1.24906E-06  1.23273E-06  1.21624E-06  1.19958E-06  1.18272E-06  1.16565E-06  1.14834E-06  1.13076E-06  1.11286E-06  1.09460E-06  1.07589E-06  1.05664E-06  1.03670E-06  1.01583E-06  1.14797E-06  1.43408E-06  1.72018E-06  2.00629E-06  2.29239E-06  2.44061E-06  2.44947E-06  2.45698E-06  2.46358E-06  2.46951E-06  2.47491E-06  2.47990E-06  2.48455E-06  2.48892E-06  2.49304E-06  2.49696E-06  2.50069E-06  2.50426E-06  2.50768E-06  2.51097E-06  2.51415E-06  2.51722E-06  2.52019E-06  2.52307E-06  2.52587E-06  2.52860E-06  2.53125E-06  2.53384E-06  2.53636E-06  2.53883E-06  2.54124E-06  2.54361E-06  2.54592E-06  2.54819E-06  2.55042E-06  2.55260E-06  2.55475E-06  2.55686E-06  2.55893E-06  2.56098E-06  2.56299E-06  2.56496E-06  2.56691E-06  2.56883E-06  2.57073E-06  2.57260E-06  2.57444E-06  2.57626E-06  2.57806E-06  2.57983E-06  2.58158E-06  2.58331E-06  2.58503E-06
