W=  34.0    , r= 11.4 (GV), d=1030.0 (g/cm^2), g=  0.15
            1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32           33           34           35           36           37           38           39           40           41           42           43           44           45           46           47           48           49           50           51           52           53           54           55           56           57           58           59           60           61           62           63           64           65           66           67           68           69           70           71           72           73           74           75           76           77           78           79           80           81           82           83           84           85           86           87           88           89           90           91           92           93           94           95           96           97           98           99          100          101          102
       E(MeV)        -1.00        -0.98        -0.96        -0.94        -0.92        -0.90        -0.88        -0.86        -0.84        -0.82        -0.80        -0.78        -0.76        -0.74        -0.72        -0.70        -0.68        -0.66        -0.64        -0.62        -0.60        -0.58        -0.56        -0.54        -0.52        -0.50        -0.48        -0.46        -0.44        -0.42        -0.40        -0.38        -0.36        -0.34        -0.32        -0.30        -0.28        -0.26        -0.24        -0.22        -0.20        -0.18        -0.16        -0.14        -0.12        -0.10        -0.08        -0.06        -0.04        -0.02        -0.00         0.02         0.04         0.06         0.08         0.10         0.12         0.14         0.16         0.18         0.20         0.22         0.24         0.26         0.28         0.30         0.32         0.34         0.36         0.38         0.40         0.42         0.44         0.46         0.48         0.50         0.52         0.54         0.56         0.58         0.60         0.62         0.64         0.66         0.68         0.70         0.72         0.74         0.76         0.78         0.80         0.82         0.84         0.86         0.88         0.90         0.92         0.94         0.96         0.98         1.00
  1.12940E-02  9.76506E-09  9.71740E-09  9.66978E-09  9.62221E-09  9.57469E-09  9.52722E-09  9.47980E-09  9.43243E-09  9.38512E-09  9.33785E-09  9.29064E-09  9.24349E-09  9.19639E-09  9.14936E-09  9.10238E-09  9.05546E-09  9.00861E-09  8.96182E-09  8.91510E-09  8.86845E-09  8.82187E-09  8.77536E-09  8.72892E-09  8.68257E-09  8.63629E-09  8.59010E-09  8.54399E-09  8.49797E-09  8.45204E-09  8.40621E-09  8.36048E-09  8.31485E-09  8.26934E-09  8.22394E-09  8.17866E-09  8.13351E-09  8.08849E-09  8.04362E-09  7.99891E-09  7.95436E-09  7.90999E-09  7.86582E-09  7.82186E-09  7.77814E-09  7.73468E-09  7.69154E-09  7.64876E-09  7.60642E-09  7.47962E-09  7.26795E-09  7.05629E-09  6.84463E-09  6.63296E-09  6.97175E-09  7.80481E-09  8.58255E-09  9.31918E-09  1.00235E-08  1.07014E-08  1.13572E-08  1.19940E-08  1.26143E-08  1.32199E-08  1.38125E-08  1.43934E-08  1.49636E-08  1.55241E-08  1.60756E-08  1.66188E-08  1.71543E-08  1.76827E-08  1.82043E-08  1.87197E-08  1.92292E-08  1.97330E-08  2.02316E-08  2.07251E-08  2.12139E-08  2.16982E-08  2.21781E-08  2.26539E-08  2.31257E-08  2.35937E-08  2.40581E-08  2.45190E-08  2.49766E-08  2.54308E-08  2.58820E-08  2.63302E-08  2.67754E-08  2.72178E-08  2.76575E-08  2.80946E-08  2.85291E-08  2.89611E-08  2.93907E-08  2.98180E-08  3.02430E-08  3.06657E-08  3.10864E-08  3.15049E-08
  1.42190E-02  9.16319E-09  9.11846E-09  9.07378E-09  9.02914E-09  8.98455E-09  8.94001E-09  8.89551E-09  8.85106E-09  8.80666E-09  8.76231E-09  8.71801E-09  8.67376E-09  8.62957E-09  8.58543E-09  8.54135E-09  8.49733E-09  8.45336E-09  8.40946E-09  8.36562E-09  8.32184E-09  8.27813E-09  8.23449E-09  8.19091E-09  8.14741E-09  8.10399E-09  8.06064E-09  8.01738E-09  7.97419E-09  7.93110E-09  7.88809E-09  7.84518E-09  7.80236E-09  7.75965E-09  7.71705E-09  7.67456E-09  7.63220E-09  7.58996E-09  7.54785E-09  7.50589E-09  7.46409E-09  7.42245E-09  7.38100E-09  7.33975E-09  7.29873E-09  7.25795E-09  7.21747E-09  7.17732E-09  7.13759E-09  7.01861E-09  6.81999E-09  6.62137E-09  6.42275E-09  6.22414E-09  6.54204E-09  7.32376E-09  8.05356E-09  8.74479E-09  9.40569E-09  1.00418E-08  1.06572E-08  1.12547E-08  1.18368E-08  1.24051E-08  1.29612E-08  1.35063E-08  1.40413E-08  1.45672E-08  1.50847E-08  1.55945E-08  1.60970E-08  1.65928E-08  1.70823E-08  1.75659E-08  1.80440E-08  1.85168E-08  1.89846E-08  1.94477E-08  1.99064E-08  2.03608E-08  2.08111E-08  2.12576E-08  2.17003E-08  2.21395E-08  2.25753E-08  2.30078E-08  2.34371E-08  2.38634E-08  2.42868E-08  2.47073E-08  2.51251E-08  2.55402E-08  2.59528E-08  2.63630E-08  2.67707E-08  2.71761E-08  2.75792E-08  2.79801E-08  2.83789E-08  2.87756E-08  2.91704E-08  2.95631E-08
  1.79010E-02  8.61241E-09  8.57038E-09  8.52838E-09  8.48643E-09  8.44452E-09  8.40265E-09  8.36083E-09  8.31905E-09  8.27732E-09  8.23563E-09  8.19399E-09  8.15241E-09  8.11087E-09  8.06939E-09  8.02795E-09  7.98658E-09  7.94525E-09  7.90399E-09  7.86278E-09  7.82164E-09  7.78055E-09  7.73953E-09  7.69858E-09  7.65770E-09  7.61688E-09  7.57614E-09  7.53547E-09  7.49489E-09  7.45438E-09  7.41396E-09  7.37363E-09  7.33339E-09  7.29324E-09  7.25320E-09  7.21327E-09  7.17345E-09  7.13374E-09  7.09417E-09  7.05473E-09  7.01544E-09  6.97631E-09  6.93735E-09  6.89858E-09  6.86002E-09  6.82170E-09  6.78365E-09  6.74592E-09  6.70857E-09  6.59674E-09  6.41006E-09  6.22338E-09  6.03670E-09  5.85002E-09  6.14882E-09  6.88355E-09  7.56949E-09  8.21917E-09  8.84034E-09  9.43825E-09  1.00166E-08  1.05783E-08  1.11253E-08  1.16595E-08  1.21821E-08  1.26944E-08  1.31973E-08  1.36916E-08  1.41780E-08  1.46571E-08  1.51295E-08  1.55954E-08  1.60555E-08  1.65101E-08  1.69594E-08  1.74038E-08  1.78435E-08  1.82788E-08  1.87099E-08  1.91370E-08  1.95602E-08  1.99799E-08  2.03960E-08  2.08088E-08  2.12184E-08  2.16249E-08  2.20284E-08  2.24290E-08  2.28270E-08  2.32222E-08  2.36149E-08  2.40051E-08  2.43929E-08  2.47783E-08  2.51616E-08  2.55426E-08  2.59215E-08  2.62983E-08  2.66731E-08  2.70460E-08  2.74170E-08  2.77861E-08
  2.25360E-02  8.11177E-09  8.07218E-09  8.03262E-09  7.99311E-09  7.95363E-09  7.91420E-09  7.87481E-09  7.83546E-09  7.79615E-09  7.75689E-09  7.71768E-09  7.67851E-09  7.63938E-09  7.60031E-09  7.56129E-09  7.52231E-09  7.48339E-09  7.44453E-09  7.40572E-09  7.36696E-09  7.32827E-09  7.28963E-09  7.25106E-09  7.21255E-09  7.17411E-09  7.13574E-09  7.09743E-09  7.05921E-09  7.02105E-09  6.98298E-09  6.94499E-09  6.90709E-09  6.86928E-09  6.83157E-09  6.79396E-09  6.75645E-09  6.71906E-09  6.68179E-09  6.64464E-09  6.60763E-09  6.57078E-09  6.53408E-09  6.49757E-09  6.46125E-09  6.42515E-09  6.38931E-09  6.35377E-09  6.31860E-09  6.21327E-09  6.03744E-09  5.86161E-09  5.68579E-09  5.50996E-09  5.79139E-09  6.48341E-09  7.12947E-09  7.74138E-09  8.32645E-09  8.88960E-09  9.43435E-09  9.96334E-09  1.04786E-08  1.09817E-08  1.14740E-08  1.19565E-08  1.24302E-08  1.28957E-08  1.33539E-08  1.38051E-08  1.42500E-08  1.46889E-08  1.51222E-08  1.55503E-08  1.59735E-08  1.63921E-08  1.68062E-08  1.72162E-08  1.76223E-08  1.80245E-08  1.84232E-08  1.88184E-08  1.92104E-08  1.95992E-08  1.99849E-08  2.03678E-08  2.07479E-08  2.11252E-08  2.15000E-08  2.18723E-08  2.22421E-08  2.26097E-08  2.29749E-08  2.33380E-08  2.36989E-08  2.40578E-08  2.44147E-08  2.47696E-08  2.51226E-08  2.54738E-08  2.58232E-08  2.61709E-08
  2.83710E-02  7.66088E-09  7.62349E-09  7.58613E-09  7.54881E-09  7.51153E-09  7.47429E-09  7.43709E-09  7.39993E-09  7.36281E-09  7.32573E-09  7.28869E-09  7.25170E-09  7.21475E-09  7.17785E-09  7.14099E-09  7.10419E-09  7.06743E-09  7.03073E-09  6.99407E-09  6.95747E-09  6.92093E-09  6.88444E-09  6.84801E-09  6.81164E-09  6.77534E-09  6.73910E-09  6.70292E-09  6.66682E-09  6.63079E-09  6.59483E-09  6.55896E-09  6.52316E-09  6.48746E-09  6.45184E-09  6.41632E-09  6.38090E-09  6.34558E-09  6.31038E-09  6.27530E-09  6.24035E-09  6.20554E-09  6.17089E-09  6.13640E-09  6.10210E-09  6.06801E-09  6.03416E-09  6.00060E-09  5.96738E-09  5.86791E-09  5.70185E-09  5.53580E-09  5.36974E-09  5.20369E-09  5.46947E-09  6.12303E-09  6.73318E-09  7.31108E-09  7.86363E-09  8.39548E-09  8.90995E-09  9.40953E-09  9.89613E-09  1.03713E-08  1.08362E-08  1.12919E-08  1.17392E-08  1.21789E-08  1.26116E-08  1.30378E-08  1.34579E-08  1.38724E-08  1.42817E-08  1.46860E-08  1.50856E-08  1.54809E-08  1.58721E-08  1.62593E-08  1.66427E-08  1.70226E-08  1.73991E-08  1.77724E-08  1.81426E-08  1.85097E-08  1.88741E-08  1.92357E-08  1.95946E-08  1.99510E-08  2.03049E-08  2.06565E-08  2.10058E-08  2.13529E-08  2.16979E-08  2.20407E-08  2.23816E-08  2.27205E-08  2.30576E-08  2.33928E-08  2.37262E-08  2.40579E-08  2.43879E-08  2.47162E-08
  3.57170E-02  7.26003E-09  7.22459E-09  7.18919E-09  7.15383E-09  7.11850E-09  7.08320E-09  7.04795E-09  7.01273E-09  6.97755E-09  6.94241E-09  6.90731E-09  6.87226E-09  6.83724E-09  6.80227E-09  6.76735E-09  6.73247E-09  6.69763E-09  6.66285E-09  6.62811E-09  6.59343E-09  6.55879E-09  6.52422E-09  6.48969E-09  6.45523E-09  6.42082E-09  6.38648E-09  6.35220E-09  6.31798E-09  6.28384E-09  6.24976E-09  6.21576E-09  6.18184E-09  6.14800E-09  6.11425E-09  6.08059E-09  6.04702E-09  6.01355E-09  5.98019E-09  5.94695E-09  5.91383E-09  5.88084E-09  5.84800E-09  5.81532E-09  5.78281E-09  5.75051E-09  5.71843E-09  5.68662E-09  5.65514E-09  5.56087E-09  5.40350E-09  5.24614E-09  5.08877E-09  4.93141E-09  5.18329E-09  5.80264E-09  6.38087E-09  6.92853E-09  7.45217E-09  7.95619E-09  8.44374E-09  8.91718E-09  9.37832E-09  9.82861E-09  1.02692E-08  1.07011E-08  1.11250E-08  1.15417E-08  1.19517E-08  1.23556E-08  1.27537E-08  1.31465E-08  1.35344E-08  1.39175E-08  1.42963E-08  1.46709E-08  1.50416E-08  1.54085E-08  1.57719E-08  1.61319E-08  1.64887E-08  1.68425E-08  1.71933E-08  1.75412E-08  1.78865E-08  1.82292E-08  1.85693E-08  1.89071E-08  1.92425E-08  1.95757E-08  1.99067E-08  2.02356E-08  2.05625E-08  2.08875E-08  2.12105E-08  2.15317E-08  2.18511E-08  2.21688E-08  2.24847E-08  2.27991E-08  2.31118E-08  2.34230E-08
  4.49650E-02  6.91026E-09  6.87654E-09  6.84284E-09  6.80918E-09  6.77555E-09  6.74196E-09  6.70840E-09  6.67488E-09  6.64140E-09  6.60795E-09  6.57454E-09  6.54118E-09  6.50785E-09  6.47456E-09  6.44132E-09  6.40812E-09  6.37496E-09  6.34185E-09  6.30879E-09  6.27578E-09  6.24281E-09  6.20990E-09  6.17704E-09  6.14424E-09  6.11149E-09  6.07880E-09  6.04617E-09  6.01360E-09  5.98110E-09  5.94867E-09  5.91631E-09  5.88402E-09  5.85181E-09  5.81969E-09  5.78764E-09  5.75569E-09  5.72384E-09  5.69209E-09  5.66044E-09  5.62892E-09  5.59752E-09  5.56626E-09  5.53515E-09  5.50421E-09  5.47347E-09  5.44294E-09  5.41266E-09  5.38270E-09  5.29297E-09  5.14318E-09  4.99340E-09  4.84361E-09  4.69383E-09  4.93357E-09  5.52309E-09  6.07346E-09  6.59474E-09  7.09315E-09  7.57289E-09  8.03695E-09  8.48758E-09  8.92651E-09  9.35510E-09  9.77446E-09  1.01855E-08  1.05890E-08  1.09856E-08  1.13759E-08  1.17603E-08  1.21393E-08  1.25132E-08  1.28823E-08  1.32470E-08  1.36076E-08  1.39641E-08  1.43169E-08  1.46662E-08  1.50121E-08  1.53548E-08  1.56944E-08  1.60311E-08  1.63650E-08  1.66962E-08  1.70248E-08  1.73509E-08  1.76747E-08  1.79962E-08  1.83155E-08  1.86326E-08  1.89477E-08  1.92607E-08  1.95719E-08  1.98812E-08  2.01887E-08  2.04944E-08  2.07984E-08  2.11007E-08  2.14015E-08  2.17007E-08  2.19983E-08  2.22945E-08
  5.66070E-02  6.61344E-09  6.58116E-09  6.54892E-09  6.51670E-09  6.48452E-09  6.45237E-09  6.42025E-09  6.38817E-09  6.35613E-09  6.32412E-09  6.29214E-09  6.26021E-09  6.22831E-09  6.19646E-09  6.16464E-09  6.13287E-09  6.10114E-09  6.06945E-09  6.03781E-09  6.00621E-09  5.97466E-09  5.94316E-09  5.91172E-09  5.88032E-09  5.84898E-09  5.81769E-09  5.78647E-09  5.75530E-09  5.72419E-09  5.69316E-09  5.66218E-09  5.63128E-09  5.60046E-09  5.56971E-09  5.53904E-09  5.50847E-09  5.47798E-09  5.44759E-09  5.41731E-09  5.38714E-09  5.35709E-09  5.32717E-09  5.29740E-09  5.26779E-09  5.23836E-09  5.20914E-09  5.18017E-09  5.15149E-09  5.06562E-09  4.92226E-09  4.77891E-09  4.63556E-09  4.49221E-09  4.72166E-09  5.28585E-09  5.81259E-09  6.31147E-09  6.78847E-09  7.24760E-09  7.69173E-09  8.12301E-09  8.54308E-09  8.95326E-09  9.35462E-09  9.74801E-09  1.01342E-08  1.05138E-08  1.08873E-08  1.12552E-08  1.16179E-08  1.19757E-08  1.23290E-08  1.26780E-08  1.30231E-08  1.33643E-08  1.37020E-08  1.40362E-08  1.43673E-08  1.46952E-08  1.50202E-08  1.53425E-08  1.56620E-08  1.59790E-08  1.62935E-08  1.66057E-08  1.69155E-08  1.72232E-08  1.75287E-08  1.78323E-08  1.81338E-08  1.84334E-08  1.87312E-08  1.90272E-08  1.93215E-08  1.96141E-08  1.99050E-08  2.01944E-08  2.04822E-08  2.07686E-08  2.10534E-08  2.13369E-08
  7.12640E-02  6.37230E-09  6.34120E-09  6.31013E-09  6.27908E-09  6.24807E-09  6.21710E-09  6.18615E-09  6.15524E-09  6.12436E-09  6.09352E-09  6.06271E-09  6.03194E-09  6.00121E-09  5.97052E-09  5.93986E-09  5.90925E-09  5.87867E-09  5.84814E-09  5.81765E-09  5.78721E-09  5.75681E-09  5.72646E-09  5.69616E-09  5.66591E-09  5.63571E-09  5.60556E-09  5.57548E-09  5.54545E-09  5.51547E-09  5.48557E-09  5.45573E-09  5.42595E-09  5.39625E-09  5.36662E-09  5.33708E-09  5.30761E-09  5.27824E-09  5.24896E-09  5.21978E-09  5.19071E-09  5.16175E-09  5.13293E-09  5.10424E-09  5.07571E-09  5.04736E-09  5.01920E-09  4.99128E-09  4.96365E-09  4.88091E-09  4.74279E-09  4.60466E-09  4.46654E-09  4.32841E-09  4.54949E-09  5.09312E-09  5.60064E-09  6.08134E-09  6.54095E-09  6.98334E-09  7.41127E-09  7.82682E-09  8.23158E-09  8.62680E-09  9.01352E-09  9.39257E-09  9.76467E-09  1.01304E-08  1.04903E-08  1.08448E-08  1.11942E-08  1.15390E-08  1.18794E-08  1.22158E-08  1.25482E-08  1.28770E-08  1.32024E-08  1.35244E-08  1.38434E-08  1.41594E-08  1.44726E-08  1.47830E-08  1.50909E-08  1.53964E-08  1.56994E-08  1.60002E-08  1.62987E-08  1.65952E-08  1.68896E-08  1.71820E-08  1.74726E-08  1.77613E-08  1.80482E-08  1.83334E-08  1.86170E-08  1.88989E-08  1.91792E-08  1.94581E-08  1.97354E-08  2.00113E-08  2.02858E-08  2.05589E-08
