d(g/cm2) R(GV)          p1          p2          p3          p4          p5          p6          p7          p8          p9          p*
   0.765   1.0   2.374E-02  -2.447E-02   6.309E-02   1.437E-01   1.867E-02   2.681E-01   1.000E+00   0.000E+00   6.309E-02   2.681E-01
   0.765   3.0   2.529E-02  -2.630E-02   7.483E-02   1.430E-01   2.005E-02   3.130E-01   1.000E+00   0.000E+00   7.483E-02   3.130E-01
   0.765   5.0   2.588E-02  -2.700E-02   7.894E-02   1.438E-01   1.942E-02   3.389E-01   1.000E+00   0.000E+00   7.894E-02   3.389E-01
   0.765   7.0   2.746E-02  -2.881E-02   8.748E-02   1.463E-01   1.649E-02   3.803E-01   1.000E+00   0.000E+00   8.748E-02   3.803E-01
   0.765  10.0   2.954E-02  -3.122E-02   9.754E-02   1.472E-01   1.499E-02   3.757E-01   1.000E+00   0.000E+00   9.754E-02   3.757E-01
   0.765  15.0   3.080E-02  -3.284E-02   1.102E-01   1.475E-01   1.412E-02   3.518E-01   1.000E+00   0.000E+00   1.102E-01   3.518E-01
   0.765  20.0   3.246E-02  -3.497E-02   1.247E-01   1.447E-01   1.602E-02   2.200E-01   1.000E+00   0.000E+00   1.247E-01   2.200E-01
   1.901   1.0   1.719E-03  -3.087E-03   8.448E-02   1.174E-01   5.596E-02   3.459E-01   1.000E+00   0.000E+00   8.448E-02   3.459E-01
   1.901   3.0   2.111E-03  -3.604E-03   8.485E-02   1.178E-01   5.586E-02   3.594E-01   1.000E+00   0.000E+00   8.485E-02   3.594E-01
   1.901   5.0   2.340E-03  -3.917E-03   8.549E-02   1.193E-01   5.392E-02   3.598E-01   1.000E+00   0.000E+00   8.549E-02   3.598E-01
   1.901   7.0   3.057E-03  -4.619E-03   8.938E-02   1.236E-01   4.836E-02   3.683E-01   1.000E+00   0.000E+00   8.938E-02   3.683E-01
   1.901  10.0   3.711E-03  -5.268E-03   7.612E-02   1.265E-01   4.449E-02   3.690E-01   1.000E+00   0.000E+00   7.612E-02   3.690E-01
   1.901  15.0   4.377E-03  -5.923E-03   7.940E-02   1.284E-01   4.172E-02   3.627E-01   1.000E+00   0.000E+00   7.940E-02   3.627E-01
   1.901  20.0   4.029E-03  -6.114E-03   6.185E-02   1.274E-01   4.220E-02   3.352E-01   1.000E+00   0.000E+00   6.185E-02   3.352E-01
   4.091   1.0  -5.507E-04   1.698E-05   6.883E-02   7.167E-02   1.196E-01   3.753E-01   1.000E+00   0.000E+00   6.883E-02   3.753E-01
   4.091   3.0  -5.394E-04   2.902E-05   6.859E-02   7.689E-02   1.130E-01   3.815E-01   1.000E+00   0.000E+00   6.859E-02   3.815E-01
   4.091   5.0  -5.898E-04   9.473E-05   6.613E-02   7.939E-02   1.092E-01   3.770E-01   1.000E+00   0.000E+00   6.613E-02   3.770E-01
   4.091   7.0  -5.267E-04   3.236E-05   5.980E-02   8.458E-02   1.018E-01   3.728E-01   1.000E+00   0.000E+00   5.980E-02   3.728E-01
   4.091  10.0  -5.290E-04  -6.406E-05   5.402E-02   8.885E-02   9.573E-02   3.695E-01   1.000E+00   0.000E+00   5.402E-02   3.695E-01
   4.091  15.0  -7.943E-04   1.081E-04   6.826E-02   9.277E-02   9.042E-02   3.697E-01   1.000E+00   0.000E+00   6.826E-02   3.697E-01
   4.091  20.0  -1.102E-03   1.361E-04   6.670E-02   9.343E-02   8.912E-02   3.632E-01   1.000E+00   0.000E+00   6.670E-02   3.632E-01
   9.503   1.0  -1.058E-03   1.064E-03   6.752E-01   1.246E-02   2.204E-01   5.104E-01   1.000E+00   0.000E+00   6.752E-01   5.104E-01
   9.503   3.0  -1.662E-03   1.914E-03   6.629E-01   2.054E-02   2.066E-01   4.981E-01   1.000E+00   0.000E+00   6.629E-01   4.981E-01
   9.503   5.0  -2.161E-03   2.613E-03   6.346E-01   2.394E-02   2.006E-01   4.910E-01   1.000E+00   0.000E+00   6.346E-01   4.910E-01
