d(g/cm2) R(GV)          p1          p2          p3          p4          p5          p6          p7          p8          p9          p*
   0.765   1.0   1.841E-01  -1.788E-01   3.170E-01   1.009E-01   8.615E-03  -2.116E-01   1.000E+00   0.000E+00   3.170E-01  -2.116E-01
   0.765   3.0   1.866E-01  -1.829E-01   3.050E-01   1.041E-01   6.548E-03  -3.356E-01   1.000E+00   0.000E+00   3.050E-01  -3.356E-01
   0.765   5.0   1.883E-01  -1.866E-01   2.817E-01   1.257E-01  -2.412E-02   1.892E+00   1.000E+00   0.000E+00   2.817E-01   1.892E+00
   0.765   7.0   1.953E-01  -1.957E-01   2.555E-01   1.327E-01  -3.035E-02   1.522E+00   1.000E+00   0.000E+00   2.555E-01   1.522E+00
   0.765  10.0   2.010E-01  -2.036E-01   2.246E-01   1.424E-01  -3.890E-02   1.287E+00   1.000E+00   0.000E+00   2.246E-01   1.287E+00
   0.765  15.0   2.077E-01  -2.127E-01   1.918E-01   1.509E-01  -4.329E-02   1.174E+00   1.000E+00   0.000E+00   1.918E-01   1.174E+00
   0.765  20.0   2.165E-01  -2.233E-01   1.620E-01   1.522E-01  -4.089E-02   1.490E+00   1.000E+00   0.000E+00   1.620E-01   1.490E+00
   1.901   1.0   1.506E-01  -1.472E-01   3.693E-01   1.195E-01  -1.748E-02   5.344E+00   1.000E+00   0.000E+00   3.693E-01   5.344E+00
   1.901   3.0   1.503E-01  -1.484E-01   3.596E-01   1.223E-01  -2.034E-02   4.709E+00   1.000E+00   0.000E+00   3.596E-01   4.709E+00
   1.901   5.0   1.501E-01  -1.502E-01   3.395E-01   1.284E-01  -2.757E-02   3.201E+00   1.000E+00   0.000E+00   3.395E-01   3.201E+00
   1.901   7.0   1.489E-01  -1.509E-01   3.153E-01   1.414E-01  -3.996E-02   1.542E+00   1.000E+00   0.000E+00   3.153E-01   1.542E+00
   1.901  10.0   1.482E-01  -1.520E-01   2.883E-01   1.606E-01  -5.437E-02   7.623E-01   1.000E+00   0.000E+00   2.883E-01   7.623E-01
   1.901  15.0   1.419E-01  -1.470E-01   2.596E-01   1.937E-01  -7.908E-02   3.486E-01   1.000E+00   0.000E+00   2.596E-01   3.486E-01
   1.901  20.0   1.387E-01  -1.440E-01   2.292E-01   2.187E-01  -1.003E-01   2.554E-01   1.000E+00   0.000E+00   2.292E-01   2.554E-01
   4.091   1.0   1.344E-01  -1.284E-01   3.399E-01   1.231E-01  -1.618E-02   7.445E+00   1.000E+00   0.000E+00   3.399E-01   7.445E+00
   4.091   3.0   1.343E-01  -1.299E-01   3.299E-01   1.255E-01  -1.877E-02   6.567E+00   1.000E+00   0.000E+00   3.299E-01   6.567E+00
   4.091   5.0   1.333E-01  -1.307E-01   3.126E-01   1.297E-01  -2.359E-02   5.352E+00   1.000E+00   0.000E+00   3.126E-01   5.352E+00
