d(g/cm2) R(GV)          p1          p2          p3          p4          p5          p6          p7          p8          p9          p*
   0.765   1.0   1.538E-01  -1.889E-02   1.265E+00   4.680E-02  -4.357E-02   3.242E-01   1.000E+00   0.000E+00   1.265E+00   3.242E-01
   0.765   3.0   1.365E-01   6.736E-03  -3.119E-01   4.572E-02  -4.261E-02   3.225E-01   1.000E+00   0.000E+00  -3.119E-01   3.225E-01
   0.765   5.0   1.339E-01   1.120E-02  -7.969E-02   4.533E-02  -4.231E-02   3.222E-01   1.000E+00   0.000E+00  -7.969E-02   3.222E-01
   0.765   7.0   1.315E-01   1.529E-02   4.322E-02   4.471E-02  -4.179E-02   3.227E-01   1.000E+00   0.000E+00   4.322E-02   3.227E-01
   0.765  10.0   1.288E-01   2.029E-02   1.550E-01   4.453E-02  -4.174E-02   3.207E-01   1.000E+00   0.000E+00   1.550E-01   3.207E-01
   0.765  15.0   1.256E-01   2.588E-02   2.390E-01   4.442E-02  -4.173E-02   3.172E-01   1.000E+00   0.000E+00   2.390E-01   3.172E-01
   0.765  20.0   1.238E-01   2.922E-02   2.820E-01   4.487E-02  -4.229E-02   3.132E-01   1.000E+00   0.000E+00   2.820E-01   3.132E-01
   1.901   1.0   1.423E-01  -2.220E-02   8.418E-01   7.754E-02  -6.795E-02   4.057E-01   1.000E+00   0.000E+00   8.418E-01   4.057E-01
   1.901   3.0   1.375E-01  -1.332E-02   1.054E+00   7.542E-02  -6.609E-02   4.074E-01   1.000E+00   0.000E+00   1.054E+00   4.074E-01
   1.901   5.0   1.344E-01  -7.991E-03   1.664E+00   7.401E-02  -6.481E-02   4.086E-01   1.000E+00   0.000E+00   1.664E+00   4.086E-01
   1.901   7.0   1.332E-01  -5.922E-03   3.651E+00   7.248E-02  -6.342E-02   4.100E-01   1.000E+00   0.000E+00   3.651E+00   4.100E-01
   1.901  10.0   1.290E-01   2.662E-03  -2.589E-01   7.074E-02  -6.182E-02   4.113E-01   1.000E+00   0.000E+00  -2.589E-01   4.113E-01
   1.901  15.0   1.286E-01   5.568E-03   2.524E-01   6.843E-02  -5.953E-02   4.157E-01   1.000E+00   0.000E+00   2.524E-01   4.157E-01
   1.901  20.0   1.288E-01   6.828E-03   4.734E-01   6.649E-02  -5.758E-02   4.207E-01   1.000E+00   0.000E+00   4.734E-01   4.207E-01
   4.091   1.0   1.260E-01  -2.197E-02   7.954E-01   9.879E-02  -7.884E-02   4.871E-01   1.000E+00   0.000E+00   7.954E-01   4.871E-01
   4.091   3.0   1.224E-01  -1.501E-02   9.422E-01   9.659E-02  -7.710E-02   4.875E-01   1.000E+00   0.000E+00   9.422E-01   4.875E-01
   4.091   5.0   1.201E-01  -1.037E-02   1.175E+00   9.515E-02  -7.591E-02   4.873E-01   1.000E+00   0.000E+00   1.175E+00   4.873E-01
   4.091   7.0   1.187E-01  -7.609E-03   1.755E+00   9.377E-02  -7.478E-02   4.867E-01   1.000E+00   0.000E+00   1.755E+00   4.867E-01
   4.091  10.0   1.180E-01  -5.660E-03   3.349E+00   9.222E-02  -7.349E-02   4.860E-01   1.000E+00   0.000E+00   3.349E+00   4.860E-01
   4.091  15.0   1.151E-01   1.622E-03  -3.282E-01   8.997E-02  -7.132E-02   4.862E-01   1.000E+00   0.000E+00  -3.282E-01   4.862E-01
   4.091  20.0   1.147E-01   3.250E-03  -6.289E-03   8.850E-02  -6.988E-02   4.861E-01   1.000E+00   0.000E+00  -6.289E-03   4.861E-01
   9.503   1.0   1.066E-01  -2.023E-02   7.845E-01   1.070E-01  -6.912E-02   6.142E-01   1.000E+00   0.000E+00   7.845E-01   6.142E-01
   9.503   3.0   1.050E-01  -1.593E-02   8.700E-01   1.056E-01  -6.859E-02   6.064E-01   1.000E+00   0.000E+00   8.700E-01   6.064E-01
   9.503   5.0   1.039E-01  -1.288E-02   9.481E-01   1.048E-01  -6.834E-02   6.018E-01   1.000E+00   0.000E+00   9.481E-01   6.018E-01
   9.503   7.0   1.032E-01  -1.078E-02   1.048E+00   1.043E-01  -6.838E-02   5.948E-01   1.000E+00   0.000E+00   1.048E+00   5.948E-01
   9.503  10.0   1.026E-01  -8.670E-03   1.193E+00   1.039E-01  -6.854E-02   5.872E-01   1.000E+00   0.000E+00   1.193E+00   5.872E-01
   9.503  15.0   1.021E-01  -6.719E-03   1.516E+00   1.036E-01  -6.862E-02   5.747E-01   1.000E+00   0.000E+00   1.516E+00   5.747E-01
   9.503  20.0   1.020E-01  -5.816E-03   1.658E+00   1.037E-01  -6.907E-02   5.645E-01   1.000E+00   0.000E+00   1.658E+00   5.645E-01
  17.103   1.0   9.517E-02  -1.854E-02   8.059E-01   1.003E-01  -4.750E-02   8.318E-01   1.000E+00   0.000E+00   8.059E-01   8.318E-01
  17.103   3.0   9.449E-02  -1.575E-02   8.844E-01   9.945E-02  -4.789E-02   8.200E-01   1.000E+00   0.000E+00   8.844E-01   8.200E-01
  17.103   5.0   9.388E-02  -1.359E-02   9.609E-01   9.901E-02  -4.824E-02   8.075E-01   1.000E+00   0.000E+00   9.609E-01   8.075E-01
  17.103   7.0   9.348E-02  -1.207E-02   1.045E+00   9.875E-02  -4.866E-02   7.979E-01   1.000E+00   0.000E+00   1.045E+00   7.979E-01
  17.103  10.0   9.304E-02  -1.042E-02   1.188E+00   9.850E-02  -4.921E-02   7.889E-01   1.000E+00   0.000E+00   1.188E+00   7.889E-01
  17.103  15.0   9.257E-02  -8.812E-03   1.462E+00   9.796E-02  -4.936E-02   7.828E-01   1.000E+00   0.000E+00   1.462E+00   7.828E-01
  17.103  20.0   9.261E-02  -8.130E-03   1.609E+00   9.743E-02  -4.940E-02   7.854E-01   1.000E+00   0.000E+00   1.609E+00   7.854E-01
  31.263   1.0   8.726E-02  -1.746E-02   7.610E-01   9.153E-02  -2.345E-02   1.422E+00   1.000E+00   0.000E+00   7.610E-01   1.422E+00
  31.263   3.0   8.721E-02  -1.586E-02   8.026E-01   9.142E-02  -2.493E-02   1.344E+00   1.000E+00   0.000E+00   8.026E-01   1.344E+00
  31.263   5.0   8.707E-02  -1.454E-02   8.283E-01   9.136E-02  -2.588E-02   1.296E+00   1.000E+00   0.000E+00   8.283E-01   1.296E+00
  31.263   7.0   8.710E-02  -1.366E-02   8.425E-01   9.151E-02  -2.689E-02   1.241E+00   1.000E+00   0.000E+00   8.425E-01   1.241E+00
