d(g/cm2) R(GV)          p1          p2          p3          p4          p5          p6          p7          p8          p9          p*
   0.765   1.0   1.705E-01  -3.594E-02   4.922E-01   4.420E-02  -4.280E-02   3.753E-01   1.000E+00   0.000E+00   4.922E-01   3.753E-01
   0.765   3.0   1.770E-01  -4.446E-02   4.610E-01   4.383E-02  -4.242E-02   3.760E-01   1.000E+00   0.000E+00   4.610E-01   3.760E-01
   0.765   5.0   1.828E-01  -5.201E-02   4.369E-01   4.354E-02  -4.209E-02   3.759E-01   1.000E+00   0.000E+00   4.369E-01   3.759E-01
   0.765   7.0   1.873E-01  -5.731E-02   4.109E-01   4.326E-02  -4.175E-02   3.760E-01   1.000E+00   0.000E+00   4.109E-01   3.760E-01
   0.765  10.0   1.919E-01  -6.242E-02   3.841E-01   4.258E-02  -4.099E-02   3.777E-01   1.000E+00   0.000E+00   3.841E-01   3.777E-01
   0.765  15.0   1.956E-01  -6.587E-02   3.563E-01   4.049E-02  -3.867E-02   3.859E-01   1.000E+00   0.000E+00   3.563E-01   3.859E-01
   0.765  20.0   1.983E-01  -6.834E-02   3.382E-01   3.881E-02  -3.677E-02   3.916E-01   1.000E+00   0.000E+00   3.382E-01   3.916E-01
   1.901   1.0   1.742E-01  -5.631E-02   3.588E-01   7.400E-02  -6.648E-02   4.123E-01   1.000E+00   0.000E+00   3.588E-01   4.123E-01
   1.901   3.0   1.806E-01  -6.442E-02   3.499E-01   7.396E-02  -6.648E-02   4.105E-01   1.000E+00   0.000E+00   3.499E-01   4.105E-01
   1.901   5.0   1.873E-01  -7.268E-02   3.384E-01   7.412E-02  -6.664E-02   4.089E-01   1.000E+00   0.000E+00   3.384E-01   4.089E-01
   1.901   7.0   1.922E-01  -7.837E-02   3.245E-01   7.444E-02  -6.694E-02   4.055E-01   1.000E+00   0.000E+00   3.245E-01   4.055E-01
   1.901  10.0   1.978E-01  -8.478E-02   3.081E-01   7.504E-02  -6.753E-02   4.001E-01   1.000E+00   0.000E+00   3.081E-01   4.001E-01
   1.901  15.0   2.033E-01  -9.051E-02   2.906E-01   7.522E-02  -6.765E-02   3.955E-01   1.000E+00   0.000E+00   2.906E-01   3.955E-01
   1.901  20.0   2.072E-01  -9.460E-02   2.793E-01   7.565E-02  -6.805E-02   3.885E-01   1.000E+00   0.000E+00   2.793E-01   3.885E-01
   4.091   1.0   1.555E-01  -5.195E-02   3.296E-01   9.994E-02  -8.386E-02   4.801E-01   1.000E+00   0.000E+00   3.296E-01   4.801E-01
   4.091   3.0   1.606E-01  -5.830E-02   3.219E-01   1.010E-01  -8.507E-02   4.733E-01   1.000E+00   0.000E+00   3.219E-01   4.733E-01
   4.091   5.0   1.658E-01  -6.466E-02   3.106E-01   1.021E-01  -8.633E-02   4.683E-01   1.000E+00   0.000E+00   3.106E-01   4.683E-01
   4.091   7.0   1.700E-01  -6.938E-02   2.960E-01   1.027E-01  -8.707E-02   4.651E-01   1.000E+00   0.000E+00   2.960E-01   4.651E-01
   4.091  10.0   1.747E-01  -7.438E-02   2.810E-01   1.028E-01  -8.728E-02   4.653E-01   1.000E+00   0.000E+00   2.810E-01   4.653E-01
   4.091  15.0   1.802E-01  -7.997E-02   2.621E-01   1.022E-01  -8.673E-02   4.673E-01   1.000E+00   0.000E+00   2.621E-01   4.673E-01
   4.091  20.0   1.845E-01  -8.434E-02   2.496E-01   1.012E-01  -8.588E-02   4.722E-01   1.000E+00   0.000E+00   2.496E-01   4.722E-01
   9.503   1.0   1.247E-01  -3.723E-02   3.424E-01   1.254E-01  -9.453E-02   5.077E-01   1.000E+00   0.000E+00   3.424E-01   5.077E-01
   9.503   3.0   1.272E-01  -4.050E-02   3.329E-01   1.288E-01  -9.841E-02   4.940E-01   1.000E+00   0.000E+00   3.329E-01   4.940E-01
   9.503   5.0   1.297E-01  -4.375E-02   3.204E-01   1.326E-01  -1.028E-01   4.797E-01   1.000E+00   0.000E+00   3.204E-01   4.797E-01
   9.503   7.0   1.315E-01  -4.594E-02   3.093E-01   1.362E-01  -1.068E-01   4.660E-01   1.000E+00   0.000E+00   3.093E-01   4.660E-01
   9.503  10.0   1.340E-01  -4.867E-02   2.927E-01   1.402E-01  -1.113E-01   4.521E-01   1.000E+00   0.000E+00   2.927E-01   4.521E-01
   9.503  15.0   1.365E-01  -5.123E-02   2.760E-01   1.443E-01  -1.161E-01   4.364E-01   1.000E+00   0.000E+00   2.760E-01   4.364E-01
   9.503  20.0   1.387E-01  -5.357E-02   2.668E-01   1.473E-01  -1.196E-01   4.267E-01   1.000E+00   0.000E+00   2.668E-01   4.267E-01
  17.103   1.0   1.014E-01  -2.364E-02   4.139E-01   1.305E-01  -8.726E-02   5.668E-01   1.000E+00   0.000E+00   4.139E-01   5.668E-01
  17.103   3.0   1.023E-01  -2.499E-02   4.021E-01   1.342E-01  -9.187E-02   5.541E-01   1.000E+00   0.000E+00   4.021E-01   5.541E-01
  17.103   5.0   1.025E-01  -2.568E-02   3.919E-01   1.389E-01  -9.744E-02   5.389E-01   1.000E+00   0.000E+00   3.919E-01   5.389E-01
  17.103   7.0   1.023E-01  -2.564E-02   3.796E-01   1.433E-01  -1.027E-01   5.236E-01   1.000E+00   0.000E+00   3.796E-01   5.236E-01
  17.103  10.0   1.019E-01  -2.518E-02   3.678E-01   1.443E-01  -1.048E-01   5.357E-01   1.000E+00   0.000E+00   3.678E-01   5.357E-01
  17.103  15.0   1.004E-01  -2.318E-02   3.516E-01   1.503E-01  -1.119E-01   5.150E-01   1.000E+00   0.000E+00   3.516E-01   5.150E-01
  17.103  20.0   9.868E-02  -2.107E-02   3.399E-01   1.558E-01  -1.184E-01   4.970E-01   1.000E+00   0.000E+00   3.399E-01   4.970E-01
  31.263   1.0   8.521E-02  -1.558E-02   5.640E-01   1.133E-01  -5.612E-02   9.172E-01   1.000E+00   0.000E+00   5.640E-01   9.172E-01
  31.263   3.0   8.522E-02  -1.591E-02   5.444E-01   1.156E-01  -5.943E-02   9.022E-01   1.000E+00   0.000E+00   5.444E-01   9.022E-01
  31.263   5.0   8.492E-02  -1.600E-02   5.321E-01   1.187E-01  -6.361E-02   8.785E-01   1.000E+00   0.000E+00   5.321E-01   8.785E-01
  31.263   7.0   8.479E-02  -1.600E-02   5.097E-01   1.217E-01  -6.772E-02   8.513E-01   1.000E+00   0.000E+00   5.097E-01   8.513E-01
  31.263  10.0   8.404E-02  -1.532E-02   5.073E-01   1.257E-01  -7.301E-02   8.150E-01   1.000E+00   0.000E+00   5.073E-01   8.150E-01
  31.263  15.0   8.227E-02  -1.348E-02   5.525E-01   1.308E-01  -7.960E-02   7.677E-01   1.000E+00   0.000E+00   5.525E-01   7.677E-01
  31.263  20.0   8.095E-02  -1.217E-02   6.044E-01   1.353E-01  -8.535E-02   7.316E-01   1.000E+00   0.000E+00   6.044E-01   7.316E-01
  49.983   1.0   8.027E-02  -1.555E-02   4.947E-01   8.658E-02   7.149E-02   1.030E+00   2.500E-01   7.095E-02   4.947E-01   1.030E+00
  49.983   3.0   8.036E-02  -1.594E-02   4.689E-01   8.716E-02   7.518E-02   1.042E+00   2.500E-01   7.018E-02   4.689E-01   1.042E+00
  49.983   5.0   8.048E-02  -1.643E-02   4.398E-01   8.789E-02   8.049E-02   1.062E+00   2.500E-01   6.924E-02   4.398E-01   1.062E+00
  49.983   7.0   8.055E-02  -1.668E-02   4.140E-01   8.883E-02   8.462E-02   1.088E+00   2.500E-01   6.827E-02   4.140E-01   1.088E+00
  49.983  10.0   8.043E-02  -1.678E-02   4.001E-01   9.011E-02   8.848E-02   1.122E+00   2.500E-01   6.711E-02   4.001E-01   1.122E+00
  49.983  15.0   8.065E-02  -1.715E-02   3.744E-01   9.195E-02   9.113E-02   1.168E+00   2.500E-01   6.574E-02   3.744E-01   1.168E+00
  49.983  20.0   8.087E-02  -1.751E-02   3.618E-01   9.346E-02   9.283E-02   1.205E+00   2.500E-01   6.456E-02   3.618E-01   1.205E+00
  67.763   1.0   7.588E-02  -1.337E-02   5.532E-01   7.900E-02   6.774E-02   9.601E-01   3.500E-01   8.017E-02   5.532E-01   9.601E-01
  67.763   3.0   7.570E-02  -1.344E-02   5.348E-01   7.914E-02   7.062E-02   9.657E-01   3.500E-01   7.954E-02   5.348E-01   9.657E-01
  67.763   5.0   7.545E-02  -1.352E-02   5.152E-01   7.935E-02   7.452E-02   9.763E-01   3.500E-01   7.873E-02   5.152E-01   9.763E-01
  67.763   7.0   7.531E-02  -1.356E-02   4.960E-01   7.979E-02   7.746E-02   9.920E-01   3.500E-01   7.789E-02   4.960E-01   9.920E-01
  67.763  10.0   7.530E-02  -1.372E-02   4.721E-01   8.053E-02   8.070E-02   1.017E+00   3.500E-01   7.672E-02   4.721E-01   1.017E+00
  67.763  15.0   7.578E-02  -1.430E-02   4.306E-01   8.165E-02   8.339E-02   1.053E+00   3.500E-01   7.551E-02   4.306E-01   1.053E+00
  67.763  20.0   7.621E-02  -1.484E-02   4.070E-01   8.288E-02   8.460E-02   1.086E+00   3.500E-01   7.447E-02   4.070E-01   1.086E+00
  92.163   1.0   7.189E-02  -1.124E-02   6.260E-01   7.179E-02   6.814E-02   8.837E-01   4.500E-01   9.001E-02   6.260E-01   8.837E-01
  92.163   3.0   7.154E-02  -1.109E-02   6.165E-01   7.149E-02   7.052E-02   8.814E-01   4.500E-01   8.954E-02   6.165E-01   8.814E-01
  92.163   5.0   7.112E-02  -1.095E-02   6.014E-01   7.120E-02   7.362E-02   8.802E-01   4.500E-01   8.881E-02   6.014E-01   8.802E-01
  92.163   7.0   7.081E-02  -1.080E-02   5.840E-01   7.107E-02   7.577E-02   8.767E-01   4.500E-01   8.793E-02   5.840E-01   8.767E-01
  92.163  10.0   7.064E-02  -1.072E-02   5.508E-01   7.110E-02   7.768E-02   8.727E-01   4.500E-01   8.672E-02   5.508E-01   8.727E-01
  92.163  15.0   7.044E-02  -1.054E-02   5.169E-01   7.120E-02   7.947E-02   8.672E-01   4.500E-01   8.518E-02   5.169E-01   8.672E-01
  92.163  20.0   7.095E-02  -1.100E-02   4.522E-01   7.153E-02   8.021E-02   8.632E-01   4.500E-01   8.374E-02   4.522E-01   8.632E-01
 125.563   1.0   6.959E-02  -1.078E-02   6.345E-01   6.630E-02   5.353E-02   6.790E-01   7.500E-01   1.029E-01   6.345E-01   6.790E-01
 125.563   3.0   6.927E-02  -1.065E-02   6.270E-01   6.586E-02   5.460E-02   6.699E-01   7.500E-01   1.027E-01   6.270E-01   6.699E-01
 125.563   5.0   6.908E-02  -1.066E-02   6.111E-01   6.539E-02   6.472E-02   7.948E-01   6.500E-01   1.026E-01   6.111E-01   7.948E-01
 125.563   7.0   6.888E-02  -1.061E-02   5.934E-01   6.484E-02   6.599E-02   7.787E-01   6.500E-01   1.019E-01   5.934E-01   7.787E-01
 125.563  10.0   6.867E-02  -1.053E-02   5.725E-01   6.412E-02   6.726E-02   7.561E-01   6.500E-01   1.011E-01   5.725E-01   7.561E-01
 125.563  15.0   6.865E-02  -1.052E-02   5.298E-01   6.333E-02   6.841E-02   7.301E-01   6.500E-01   1.001E-01   5.298E-01   7.301E-01
 125.563  20.0   6.929E-02  -1.107E-02   4.889E-01   6.196E-02   8.746E-02   8.747E-01   5.500E-01   9.913E-02   4.889E-01   8.747E-01
 171.163   1.0   6.638E-02  -8.783E-03   8.516E-01   6.145E-02   6.250E-02   7.394E-01   1.000E+00   0.000E+00   8.516E-01   7.394E-01
 171.163   3.0   6.608E-02  -8.652E-03   8.501E-01   6.100E-02   6.338E-02   7.310E-01   1.000E+00   0.000E+00   8.501E-01   7.310E-01
 171.163   5.0   6.555E-02  -8.367E-03   8.599E-01   6.025E-02   6.466E-02   7.143E-01   1.000E+00   0.000E+00   8.599E-01   7.143E-01
 171.163   7.0   6.514E-02  -8.116E-03   8.688E-01   5.949E-02   6.556E-02   6.935E-01   1.000E+00   0.000E+00   8.688E-01   6.935E-01
 171.163  10.0   6.462E-02  -7.722E-03   9.068E-01   5.836E-02   6.670E-02   6.651E-01   1.000E+00   0.000E+00   9.068E-01   6.651E-01
 171.163  15.0   6.386E-02  -7.087E-03   1.013E+00   5.711E-02   6.785E-02   6.342E-01   1.000E+00   0.000E+00   1.013E+00   6.342E-01
 171.163  20.0   6.330E-02  -6.604E-03   1.132E+00   5.647E-02   6.806E-02   6.099E-01   1.000E+00   0.000E+00   1.132E+00   6.099E-01
 233.563   1.0   6.448E-02  -7.927E-03   1.003E+00   6.015E-02   8.278E-02   1.155E+00   1.000E+00   0.000E+00   1.003E+00   1.155E+00
 233.563   3.0   6.421E-02  -7.833E-03   1.007E+00   5.969E-02   8.395E-02   1.148E+00   1.000E+00   0.000E+00   1.007E+00   1.148E+00
 233.563   5.0   6.357E-02  -7.503E-03   1.072E+00   5.884E-02   8.584E-02   1.130E+00   1.000E+00   0.000E+00   1.072E+00   1.130E+00
 233.563   7.0   6.321E-02  -7.353E-03   1.088E+00   5.802E-02   8.725E-02   1.109E+00   1.000E+00   0.000E+00   1.088E+00   1.109E+00
 233.563  10.0   6.259E-02  -6.949E-03   1.195E+00   5.700E-02   8.876E-02   1.081E+00   1.000E+00   0.000E+00   1.195E+00   1.081E+00
 233.563  15.0   6.183E-02  -6.414E-03   1.404E+00   5.567E-02   9.053E-02   1.047E+00   1.000E+00   0.000E+00   1.404E+00   1.047E+00
 233.563  20.0   6.132E-02  -6.097E-03   1.626E+00   5.447E-02   9.158E-02   1.009E+00   1.000E+00   0.000E+00   1.626E+00   1.009E+00
 364.963   1.0   6.534E-02  -9.316E-03   5.968E-01   6.573E-02   1.087E-01   2.201E+00   1.000E+00   0.000E+00   5.968E-01   2.201E+00
 364.963   3.0   6.515E-02  -9.272E-03   5.886E-01   6.546E-02   1.100E-01   2.198E+00   1.000E+00   0.000E+00   5.886E-01   2.198E+00
 364.963   5.0   6.478E-02  -9.166E-03   5.765E-01   6.502E-02   1.124E-01   2.195E+00   1.000E+00   0.000E+00   5.765E-01   2.195E+00
 364.963   7.0   6.468E-02  -9.272E-03   5.485E-01   6.457E-02   1.144E-01   2.187E+00   1.000E+00   0.000E+00   5.485E-01   2.187E+00
 364.963  10.0   6.474E-02  -9.529E-03   5.028E-01   6.420E-02   1.164E-01   2.183E+00   1.000E+00   0.000E+00   5.028E-01   2.183E+00
 364.963  15.0   6.508E-02  -1.009E-02   4.394E-01   6.389E-02   1.185E-01   2.182E+00   1.000E+00   0.000E+00   4.394E-01   2.182E+00
 364.963  20.0   6.519E-02  -1.033E-02   3.996E-01   6.387E-02   1.193E-01   2.181E+00   1.000E+00   0.000E+00   3.996E-01   2.181E+00
 483.563   1.0   6.568E-02  -1.042E-02   5.922E-01   6.879E-02   1.204E-01   2.851E+00   1.000E+00   0.000E+00   5.922E-01   2.851E+00
 483.563   3.0   6.543E-02  -1.030E-02   5.962E-01   6.861E-02   1.217E-01   2.852E+00   1.000E+00   0.000E+00   5.962E-01   2.852E+00
 483.563   5.0   6.502E-02  -1.017E-02   5.901E-01   6.826E-02   1.244E-01   2.854E+00   1.000E+00   0.000E+00   5.901E-01   2.854E+00
 483.563   7.0   6.481E-02  -1.019E-02   5.712E-01   6.805E-02   1.266E-01   2.858E+00   1.000E+00   0.000E+00   5.712E-01   2.858E+00
 483.563  10.0   6.453E-02  -1.021E-02   5.565E-01   6.781E-02   1.288E-01   2.856E+00   1.000E+00   0.000E+00   5.565E-01   2.856E+00
 483.563  15.0   6.445E-02  -1.039E-02   5.066E-01   6.779E-02   1.310E-01   2.871E+00   1.000E+00   0.000E+00   5.066E-01   2.871E+00
 483.563  20.0   6.471E-02  -1.089E-02   4.651E-01   6.770E-02   1.320E-01   2.858E+00   1.000E+00   0.000E+00   4.651E-01   2.858E+00
 631.563   1.0   6.257E-02  -9.807E-03   2.308E+00   6.899E-02   1.291E-01   3.224E+00   1.000E+00   0.000E+00   2.308E+00   3.224E+00
 631.563   3.0   6.241E-02  -9.810E-03   2.326E+00   6.891E-02   1.303E-01   3.233E+00   1.000E+00   0.000E+00   2.326E+00   3.233E+00
 631.563   5.0   6.207E-02  -9.787E-03   2.348E+00   6.862E-02   1.330E-01   3.238E+00   1.000E+00   0.000E+00   2.348E+00   3.238E+00
 631.563   7.0   6.162E-02  -9.648E-03   2.471E+00   6.827E-02   1.355E-01   3.231E+00   1.000E+00   0.000E+00   2.471E+00   3.231E+00
 631.563  10.0   6.139E-02  -9.900E-03   2.498E+00   6.792E-02   1.381E-01   3.226E+00   1.000E+00   0.000E+00   2.498E+00   3.226E+00
 631.563  15.0   6.096E-02  -1.010E-02   2.635E+00   6.759E-02   1.411E-01   3.228E+00   1.000E+00   0.000E+00   2.635E+00   3.228E+00
 631.563  20.0   6.080E-02  -1.062E-02   2.728E+00   6.739E-02   1.424E-01   3.212E+00   1.000E+00   0.000E+00   2.728E+00   3.212E+00
 774.683   1.0   6.981E-02  -1.559E-02   1.044E+00   6.170E-02   1.357E-01   2.845E+00   1.000E+00   0.000E+00   1.044E+00   2.845E+00
 774.683   3.0   6.974E-02  -1.564E-02   1.046E+00   6.155E-02   1.366E-01   2.844E+00   1.000E+00   0.000E+00   1.046E+00   2.844E+00
 774.683   5.0   6.913E-02  -1.528E-02   1.105E+00   6.113E-02   1.388E-01   2.838E+00   1.000E+00   0.000E+00   1.105E+00   2.838E+00
 774.683   7.0   6.900E-02  -1.523E-02   1.087E+00   6.071E-02   1.407E-01   2.829E+00   1.000E+00   0.000E+00   1.087E+00   2.829E+00
 774.683  10.0   6.940E-02  -1.590E-02   1.041E+00   6.006E-02   1.429E-01   2.810E+00   1.000E+00   0.000E+00   1.041E+00   2.810E+00
 774.683  15.0   6.968E-02  -1.687E-02   1.076E+00   5.898E-02   1.457E-01   2.771E+00   1.000E+00   0.000E+00   1.076E+00   2.771E+00
 774.683  20.0   7.112E-02  -1.855E-02   9.716E-01   5.798E-02   1.472E-01   2.728E+00   1.000E+00   0.000E+00   9.716E-01   2.728E+00
 897.803   1.0   8.715E-02  -2.641E-02   6.333E-02   6.262E-02   1.258E-01   2.670E+00   1.000E+00   0.000E+00   6.333E-02   2.670E+00
 897.803   3.0   8.697E-02  -2.633E-02   6.533E-02   6.262E-02   1.263E-01   2.677E+00   1.000E+00   0.000E+00   6.533E-02   2.677E+00
 897.803   5.0   8.732E-02  -2.691E-02   6.794E-02   6.235E-02   1.278E-01   2.676E+00   1.000E+00   0.000E+00   6.794E-02   2.676E+00
 897.803   7.0   8.776E-02  -2.748E-02   6.845E-02   6.194E-02   1.289E-01   2.655E+00   1.000E+00   0.000E+00   6.845E-02   2.655E+00
 897.803  10.0   8.854E-02  -2.826E-02   6.418E-02   6.146E-02   1.296E-01   2.623E+00   1.000E+00   0.000E+00   6.418E-02   2.623E+00
 897.803  15.0   9.055E-02  -2.999E-02   4.956E-02   6.091E-02   1.304E-01   2.590E+00   1.000E+00   0.000E+00   4.956E-02   2.590E+00
 897.803  20.0   9.137E-02  -2.981E-02   1.435E-02   5.961E-02   1.315E-01   2.498E+00   1.000E+00   0.000E+00   1.435E-02   2.498E+00
1036.361   1.0   3.608E-02   2.901E-02   4.674E-01   4.623E-02   1.254E-01   1.206E+00   1.000E+00   0.000E+00   4.674E-01   1.206E+00
1036.361   3.0   3.583E-02   2.924E-02   4.647E-01   4.621E-02   1.256E-01   1.206E+00   1.000E+00   0.000E+00   4.647E-01   1.206E+00
1036.361   5.0   3.563E-02   2.940E-02   4.652E-01   4.601E-02   1.263E-01   1.207E+00   1.000E+00   0.000E+00   4.652E-01   1.207E+00
1036.361   7.0   3.518E-02   2.987E-02   4.661E-01   4.567E-02   1.270E-01   1.201E+00   1.000E+00   0.000E+00   4.661E-01   1.201E+00
1036.361  10.0   3.430E-02   3.078E-02   4.691E-01   4.428E-02   1.285E-01   1.164E+00   1.000E+00   0.000E+00   4.691E-01   1.164E+00
1036.361  15.0   3.323E-02   3.211E-02   4.639E-01   4.051E-02   1.312E-01   1.075E+00   1.000E+00   0.000E+00   4.639E-01   1.075E+00
1036.361  20.0   3.174E-02   3.397E-02   4.557E-01   3.701E-02   1.337E-01   1.003E+00   1.000E+00   0.000E+00   4.557E-01   1.003E+00
