 -s2
 (GV)        a(1)        a(2)        a(3)        a(4)
 1.0   2.337E-02   1.984E-04   5.673E-01   1.147E-03
 2.0   2.668E-02   1.984E-04   5.673E-01   1.147E-03
 3.0   2.579E-02   1.984E-04   5.673E-01   1.147E-03
 4.0   2.291E-02   1.984E-04   5.673E-01   1.147E-03
 5.0   2.235E-02   1.984E-04   5.673E-01   1.147E-03
 6.0   2.277E-02   1.984E-04   5.673E-01   1.147E-03
 7.0   2.050E-02   1.984E-04   5.673E-01   1.147E-03
 8.0   1.682E-02   1.984E-04   5.673E-01   1.147E-03
 9.0   1.406E-02   1.984E-04   5.673E-01   1.147E-03
10.0   1.289E-02   1.984E-04   5.673E-01   1.147E-03
11.0   1.312E-02   1.984E-04   5.673E-01   1.147E-03
12.0   1.434E-02   1.984E-04   5.673E-01   1.147E-03
13.0   1.604E-02   1.984E-04   5.673E-01   1.147E-03
14.0   1.768E-02   1.984E-04   5.673E-01   1.147E-03
15.0   1.889E-02   1.984E-04   5.673E-01   1.147E-03
16.0   1.925E-02   1.984E-04   5.673E-01   1.147E-03
17.0   1.839E-02   1.984E-04   5.673E-01   1.147E-03
18.0   1.626E-02   1.984E-04   5.673E-01   1.147E-03
19.0   1.301E-02   1.984E-04   5.673E-01   1.147E-03
20.0   8.941E-03   1.984E-04   5.673E-01   1.147E-03
