 Total Flux (/cm2/s) =  0.944099227640792     
           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42          43          44          45          46          47          48          49          50          51          52          53          54          55          56          57          58          59          60          61          62          63          64          65          66          67          68          69          70          71          72          73          74          75          76          77          78          79          80          81          82          83          84          85          86          87          88          89          90          91          92          93          94          95          96          97          98          99         100         101         102
   Emid(MeV)  /cm2/s/MeV     -0.9900     -0.9700     -0.9500     -0.9300     -0.9100     -0.8900     -0.8700     -0.8500     -0.8300     -0.8100     -0.7900     -0.7700     -0.7500     -0.7300     -0.7100     -0.6900     -0.6700     -0.6500     -0.6300     -0.6100     -0.5900     -0.5700     -0.5500     -0.5300     -0.5100     -0.4900     -0.4700     -0.4500     -0.4300     -0.4100     -0.3900     -0.3700     -0.3500     -0.3300     -0.3100     -0.2900     -0.2700     -0.2500     -0.2300     -0.2100     -0.1900     -0.1700     -0.1500     -0.1300     -0.1100     -0.0900     -0.0700     -0.0500     -0.0300     -0.0100      0.0100      0.0300      0.0500      0.0700      0.0900      0.1100      0.1300      0.1500      0.1700      0.1900      0.2100      0.2300      0.2500      0.2700      0.2900      0.3100      0.3300      0.3500      0.3700      0.3900      0.4100      0.4300      0.4500      0.4700      0.4900      0.5100      0.5300      0.5500      0.5700      0.5900      0.6100      0.6300      0.6500      0.6700      0.6900      0.7100      0.7300      0.7500      0.7700      0.7900      0.8100      0.8300      0.8500      0.8700      0.8900      0.9100      0.9300      0.9500      0.9700      0.9900
  1.0035E+00  1.9354E-01  1.6258E-02  2.0593E-02  1.8425E-02  1.4090E-02  1.9509E-02  1.4090E-02  1.8425E-02  1.8425E-02  7.5870E-03  1.7342E-02  1.5174E-02  9.7547E-03  1.7342E-02  4.3354E-03  9.7547E-03  1.8425E-02  1.3006E-02  1.6258E-02  1.5174E-02  1.9509E-02  1.3006E-02  1.7342E-02  1.3006E-02  1.1922E-02  1.3006E-02  1.1922E-02  1.4090E-02  1.1922E-02  1.6258E-02  1.7342E-02  1.6258E-02  2.4929E-02  7.5870E-03  1.5174E-02  1.7342E-02  2.3845E-02  8.6708E-03  1.0839E-02  2.1677E-02  1.4090E-02  1.0839E-02  1.4090E-02  1.8425E-02  1.6258E-02  7.5870E-03  2.3845E-02  1.1922E-02  9.7547E-03  1.3006E-02  1.6258E-02  1.0839E-02  1.3006E-02  1.8425E-02  1.7342E-02  1.1922E-02  1.3006E-02  1.4090E-02  2.3845E-02  1.4090E-02  1.0839E-02  1.6258E-02  1.9509E-02  1.1922E-02  2.1677E-02  1.1922E-02  1.5174E-02  2.0593E-02  1.5174E-02  1.5174E-02  1.7342E-02  1.1922E-02  1.5174E-02  1.4090E-02  2.0593E-02  1.8425E-02  1.7342E-02  1.4090E-02  2.0593E-02  1.8425E-02  7.5870E-03  1.4090E-02  1.6258E-02  1.5174E-02  1.7342E-02  1.5174E-02  1.7342E-02  1.1922E-02  2.1677E-02  8.6708E-03  1.0839E-02  1.3006E-02  1.7342E-02  2.7096E-02  2.3845E-02  1.6258E-02  1.7342E-02  1.9509E-02  1.5174E-02  1.3006E-02  1.3006E-02
  1.0104E+00  1.8152E-01  1.3993E-02  9.6875E-03  1.5069E-02  1.2917E-02  1.0764E-02  1.6146E-02  1.3993E-02  8.6111E-03  1.0764E-02  1.9375E-02  8.6111E-03  1.9375E-02  1.0764E-02  1.2917E-02  1.8299E-02  1.5069E-02  1.3993E-02  1.3993E-02  2.1528E-02  1.7222E-02  8.6111E-03  1.7222E-02  1.6146E-02  1.5069E-02  1.1840E-02  1.0764E-02  8.6111E-03  1.6146E-02  1.8299E-02  1.8299E-02  1.6146E-02  8.6111E-03  1.2917E-02  1.7222E-02  8.6111E-03  1.3993E-02  1.1840E-02  1.8299E-02  8.6111E-03  7.5347E-03  1.0764E-02  9.6875E-03  1.0764E-02  1.8299E-02  1.5069E-02  1.7222E-02  1.5069E-02  1.3993E-02  1.7222E-02  1.2917E-02  2.1528E-02  1.3993E-02  1.2917E-02  1.2917E-02  1.9375E-02  1.0764E-02  1.3993E-02  1.3993E-02  1.3993E-02  1.7222E-02  1.6146E-02  1.5069E-02  1.5069E-02  1.3993E-02  1.3993E-02  1.7222E-02  1.0764E-02  1.7222E-02  1.6146E-02  1.9375E-02  1.9375E-02  8.6111E-03  9.6875E-03  1.6146E-02  1.8299E-02  1.3993E-02  2.3681E-02  7.5347E-03  1.2917E-02  1.9375E-02  1.2917E-02  1.2917E-02  1.1840E-02  9.6875E-03  1.5069E-02  1.2917E-02  1.3993E-02  2.5833E-02  2.4757E-02  1.5069E-02  9.6875E-03  1.2917E-02  2.2604E-02  1.2917E-02  1.6146E-02  1.2917E-02  1.8299E-02  1.6146E-02  1.1840E-02  1.1840E-02
  1.0174E+00  1.9384E-01  1.4966E-02  2.0311E-02  1.4966E-02  1.3897E-02  1.2828E-02  1.4966E-02  1.7104E-02  5.3449E-03  1.8173E-02  1.6035E-02  1.1759E-02  1.1759E-02  1.4966E-02  1.9242E-02  9.6208E-03  2.2449E-02  8.5518E-03  1.1759E-02  1.1759E-02  1.3897E-02  1.9242E-02  1.3897E-02  1.3897E-02  1.4966E-02  1.6035E-02  1.1759E-02  1.8173E-02  1.6035E-02  1.0690E-02  1.8173E-02  1.2828E-02  1.0690E-02  2.1380E-02  2.0311E-02  1.0690E-02  1.9242E-02  8.5518E-03  2.1380E-03  1.0690E-02  1.4966E-02  1.9242E-02  2.4587E-02  1.7104E-02  1.0690E-02  1.0690E-02  1.8173E-02  9.6208E-03  1.9242E-02  1.2828E-02  1.3897E-02  2.2449E-02  1.7104E-02  2.5656E-02  1.3897E-02  1.6035E-02  1.2828E-02  2.1380E-02  2.1380E-02  2.0311E-02  1.3897E-02  1.2828E-02  1.1759E-02  1.7104E-02  2.0311E-02  1.6035E-02  1.7104E-02  9.6208E-03  1.3897E-02  1.9242E-02  1.1759E-02  1.6035E-02  1.7104E-02  1.9242E-02  1.6035E-02  2.0311E-02  1.7104E-02  1.6035E-02  2.1380E-02  1.4966E-02  1.4966E-02  1.1759E-02  7.4829E-03  1.2828E-02  1.8173E-02  1.7104E-02  2.4587E-02  1.2828E-02  2.0311E-02  1.7104E-02  1.1759E-02  1.4966E-02  2.2449E-02  8.5518E-03  1.2828E-02  2.5656E-02  1.9242E-02  1.9242E-02  1.4966E-02  9.6208E-03  8.5518E-03
  1.0245E+00  1.8784E-01  1.4863E-02  1.8048E-02  8.4930E-03  1.4863E-02  9.5546E-03  1.1678E-02  1.1678E-02  1.4863E-02  1.2739E-02  1.3801E-02  1.2739E-02  1.3801E-02  1.1678E-02  1.0616E-02  1.2739E-02  1.4863E-02  1.9109E-02  1.2739E-02  1.3801E-02  7.4314E-03  1.8048E-02  1.6986E-02  1.0616E-02  1.3801E-02  2.2294E-02  1.6986E-02  8.4930E-03  1.6986E-02  1.9109E-02  1.3801E-02  1.3801E-02  1.9109E-02  1.6986E-02  9.5546E-03  1.1678E-02  1.0616E-02  1.9109E-02  1.3801E-02  1.5924E-02  1.4863E-02  9.5546E-03  2.1232E-02  2.6541E-02  1.6986E-02  1.9109E-02  1.2739E-02  1.4863E-02  1.3801E-02  1.5924E-02  1.3801E-02  1.9109E-02  1.8048E-02  1.6986E-02  1.8048E-02  2.7602E-02  6.3697E-03  1.4863E-02  2.2294E-02  1.4863E-02  1.5924E-02  1.0616E-02  9.5546E-03  1.1678E-02  1.5924E-02  1.5924E-02  1.6986E-02  2.3356E-02  1.9109E-02  1.8048E-02  1.3801E-02  1.9109E-02  1.0616E-02  1.3801E-02  1.3801E-02  1.5924E-02  8.4930E-03  2.0171E-02  4.2465E-03  1.3801E-02  1.4863E-02  1.5924E-02  1.1678E-02  1.2739E-02  1.2739E-02  1.5924E-02  9.5546E-03  1.2739E-02  1.4863E-02  2.1232E-02  2.3356E-02  1.1678E-02  2.2294E-02  1.2739E-02  2.2294E-02  1.4863E-02  1.0616E-02  1.1678E-02  1.4863E-02  1.1678E-02  2.0171E-02
  1.0316E+00  1.8032E-01  1.4760E-02  1.3706E-02  1.4760E-02  1.7923E-02  1.1597E-02  1.5815E-02  1.6869E-02  7.3802E-03  1.2652E-02  1.4760E-02  1.1597E-02  8.4345E-03  1.2652E-02  2.7412E-02  1.5815E-02  1.7923E-02  1.6869E-02  1.0543E-02  1.2652E-02  9.4888E-03  2.0032E-02  1.7923E-02  7.3802E-03  8.4345E-03  1.0543E-02  1.6869E-02  1.6869E-02  1.0543E-02  1.5815E-02  1.3706E-02  1.5815E-02  1.8978E-02  7.3802E-03  1.0543E-02  1.3706E-02  1.6869E-02  1.0543E-02  1.5815E-02  1.1597E-02  1.2652E-02  2.0032E-02  1.1597E-02  9.4888E-03  1.5815E-02  1.5815E-02  9.4888E-03  1.6869E-02  1.2652E-02  1.2652E-02  1.3706E-02  2.3195E-02  2.2141E-02  8.4345E-03  1.6869E-02  1.6869E-02  1.0543E-02  1.2652E-02  8.4345E-03  1.0543E-02  1.4760E-02  1.1597E-02  8.4345E-03  1.6869E-02  2.4249E-02  1.8978E-02  1.0543E-02  1.2652E-02  1.0543E-02  1.3706E-02  1.2652E-02  1.1597E-02  1.2652E-02  7.3802E-03  1.5815E-02  1.6869E-02  1.8978E-02  1.7923E-02  1.1597E-02  1.1597E-02  1.6869E-02  1.8978E-02  1.6869E-02  1.4760E-02  1.5815E-02  1.6869E-02  1.2652E-02  1.6869E-02  1.2652E-02  1.2652E-02  2.0032E-02  1.8978E-02  1.1597E-02  1.2652E-02  1.2652E-02  1.5815E-02  1.3706E-02  2.2141E-02  1.3706E-02  2.0032E-02  1.5815E-02
  1.0387E+00  1.7855E-01  1.2565E-02  1.5706E-02  1.6753E-02  1.7800E-02  1.0471E-02  1.0471E-02  1.0471E-02  8.3764E-03  1.2565E-02  1.2565E-02  1.7800E-02  6.2823E-03  1.6753E-02  1.0471E-02  9.4235E-03  1.6753E-02  1.0471E-02  1.0471E-02  1.2565E-02  1.4659E-02  1.5706E-02  1.8847E-02  1.2565E-02  1.2565E-02  2.0941E-02  1.2565E-02  1.6753E-02  1.1518E-02  1.0471E-02  2.0941E-02  1.6753E-02  1.3612E-02  1.5706E-02  2.1988E-02  1.1518E-02  1.3612E-02  1.4659E-02  1.5706E-02  8.3764E-03  1.5706E-02  8.3764E-03  9.4235E-03  1.5706E-02  2.1988E-02  1.6753E-02  1.3612E-02  9.4235E-03  1.5706E-02  1.2565E-02  2.0941E-02  1.5706E-02  7.3294E-03  1.1518E-02  1.3612E-02  1.4659E-02  1.7800E-02  1.3612E-02  1.2565E-02  9.4235E-03  6.2823E-03  1.3612E-02  6.2823E-03  1.8847E-02  1.7800E-02  1.3612E-02  1.5706E-02  1.9894E-02  1.3612E-02  1.2565E-02  1.5706E-02  1.2565E-02  9.4235E-03  9.4235E-03  1.7800E-02  2.1988E-02  1.7800E-02  1.4659E-02  1.5706E-02  1.0471E-02  7.3294E-03  1.6753E-02  1.4659E-02  1.3612E-02  1.6753E-02  1.8847E-02  1.8847E-02  1.3612E-02  1.7800E-02  1.8847E-02  1.5706E-02  1.1518E-02  2.0941E-02  1.3612E-02  1.2565E-02  1.3612E-02  1.4659E-02  1.1518E-02  1.4659E-02  1.9894E-02  1.6753E-02
  1.0459E+00  1.6582E-01  4.1594E-03  6.2391E-03  1.4558E-02  1.7677E-02  1.5598E-02  6.2391E-03  1.5598E-02  1.3518E-02  1.0398E-02  6.2391E-03  1.2478E-02  8.3188E-03  1.0398E-02  9.3586E-03  1.6638E-02  1.9757E-02  1.3518E-02  1.5598E-02  1.8717E-02  7.2789E-03  9.3586E-03  1.1438E-02  1.4558E-02  1.1438E-02  9.3586E-03  1.4558E-02  1.2478E-02  1.7677E-02  1.2478E-02  1.4558E-02  2.1837E-02  1.7677E-02  8.3188E-03  1.1438E-02  1.0398E-02  1.1438E-02  1.4558E-02  1.1438E-02  1.2478E-02  1.1438E-02  1.6638E-02  1.4558E-02  7.2789E-03  1.5598E-02  1.2478E-02  1.1438E-02  9.3586E-03  1.2478E-02  1.3518E-02  1.4558E-02  1.0398E-02  1.7677E-02  9.3586E-03  1.2478E-02  1.5598E-02  1.5598E-02  1.5598E-02  1.1438E-02  1.4558E-02  1.1438E-02  2.3917E-02  1.1438E-02  2.1837E-02  8.3188E-03  1.4558E-02  9.3586E-03  1.1438E-02  1.3518E-02  7.2789E-03  8.3188E-03  9.3586E-03  1.2478E-02  1.4558E-02  1.1438E-02  1.5598E-02  1.6638E-02  1.2478E-02  2.2877E-02  2.0797E-02  1.2478E-02  1.4558E-02  1.0398E-02  1.9757E-02  8.3188E-03  1.2478E-02  1.7677E-02  1.2478E-02  1.9757E-02  1.8717E-02  1.1438E-02  1.2478E-02  1.5598E-02  1.3518E-02  1.3518E-02  1.2478E-02  1.3518E-02  1.4558E-02  6.2391E-03  1.3518E-02  1.6638E-02
  1.0532E+00  1.8129E-01  1.9621E-02  1.2392E-02  1.2392E-02  1.4458E-02  1.8588E-02  1.1360E-02  1.4458E-02  9.2942E-03  1.3425E-02  1.3425E-02  1.1360E-02  1.2392E-02  1.1360E-02  1.7556E-02  1.3425E-02  1.8588E-02  9.2942E-03  8.2615E-03  1.7556E-02  1.1360E-02  1.8588E-02  1.1360E-02  1.3425E-02  7.2288E-03  1.4458E-02  1.2392E-02  1.6523E-02  1.2392E-02  1.0327E-02  1.7556E-02  1.3425E-02  1.1360E-02  1.6523E-02  1.8588E-02  1.1360E-02  1.4458E-02  1.4458E-02  8.2615E-03  1.9621E-02  1.7556E-02  1.1360E-02  1.7556E-02  1.3425E-02  1.4458E-02  1.2392E-02  8.2615E-03  2.0654E-02  1.2392E-02  1.0327E-02  6.1961E-03  1.7556E-02  1.3425E-02  1.5490E-02  1.0327E-02  1.2392E-02  2.1686E-02  1.0327E-02  1.1360E-02  1.9621E-02  1.0327E-02  1.8588E-02  1.2392E-02  1.3425E-02  7.2288E-03  9.2942E-03  1.4458E-02  1.2392E-02  1.6523E-02  1.4458E-02  1.4458E-02  1.5490E-02  1.5490E-02  1.6523E-02  8.2615E-03  1.4458E-02  1.8588E-02  1.2392E-02  1.2392E-02  1.4458E-02  1.4458E-02  1.9621E-02  1.1360E-02  1.6523E-02  2.0654E-02  1.8588E-02  1.8588E-02  1.5490E-02  1.5490E-02  1.3425E-02  2.1686E-02  1.0327E-02  1.9621E-02  1.5490E-02  2.3752E-02  1.1360E-02  2.0654E-02  2.2719E-02  1.4458E-02  1.4458E-02  2.2719E-02
  1.0605E+00  1.8610E-01  1.0256E-02  1.0256E-02  7.1791E-03  1.6409E-02  1.3333E-02  1.5384E-02  1.5384E-02  1.2307E-02  1.1281E-02  1.2307E-02  1.2307E-02  1.2307E-02  1.6409E-02  1.1281E-02  8.2046E-03  1.6409E-02  1.3333E-02  1.2307E-02  1.3333E-02  1.4358E-02  2.2563E-02  9.2302E-03  8.2046E-03  1.4358E-02  1.6409E-02  9.2302E-03  1.9486E-02  1.4358E-02  1.6409E-02  1.0256E-02  1.5384E-02  1.4358E-02  9.2302E-03  1.3333E-02  1.0256E-02  1.8460E-02  1.2307E-02  1.0256E-02  2.7691E-02  1.0256E-02  1.1281E-02  1.6409E-02  1.3333E-02  1.7435E-02  1.3333E-02  1.4358E-02  9.2302E-03  1.6409E-02  1.1281E-02  1.9486E-02  1.2307E-02  1.2307E-02  1.4358E-02  1.2307E-02  1.5384E-02  1.1281E-02  2.3588E-02  1.3333E-02  1.2307E-02  1.8460E-02  1.0256E-02  1.3333E-02  1.3333E-02  9.2302E-03  2.1537E-02  1.2307E-02  1.0256E-02  1.3333E-02  1.5384E-02  1.1281E-02  2.1537E-02  1.3333E-02  1.2307E-02  1.5384E-02  1.6409E-02  1.9486E-02  1.3333E-02  2.1537E-02  2.6665E-02  2.3588E-02  2.2563E-02  2.4614E-02  2.1537E-02  1.4358E-02  1.9486E-02  2.0512E-02  1.6409E-02  1.3333E-02  2.3588E-02  7.1791E-03  1.6409E-02  2.0512E-02  1.8460E-02  1.4358E-02  7.1791E-03  1.6409E-02  1.3333E-02  1.6409E-02  1.8460E-02  1.7435E-02
